Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Middle Tennessee,REG (Non-Conf),L,57.0,74.0,,22.0,51.0,0.431,3.0,14.0,0.214,19.0,37.0,0.514,0.461,10.0,17.0,0.588,9.0,21.0,30.0,9.0,7.0,3.0,18.0,20.0,25.0,59.0,0.424,10.0,27.0,0.37,15.0,32.0,0.469,0.508,14.0,17.0,0.824,9.0,19.0,28.0,12.0,10.0,4.0,11.0,18.0,83.1,107.9,68.6,0.333,0.275,0.482,51.7,40.9,10.2,9.4,0.461,23.4,32.1,0.196,0.508,14.1,30.0,0.237
2.0,2.0,2023-11-09,@,Washington,REG (Non-Conf),L,67.0,75.0,,24.0,63.0,0.381,3.0,17.0,0.176,21.0,46.0,0.457,0.405,16.0,25.0,0.64,12.0,16.0,28.0,14.0,5.0,6.0,10.0,24.0,25.0,55.0,0.455,3.0,17.0,0.176,22.0,38.0,0.579,0.482,22.0,27.0,0.815,9.0,22.0,31.0,16.0,6.0,8.0,12.0,19.0,93.2,104.4,71.9,0.397,0.27,0.447,47.5,58.3,7.0,15.8,0.405,11.8,35.3,0.254,0.482,15.0,36.0,0.4
3.0,3.0,2023-11-14,,DePauw,REG (Non-Conf),W,85.0,68.0,,28.0,62.0,0.452,11.0,29.0,0.379,17.0,33.0,0.515,0.54,18.0,24.0,0.75,10.0,22.0,32.0,18.0,9.0,3.0,12.0,17.0,25.0,58.0,0.431,8.0,23.0,0.348,17.0,35.0,0.486,0.5,10.0,16.0,0.625,8.0,24.0,32.0,13.0,5.0,0.0,15.0,22.0,114.9,91.9,74.0,0.387,0.468,0.579,50.0,64.3,12.2,8.6,0.54,14.1,29.4,0.29,0.5,18.6,26.7,0.172
4.0,4.0,2023-11-19,@,Cincinnati,REG (Non-Conf),L,66.0,90.0,,26.0,64.0,0.406,4.0,20.0,0.2,22.0,44.0,0.5,0.438,10.0,13.0,0.769,9.0,17.0,26.0,10.0,4.0,1.0,8.0,13.0,35.0,70.0,0.5,10.0,27.0,0.37,25.0,43.0,0.581,0.571,10.0,13.0,0.769,17.0,23.0,40.0,21.0,6.0,4.0,6.0,10.0,98.3,134.0,67.2,0.203,0.313,0.47,39.4,38.5,6.0,2.3,0.438,10.2,28.1,0.156,0.571,7.3,50.0,0.143
5.0,5.0,2023-11-22,,Texas A&M–Corpus Christi,REG (Non-Conf),W,88.0,73.0,,28.0,50.0,0.56,9.0,23.0,0.391,19.0,27.0,0.704,0.65,23.0,31.0,0.742,4.0,22.0,26.0,23.0,10.0,5.0,12.0,21.0,25.0,53.0,0.472,7.0,19.0,0.368,18.0,34.0,0.529,0.538,16.0,23.0,0.696,8.0,21.0,29.0,17.0,8.0,0.0,17.0,26.0,120.8,100.2,72.8,0.62,0.46,0.68,47.3,82.1,13.7,14.7,0.65,15.6,16.0,0.46,0.538,21.0,26.7,0.302
6.0,6.0,2023-11-25,,LIU,REG (Non-Conf),W,72.0,64.0,,25.0,58.0,0.431,3.0,17.0,0.176,22.0,41.0,0.537,0.457,19.0,26.0,0.731,8.0,21.0,29.0,14.0,13.0,5.0,9.0,10.0,27.0,54.0,0.5,6.0,17.0,0.353,21.0,37.0,0.568,0.556,4.0,7.0,0.571,2.0,26.0,28.0,10.0,7.0,0.0,18.0,19.0,99.5,88.5,72.3,0.448,0.293,0.512,50.9,56.0,18.0,13.5,0.457,11.3,23.5,0.328,0.556,23.9,8.7,0.074
7.0,7.0,2023-11-29,,Robert Morris,REG (Conf),W,77.0,59.0,,30.0,50.0,0.6,5.0,11.0,0.455,25.0,39.0,0.641,0.65,12.0,19.0,0.632,6.0,25.0,31.0,14.0,11.0,4.0,17.0,18.0,23.0,66.0,0.348,4.0,22.0,0.182,19.0,44.0,0.432,0.379,9.0,11.0,0.818,14.0,17.0,31.0,12.0,9.0,0.0,15.0,15.0,108.3,83.0,71.1,0.38,0.22,0.652,50.0,46.7,15.5,9.1,0.65,22.4,26.1,0.24,0.379,17.4,35.9,0.136
8.0,8.0,2023-12-02,@,IUPUI,REG (Conf),W,71.0,55.0,,27.0,51.0,0.529,5.0,14.0,0.357,22.0,37.0,0.595,0.578,12.0,25.0,0.48,7.0,15.0,22.0,13.0,12.0,0.0,12.0,16.0,19.0,39.0,0.487,3.0,13.0,0.231,16.0,26.0,0.615,0.526,14.0,23.0,0.609,4.0,22.0,26.0,9.0,6.0,4.0,20.0,19.0,106.1,82.2,66.9,0.49,0.275,0.565,45.8,48.1,17.9,0.0,0.578,16.0,24.1,0.235,0.526,28.6,21.1,0.359
9.0,9.0,2023-12-06,@,Illinois State,REG (Non-Conf),L,59.0,62.0,,22.0,56.0,0.393,7.0,20.0,0.35,15.0,36.0,0.417,0.455,8.0,10.0,0.8,5.0,22.0,27.0,17.0,12.0,1.0,8.0,12.0,24.0,58.0,0.414,8.0,27.0,0.296,16.0,31.0,0.516,0.483,6.0,9.0,0.667,11.0,24.0,35.0,14.0,2.0,3.0,14.0,7.0,91.5,96.1,64.5,0.179,0.357,0.486,43.5,77.3,18.6,3.2,0.455,11.6,17.2,0.143,0.483,18.4,33.3,0.103
10.0,10.0,2023-12-09,,Akron,REG (Non-Conf),L,76.0,77.0,,29.0,60.0,0.483,4.0,15.0,0.267,25.0,45.0,0.556,0.517,14.0,24.0,0.583,11.0,18.0,29.0,12.0,9.0,1.0,8.0,15.0,32.0,55.0,0.582,8.0,22.0,0.364,24.0,33.0,0.727,0.655,5.0,9.0,0.556,6.0,17.0,23.0,18.0,3.0,1.0,13.0,18.0,112.9,114.3,67.3,0.4,0.25,0.532,55.8,41.4,13.4,3.0,0.517,10.1,39.3,0.233,0.655,18.0,25.0,0.091
11.0,11.0,2023-12-14,,Cumberlands (KY),REG (Non-Conf),W,94.0,59.0,,33.0,60.0,0.55,6.0,19.0,0.316,27.0,41.0,0.659,0.6,22.0,30.0,0.733,11.0,31.0,42.0,21.0,14.0,7.0,16.0,17.0,21.0,59.0,0.356,6.0,22.0,0.273,15.0,37.0,0.405,0.407,11.0,16.0,0.688,8.0,17.0,25.0,14.0,7.0,1.0,20.0,23.0,119.1,74.8,78.9,0.5,0.317,0.633,62.7,63.6,17.7,18.9,0.6,17.7,39.3,0.367,0.407,23.1,20.5,0.186
