Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Kentucky,REG (Non-Conf),L,46.0,86.0,,18.0,56.0,0.321,5.0,23.0,0.217,13.0,33.0,0.394,0.366,5.0,5.0,1.0,6.0,25.0,31.0,10.0,2.0,2.0,18.0,16.0,32.0,65.0,0.492,9.0,29.0,0.31,23.0,36.0,0.639,0.562,13.0,19.0,0.684,8.0,31.0,39.0,17.0,13.0,3.0,6.0,11.0,64.6,120.8,71.2,0.089,0.411,0.394,44.3,55.6,2.8,5.6,0.366,23.6,16.2,0.089,0.562,7.5,24.2,0.2
2.0,2.0,2023-11-08,,Sul Ross St.,REG (Non-Conf),W,84.0,49.0,,27.0,64.0,0.422,6.0,19.0,0.316,21.0,45.0,0.467,0.469,24.0,40.0,0.6,16.0,33.0,49.0,11.0,9.0,3.0,10.0,9.0,19.0,56.0,0.339,8.0,33.0,0.242,11.0,23.0,0.478,0.411,3.0,5.0,0.6,4.0,22.0,26.0,10.0,5.0,1.0,18.0,25.0,112.5,65.6,74.7,0.625,0.297,0.506,65.3,40.7,12.1,13.0,0.469,10.8,42.1,0.375,0.411,23.6,10.8,0.054
3.0,3.0,2023-11-11,@,UC Irvine,REG (Non-Conf),L,74.0,91.0,,27.0,63.0,0.429,7.0,16.0,0.438,20.0,47.0,0.426,0.484,13.0,19.0,0.684,7.0,18.0,25.0,13.0,5.0,0.0,10.0,25.0,30.0,57.0,0.526,10.0,23.0,0.435,20.0,34.0,0.588,0.614,21.0,32.0,0.656,11.0,29.0,40.0,22.0,5.0,5.0,12.0,21.0,99.8,122.8,74.1,0.302,0.254,0.514,38.5,48.1,6.7,0.0,0.484,12.2,19.4,0.206,0.614,14.3,37.9,0.368
4.0,4.0,2023-11-14,,Western N.M.,REG (Non-Conf),W,78.0,43.0,,26.0,59.0,0.441,13.0,26.0,0.5,13.0,33.0,0.394,0.551,13.0,15.0,0.867,5.0,34.0,39.0,18.0,4.0,3.0,5.0,15.0,14.0,57.0,0.246,7.0,27.0,0.259,7.0,30.0,0.233,0.307,8.0,15.0,0.533,7.0,24.0,31.0,9.0,3.0,0.0,12.0,12.0,115.3,63.6,67.6,0.254,0.441,0.59,55.7,69.2,5.9,10.0,0.551,7.0,17.2,0.22,0.307,15.8,17.1,0.14
5.0,5.0,2023-11-18,,Northern Colorado,REG (Non-Conf),W,76.0,71.0,,21.0,54.0,0.389,9.0,23.0,0.391,12.0,31.0,0.387,0.472,25.0,34.0,0.735,7.0,26.0,33.0,11.0,15.0,4.0,14.0,23.0,23.0,53.0,0.434,7.0,25.0,0.28,16.0,28.0,0.571,0.5,18.0,28.0,0.643,7.0,26.0,33.0,10.0,10.0,2.0,17.0,23.0,99.1,92.5,76.7,0.63,0.426,0.542,50.0,52.4,19.6,14.3,0.472,16.6,21.2,0.463,0.5,20.4,21.2,0.34
6.0,6.0,2023-11-21,N,Fresno State,REG (Non-Conf),L,76.0,81.0,OT,26.0,59.0,0.441,8.0,25.0,0.32,18.0,34.0,0.529,0.508,16.0,23.0,0.696,5.0,22.0,27.0,20.0,9.0,4.0,12.0,24.0,23.0,53.0,0.434,12.0,27.0,0.444,11.0,26.0,0.423,0.547,23.0,31.0,0.742,7.0,22.0,29.0,13.0,7.0,1.0,14.0,20.0,100.2,106.8,67.4,0.39,0.424,0.543,48.2,76.9,11.9,15.4,0.508,14.6,18.5,0.271,0.547,17.1,24.1,0.434
7.0,7.0,2023-11-22,N,Southern Illinois,REG (Non-Conf),L,54.0,81.0,,15.0,47.0,0.319,0.0,9.0,0.0,15.0,38.0,0.395,0.319,24.0,29.0,0.828,10.0,24.0,34.0,7.0,1.0,0.0,11.0,23.0,24.0,54.0,0.444,16.0,35.0,0.457,8.0,19.0,0.421,0.593,17.0,26.0,0.654,7.0,23.0,30.0,22.0,5.0,4.0,4.0,21.0,86.3,129.5,62.6,0.617,0.191,0.444,53.1,46.7,1.6,0.0,0.319,15.3,30.3,0.511,0.593,5.7,22.6,0.315
8.0,8.0,2023-11-26,@,Louisville,REG (Non-Conf),L,84.0,90.0,OT,35.0,60.0,0.583,5.0,18.0,0.278,30.0,42.0,0.714,0.625,9.0,17.0,0.529,8.0,24.0,32.0,17.0,7.0,1.0,13.0,40.0,25.0,56.0,0.446,4.0,20.0,0.2,21.0,36.0,0.583,0.482,36.0,49.0,0.735,15.0,20.0,35.0,12.0,8.0,1.0,12.0,16.0,112.5,120.5,66.4,0.283,0.3,0.617,47.8,48.6,9.4,2.8,0.625,16.0,28.6,0.15,0.482,13.1,38.5,0.643
9.0,9.0,2023-11-28,,Univ of the SW,REG (Non-Conf),W,84.0,49.0,,33.0,65.0,0.508,11.0,20.0,0.55,22.0,45.0,0.489,0.592,7.0,10.0,0.7,14.0,27.0,41.0,18.0,9.0,1.0,12.0,12.0,16.0,55.0,0.291,7.0,22.0,0.318,9.0,33.0,0.273,0.355,10.0,13.0,0.769,6.0,17.0,23.0,11.0,7.0,7.0,14.0,9.0,122.7,71.6,68.5,0.154,0.308,0.602,64.1,54.5,13.1,3.0,0.592,14.7,45.2,0.108,0.355,18.6,18.2,0.182
10.0,10.0,2023-12-02,@,New Mexico,REG (Non-Conf),L,62.0,106.0,,19.0,48.0,0.396,3.0,18.0,0.167,16.0,30.0,0.533,0.427,21.0,28.0,0.75,8.0,18.0,26.0,8.0,5.0,3.0,16.0,29.0,32.0,53.0,0.604,14.0,25.0,0.56,18.0,28.0,0.643,0.736,28.0,41.0,0.683,7.0,19.0,26.0,24.0,10.0,5.0,6.0,24.0,88.1,150.6,70.4,0.583,0.375,0.506,50.0,42.1,7.1,10.7,0.427,20.7,29.6,0.438,0.736,7.6,28.0,0.528
11.0,11.0,2023-12-12,,N New Mexico,REG (Non-Conf),W,76.0,71.0,,26.0,48.0,0.542,5.0,13.0,0.385,21.0,35.0,0.6,0.594,19.0,33.0,0.576,3.0,23.0,26.0,15.0,11.0,10.0,11.0,19.0,26.0,65.0,0.4,7.0,15.0,0.467,19.0,50.0,0.38,0.454,12.0,18.0,0.667,9.0,26.0,35.0,11.0,6.0,2.0,18.0,24.0,98.6,92.1,77.1,0.688,0.271,0.597,42.6,57.7,14.3,20.0,0.594,14.7,10.3,0.396,0.454,19.7,28.1,0.185
12.0,12.0,2023-12-15,,New Mexico,REG (Non-Conf),L,72.0,73.0,,25.0,51.0,0.49,9.0,20.0,0.45,16.0,31.0,0.516,0.578,13.0,19.0,0.684,9.0,21.0,30.0,10.0,10.0,4.0,21.0,19.0,28.0,64.0,0.438,6.0,14.0,0.429,22.0,50.0,0.44,0.484,11.0,22.0,0.5,16.0,21.0,37.0,15.0,14.0,1.0,16.0,17.0,98.3,99.7,73.2,0.373,0.392,0.6,44.8,40.0,13.7,8.0,0.578,25.9,30.0,0.255,0.484,17.7,43.2,0.172
