Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Miami (FL),REG (Non-Conf),L,60.0,101.0,,23.0,68.0,0.338,9.0,30.0,0.3,14.0,38.0,0.368,0.404,5.0,11.0,0.455,9.0,22.0,31.0,12.0,6.0,2.0,16.0,13.0,39.0,72.0,0.542,12.0,28.0,0.429,27.0,44.0,0.614,0.625,11.0,17.0,0.647,11.0,33.0,44.0,23.0,10.0,7.0,9.0,12.0,75.8,127.6,79.2,0.162,0.441,0.41,41.3,52.2,7.6,4.5,0.404,17.9,21.4,0.074,0.625,10.1,33.3,0.153
2.0,2.0,2023-11-11,,Saint Peter's,REG (Non-Conf),L,48.0,75.0,,11.0,42.0,0.262,6.0,20.0,0.3,5.0,22.0,0.227,0.333,20.0,31.0,0.645,7.0,13.0,20.0,6.0,6.0,1.0,17.0,27.0,20.0,56.0,0.357,5.0,20.0,0.25,15.0,36.0,0.417,0.402,30.0,34.0,0.882,19.0,26.0,45.0,8.0,9.0,1.0,11.0,26.0,73.4,114.6,65.4,0.738,0.476,0.423,30.8,54.5,9.2,2.8,0.333,23.1,21.2,0.476,0.402,13.2,59.4,0.536
3.0,3.0,2023-11-16,@,American,REG (Non-Conf),L,73.0,87.0,,30.0,58.0,0.517,5.0,17.0,0.294,25.0,41.0,0.61,0.56,8.0,10.0,0.8,3.0,21.0,24.0,11.0,7.0,2.0,10.0,19.0,29.0,60.0,0.483,13.0,31.0,0.419,16.0,29.0,0.552,0.592,16.0,21.0,0.762,8.0,26.0,34.0,21.0,5.0,3.0,9.0,12.0,103.7,123.6,70.4,0.172,0.293,0.582,41.4,36.7,9.9,6.9,0.56,13.7,10.3,0.138,0.592,11.4,27.6,0.267
4.0,4.0,2023-11-20,,Delaware State,REG (Non-Conf),W,81.0,72.0,,25.0,52.0,0.481,6.0,19.0,0.316,19.0,33.0,0.576,0.538,25.0,32.0,0.781,6.0,25.0,31.0,12.0,7.0,0.0,13.0,30.0,23.0,64.0,0.359,2.0,9.0,0.222,21.0,55.0,0.382,0.375,24.0,41.0,0.585,20.0,21.0,41.0,9.0,7.0,2.0,12.0,23.0,108.2,96.2,74.8,0.615,0.365,0.603,43.1,48.0,9.4,0.0,0.538,16.2,22.2,0.481,0.375,12.6,44.4,0.375
5.0,5.0,2023-11-25,@,Wagner,REG (Non-Conf),L,51.0,64.0,,14.0,43.0,0.326,4.0,21.0,0.19,10.0,22.0,0.455,0.372,19.0,31.0,0.613,9.0,25.0,34.0,7.0,4.0,2.0,12.0,19.0,20.0,49.0,0.408,10.0,24.0,0.417,10.0,25.0,0.4,0.51,14.0,26.0,0.538,9.0,24.0,33.0,14.0,9.0,2.0,11.0,27.0,82.2,103.2,62.0,0.721,0.488,0.442,50.7,50.0,6.4,8.0,0.372,17.2,27.3,0.442,0.51,15.2,26.5,0.286
6.0,6.0,2023-11-29,@,George Mason,REG (Non-Conf),L,68.0,86.0,,20.0,60.0,0.333,12.0,30.0,0.4,8.0,30.0,0.267,0.433,16.0,20.0,0.8,9.0,24.0,33.0,11.0,4.0,3.0,10.0,25.0,30.0,60.0,0.5,9.0,16.0,0.563,21.0,44.0,0.477,0.575,17.0,29.0,0.586,13.0,28.0,41.0,16.0,7.0,1.0,9.0,16.0,97.0,122.6,70.1,0.333,0.5,0.489,44.6,55.0,5.7,6.8,0.433,12.6,24.3,0.267,0.575,10.9,35.1,0.283
7.0,7.0,2023-12-02,,FDU,REG (Non-Conf),L,68.0,71.0,,25.0,62.0,0.403,11.0,29.0,0.379,14.0,33.0,0.424,0.492,7.0,10.0,0.7,12.0,26.0,38.0,16.0,8.0,5.0,17.0,19.0,25.0,61.0,0.41,8.0,22.0,0.364,17.0,39.0,0.436,0.475,13.0,17.0,0.765,9.0,26.0,35.0,12.0,11.0,3.0,14.0,14.0,93.3,97.4,72.9,0.161,0.468,0.509,52.1,64.0,11.0,12.8,0.492,20.3,31.6,0.113,0.475,16.9,25.7,0.213
8.0,8.0,2023-12-06,@,Fordham,REG (Non-Conf),W,80.0,77.0,,25.0,55.0,0.455,12.0,25.0,0.48,13.0,30.0,0.433,0.564,18.0,25.0,0.72,4.0,21.0,25.0,12.0,5.0,1.0,12.0,23.0,27.0,56.0,0.482,6.0,18.0,0.333,21.0,38.0,0.553,0.536,17.0,31.0,0.548,12.0,23.0,35.0,16.0,6.0,11.0,10.0,23.0,111.4,107.2,71.8,0.455,0.455,0.598,41.7,48.0,7.0,2.6,0.564,15.2,14.8,0.327,0.536,12.4,36.4,0.304
9.0,9.0,2023-12-09,@,Wake Forest,REG (Non-Conf),L,59.0,83.0,,23.0,59.0,0.39,6.0,28.0,0.214,17.0,31.0,0.548,0.441,7.0,7.0,1.0,9.0,21.0,30.0,8.0,4.0,5.0,12.0,14.0,32.0,57.0,0.561,9.0,21.0,0.429,23.0,36.0,0.639,0.64,10.0,16.0,0.625,5.0,25.0,30.0,13.0,7.0,1.0,9.0,11.0,88.1,123.9,67.0,0.119,0.475,0.473,50.0,34.8,6.0,13.9,0.441,16.1,26.5,0.119,0.64,12.2,19.2,0.175
10.0,10.0,2023-12-16,@,Niagara,REG (Non-Conf),L,81.0,89.0,,29.0,67.0,0.433,9.0,22.0,0.409,20.0,45.0,0.444,0.5,14.0,21.0,0.667,11.0,13.0,24.0,13.0,3.0,1.0,3.0,19.0,31.0,61.0,0.508,7.0,18.0,0.389,24.0,43.0,0.558,0.566,20.0,22.0,0.909,15.0,22.0,37.0,13.0,2.0,5.0,10.0,15.0,119.6,131.4,67.7,0.313,0.328,0.526,39.3,44.8,4.4,2.3,0.5,3.8,33.3,0.209,0.566,12.3,53.6,0.328
