Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Pittsburgh,REG (Non-Conf),L,52.0,100.0,,19.0,70.0,0.271,8.0,34.0,0.235,11.0,36.0,0.306,0.329,6.0,9.0,0.667,7.0,16.0,23.0,9.0,5.0,6.0,9.0,17.0,40.0,71.0,0.563,12.0,29.0,0.414,28.0,42.0,0.667,0.648,8.0,17.0,0.471,13.0,42.0,55.0,21.0,5.0,9.0,10.0,12.0,68.3,131.3,76.2,0.129,0.486,0.35,29.5,47.4,6.6,14.3,0.329,10.8,14.3,0.086,0.648,11.2,44.8,0.113
2.0,2.0,2023-11-10,@,UNC Greensboro,REG (Non-Conf),L,78.0,94.0,,25.0,59.0,0.424,9.0,28.0,0.321,16.0,31.0,0.516,0.5,19.0,29.0,0.655,8.0,18.0,26.0,13.0,9.0,6.0,8.0,14.0,34.0,72.0,0.472,15.0,29.0,0.517,19.0,43.0,0.442,0.576,11.0,13.0,0.846,16.0,30.0,46.0,21.0,5.0,1.0,14.0,20.0,104.7,126.2,74.5,0.492,0.475,0.536,36.1,52.0,12.1,14.0,0.5,9.9,21.1,0.322,0.576,15.2,47.1,0.153
3.0,3.0,2023-11-14,@,Virginia,REG (Non-Conf),L,51.0,80.0,,17.0,53.0,0.321,8.0,31.0,0.258,9.0,22.0,0.409,0.396,9.0,12.0,0.75,4.0,14.0,18.0,11.0,4.0,2.0,10.0,13.0,31.0,57.0,0.544,6.0,13.0,0.462,25.0,44.0,0.568,0.596,12.0,16.0,0.75,11.0,30.0,41.0,22.0,7.0,10.0,8.0,11.0,80.8,126.7,63.2,0.226,0.585,0.434,30.5,64.7,6.3,4.5,0.396,14.6,11.8,0.17,0.596,11.0,44.0,0.211
4.0,4.0,2023-11-22,N,Merrimack,REG (Non-Conf),L,73.0,96.0,,25.0,61.0,0.41,7.0,22.0,0.318,18.0,39.0,0.462,0.467,16.0,22.0,0.727,4.0,18.0,22.0,12.0,6.0,0.0,11.0,15.0,34.0,61.0,0.557,6.0,19.0,0.316,28.0,42.0,0.667,0.607,22.0,29.0,0.759,6.0,34.0,40.0,15.0,9.0,6.0,9.0,19.0,93.5,122.9,78.1,0.361,0.361,0.511,35.5,48.0,7.7,0.0,0.467,13.3,10.5,0.262,0.607,10.7,25.0,0.361
5.0,5.0,2023-11-24,N,Alabama State,REG (Non-Conf),L,73.0,88.0,,19.0,55.0,0.345,8.0,29.0,0.276,11.0,26.0,0.423,0.418,27.0,32.0,0.844,7.0,19.0,26.0,12.0,6.0,3.0,10.0,17.0,34.0,61.0,0.557,7.0,16.0,0.438,27.0,45.0,0.6,0.615,13.0,20.0,0.65,10.0,24.0,34.0,16.0,6.0,1.0,10.0,23.0,101.6,122.5,71.9,0.582,0.527,0.52,43.3,63.2,8.4,6.7,0.418,12.5,22.6,0.491,0.615,12.4,34.5,0.213
6.0,6.0,2023-11-25,@,Samford,REG (Non-Conf),L,83.0,101.0,,27.0,61.0,0.443,8.0,21.0,0.381,19.0,40.0,0.475,0.508,21.0,32.0,0.656,6.0,21.0,27.0,15.0,7.0,3.0,12.0,21.0,36.0,67.0,0.537,11.0,25.0,0.44,25.0,42.0,0.595,0.619,18.0,21.0,0.857,7.0,26.0,33.0,27.0,6.0,3.0,12.0,24.0,101.1,123.0,82.1,0.525,0.344,0.545,45.0,55.6,8.5,7.1,0.508,13.6,18.8,0.344,0.619,13.5,25.0,0.269
7.0,7.0,2023-12-02,,The Citadel,REG (Non-Conf),L,68.0,85.0,,25.0,63.0,0.397,6.0,23.0,0.261,19.0,40.0,0.475,0.444,12.0,14.0,0.857,5.0,16.0,21.0,14.0,5.0,5.0,5.0,17.0,32.0,58.0,0.552,7.0,13.0,0.538,25.0,45.0,0.556,0.612,14.0,18.0,0.778,10.0,30.0,40.0,12.0,2.0,4.0,10.0,12.0,99.9,124.8,68.1,0.222,0.365,0.488,34.4,56.0,7.3,11.1,0.444,6.7,14.3,0.19,0.612,13.1,38.5,0.241
8.0,8.0,2023-12-08,@,High Point,REG (Non-Conf),L,62.0,75.0,,24.0,50.0,0.48,2.0,6.0,0.333,22.0,44.0,0.5,0.5,12.0,16.0,0.75,5.0,14.0,19.0,17.0,8.0,3.0,11.0,15.0,28.0,51.0,0.549,7.0,13.0,0.538,21.0,38.0,0.553,0.618,12.0,16.0,0.75,10.0,22.0,32.0,10.0,4.0,2.0,16.0,15.0,96.7,117.0,64.1,0.32,0.12,0.538,37.3,70.8,12.5,7.9,0.5,16.0,18.5,0.24,0.618,21.4,41.7,0.235
9.0,9.0,2023-12-12,,North Carolina Central,REG (Non-Conf),L,62.0,67.0,,19.0,66.0,0.288,3.0,21.0,0.143,16.0,45.0,0.356,0.311,21.0,27.0,0.778,17.0,23.0,40.0,9.0,7.0,3.0,9.0,20.0,23.0,51.0,0.451,5.0,19.0,0.263,18.0,32.0,0.563,0.5,16.0,31.0,0.516,7.0,29.0,36.0,15.0,7.0,4.0,12.0,19.0,87.6,94.7,70.8,0.409,0.318,0.393,52.6,47.4,9.9,9.4,0.311,10.2,37.0,0.318,0.5,15.4,23.3,0.314
10.0,10.0,2023-12-16,N,Texas Southern,REG (Non-Conf),W,85.0,79.0,,27.0,54.0,0.5,9.0,23.0,0.391,18.0,31.0,0.581,0.583,22.0,32.0,0.688,7.0,23.0,30.0,13.0,6.0,2.0,10.0,13.0,29.0,60.0,0.483,11.0,30.0,0.367,18.0,30.0,0.6,0.575,10.0,14.0,0.714,7.0,21.0,28.0,17.0,10.0,3.0,12.0,22.0,118.2,109.8,71.9,0.593,0.426,0.614,51.7,48.1,8.3,6.7,0.583,12.6,25.0,0.407,0.575,15.3,23.3,0.167
