Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Kansas,REG (Non-Conf),L,56.0,99.0,,20.0,57.0,0.351,6.0,23.0,0.261,14.0,34.0,0.412,0.404,10.0,18.0,0.556,9.0,12.0,21.0,7.0,7.0,1.0,8.0,13.0,39.0,56.0,0.696,13.0,23.0,0.565,26.0,33.0,0.788,0.813,8.0,10.0,0.8,3.0,33.0,36.0,34.0,4.0,3.0,10.0,13.0,84.7,149.7,66.2,0.316,0.404,0.427,36.8,35.0,10.6,3.0,0.404,10.9,21.4,0.175,0.813,14.1,20.0,0.143
2.0,2.0,2023-11-09,,VU Lynchburg,REG (Non-Conf),W,107.0,54.0,,41.0,78.0,0.526,9.0,24.0,0.375,32.0,54.0,0.593,0.583,16.0,24.0,0.667,12.0,32.0,44.0,26.0,17.0,4.0,11.0,17.0,20.0,66.0,0.303,2.0,18.0,0.111,18.0,48.0,0.375,0.318,12.0,19.0,0.632,15.0,23.0,38.0,5.0,5.0,5.0,26.0,18.0,122.7,61.9,87.2,0.308,0.308,0.598,53.7,63.4,19.5,8.3,0.583,11.0,34.3,0.205,0.318,25.7,31.9,0.182
3.0,3.0,2023-11-12,@,Georgia,REG (Non-Conf),L,54.0,64.0,,18.0,55.0,0.327,5.0,21.0,0.238,13.0,34.0,0.382,0.373,13.0,18.0,0.722,10.0,24.0,34.0,11.0,6.0,7.0,13.0,19.0,19.0,53.0,0.358,6.0,25.0,0.24,13.0,28.0,0.464,0.415,20.0,25.0,0.8,9.0,25.0,34.0,12.0,9.0,3.0,10.0,15.0,81.6,96.7,66.2,0.327,0.382,0.425,50.0,61.1,9.1,25.0,0.373,17.0,28.6,0.236,0.415,13.4,27.3,0.377
4.0,4.0,2023-11-14,,Mid-Atl Christian,REG (Non-Conf),W,113.0,50.0,,43.0,74.0,0.581,14.0,35.0,0.4,29.0,39.0,0.744,0.676,13.0,17.0,0.765,11.0,26.0,37.0,28.0,19.0,5.0,11.0,12.0,19.0,62.0,0.306,5.0,27.0,0.185,14.0,35.0,0.4,0.347,7.0,12.0,0.583,10.0,18.0,28.0,11.0,9.0,1.0,27.0,11.0,135.5,60.0,83.4,0.23,0.473,0.688,56.9,65.1,22.8,14.3,0.676,11.8,37.9,0.176,0.347,28.5,27.8,0.113
5.0,5.0,2023-11-18,@,Longwood,REG (Non-Conf),L,66.0,73.0,,25.0,54.0,0.463,6.0,20.0,0.3,19.0,34.0,0.559,0.519,10.0,15.0,0.667,7.0,16.0,23.0,9.0,5.0,2.0,9.0,24.0,22.0,58.0,0.379,5.0,25.0,0.2,17.0,33.0,0.515,0.422,24.0,31.0,0.774,16.0,21.0,37.0,9.0,3.0,5.0,7.0,18.0,104.1,115.1,63.4,0.278,0.37,0.54,38.3,36.0,7.9,6.1,0.519,12.8,25.0,0.185,0.422,8.8,50.0,0.414
6.0,6.0,2023-11-20,@,Campbell,REG (Non-Conf),W,78.0,75.0,OT,30.0,69.0,0.435,9.0,29.0,0.31,21.0,40.0,0.525,0.5,9.0,15.0,0.6,13.0,21.0,34.0,12.0,10.0,2.0,15.0,23.0,26.0,53.0,0.491,5.0,15.0,0.333,21.0,38.0,0.553,0.538,18.0,29.0,0.621,8.0,24.0,32.0,10.0,7.0,8.0,15.0,17.0,102.7,98.7,67.5,0.217,0.42,0.512,51.5,40.0,13.2,5.3,0.5,16.5,35.1,0.13,0.538,18.3,27.6,0.34
7.0,7.0,2023-11-21,N,The Citadel,REG (Non-Conf),L,61.0,67.0,,22.0,52.0,0.423,5.0,19.0,0.263,17.0,33.0,0.515,0.471,12.0,17.0,0.706,6.0,24.0,30.0,8.0,6.0,3.0,10.0,10.0,23.0,60.0,0.383,11.0,29.0,0.379,12.0,31.0,0.387,0.475,10.0,11.0,0.909,12.0,25.0,37.0,13.0,7.0,1.0,8.0,15.0,97.4,106.9,62.7,0.327,0.365,0.508,44.8,36.4,9.6,9.7,0.471,14.3,19.4,0.231,0.475,10.9,33.3,0.167
8.0,8.0,2023-11-26,@,Coastal Carolina,REG (Non-Conf),W,70.0,58.0,,23.0,61.0,0.377,5.0,27.0,0.185,18.0,34.0,0.529,0.418,19.0,21.0,0.905,12.0,23.0,35.0,7.0,10.0,1.0,13.0,18.0,21.0,53.0,0.396,3.0,23.0,0.13,18.0,30.0,0.6,0.425,13.0,23.0,0.565,13.0,21.0,34.0,9.0,8.0,5.0,15.0,19.0,101.5,84.1,69.0,0.344,0.443,0.493,50.7,30.4,14.5,3.3,0.418,15.5,36.4,0.311,0.425,19.0,36.1,0.245
9.0,9.0,2023-12-02,,USC Upstate,REG (Non-Conf),L,82.0,85.0,,25.0,45.0,0.556,4.0,9.0,0.444,21.0,36.0,0.583,0.6,28.0,38.0,0.737,5.0,15.0,20.0,11.0,12.0,4.0,15.0,17.0,30.0,54.0,0.556,12.0,27.0,0.444,18.0,27.0,0.667,0.667,13.0,17.0,0.765,9.0,16.0,25.0,22.0,7.0,3.0,20.0,24.0,112.2,116.3,73.1,0.844,0.2,0.65,44.4,44.0,16.4,14.8,0.6,19.2,23.8,0.622,0.667,24.4,37.5,0.241
10.0,10.0,2023-12-05,@,Virginia,REG (Non-Conf),L,47.0,77.0,,15.0,51.0,0.294,3.0,17.0,0.176,12.0,34.0,0.353,0.324,14.0,21.0,0.667,7.0,23.0,30.0,8.0,5.0,3.0,9.0,11.0,32.0,59.0,0.542,9.0,21.0,0.429,23.0,38.0,0.605,0.619,4.0,8.0,0.5,5.0,31.0,36.0,24.0,7.0,6.0,5.0,17.0,74.7,122.4,62.9,0.412,0.333,0.385,45.5,53.3,8.0,7.9,0.324,12.9,18.4,0.275,0.619,7.4,17.9,0.068
