Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,The Citadel,REG (Non-Conf),W,72.0,59.0,,29.0,65.0,0.446,10.0,28.0,0.357,19.0,37.0,0.514,0.523,4.0,7.0,0.571,8.0,28.0,36.0,19.0,9.0,5.0,9.0,20.0,21.0,53.0,0.396,4.0,17.0,0.235,17.0,36.0,0.472,0.434,13.0,24.0,0.542,7.0,29.0,36.0,8.0,5.0,0.0,12.0,10.0,103.8,85.1,69.4,0.108,0.431,0.527,50.0,65.5,13.0,13.9,0.523,11.6,21.6,0.062,0.434,15.7,20.0,0.245
2.0,2.0,2023-11-10,,Abilene Christian,REG (Non-Conf),W,84.0,64.0,,29.0,62.0,0.468,6.0,22.0,0.273,23.0,40.0,0.575,0.516,20.0,24.0,0.833,12.0,22.0,34.0,12.0,4.0,3.0,7.0,20.0,20.0,57.0,0.351,5.0,17.0,0.294,15.0,40.0,0.375,0.395,19.0,27.0,0.704,14.0,20.0,34.0,12.0,4.0,3.0,11.0,19.0,124.2,94.7,67.6,0.387,0.355,0.572,50.0,41.4,5.9,7.5,0.516,8.7,37.5,0.323,0.395,13.6,38.9,0.333
3.0,3.0,2023-11-17,,Charleston Southern,REG (Non-Conf),W,87.0,53.0,,32.0,63.0,0.508,5.0,17.0,0.294,27.0,46.0,0.587,0.548,18.0,23.0,0.783,9.0,24.0,33.0,14.0,11.0,3.0,6.0,14.0,19.0,48.0,0.396,6.0,18.0,0.333,13.0,30.0,0.433,0.458,9.0,11.0,0.818,5.0,19.0,24.0,10.0,2.0,5.0,18.0,16.0,126.9,77.3,68.6,0.365,0.27,0.588,57.9,43.8,16.0,10.0,0.548,7.5,32.1,0.286,0.458,25.3,17.2,0.188
4.0,4.0,2023-11-23,N,Vanderbilt,REG (Non-Conf),W,84.0,78.0,,30.0,70.0,0.429,8.0,19.0,0.421,22.0,51.0,0.431,0.486,16.0,21.0,0.762,10.0,25.0,35.0,17.0,12.0,3.0,12.0,22.0,25.0,56.0,0.446,7.0,22.0,0.318,18.0,34.0,0.529,0.509,21.0,30.0,0.7,8.0,29.0,37.0,11.0,9.0,3.0,18.0,17.0,103.6,96.2,81.1,0.3,0.271,0.525,48.6,56.7,14.8,8.8,0.486,13.0,25.6,0.229,0.509,20.4,24.2,0.375
5.0,5.0,2023-11-24,N,Brigham Young,REG (Non-Conf),L,86.0,95.0,,30.0,64.0,0.469,10.0,25.0,0.4,20.0,39.0,0.513,0.547,16.0,22.0,0.727,5.0,23.0,28.0,13.0,11.0,0.0,8.0,20.0,34.0,60.0,0.567,14.0,34.0,0.412,20.0,26.0,0.769,0.683,13.0,20.0,0.65,7.0,30.0,37.0,20.0,3.0,1.0,16.0,19.0,110.3,121.8,78.0,0.344,0.391,0.578,43.1,43.3,14.1,0.0,0.547,9.7,14.3,0.25,0.683,18.7,23.3,0.217
6.0,6.0,2023-11-28,@,Ole Miss,REG (Non-Conf),L,52.0,72.0,,21.0,66.0,0.318,3.0,25.0,0.12,18.0,41.0,0.439,0.341,7.0,12.0,0.583,16.0,22.0,38.0,10.0,2.0,2.0,13.0,15.0,24.0,59.0,0.407,7.0,20.0,0.35,17.0,39.0,0.436,0.466,17.0,20.0,0.85,8.0,28.0,36.0,11.0,7.0,9.0,7.0,14.0,76.4,105.7,68.1,0.182,0.379,0.363,51.4,47.6,2.9,5.1,0.341,15.3,36.4,0.106,0.466,9.3,26.7,0.288
7.0,7.0,2023-12-02,@,Boston College,REG (Conf),W,84.0,78.0,OT,29.0,65.0,0.446,8.0,18.0,0.444,21.0,47.0,0.447,0.508,18.0,21.0,0.857,8.0,32.0,40.0,13.0,7.0,3.0,13.0,21.0,29.0,67.0,0.433,6.0,21.0,0.286,23.0,46.0,0.5,0.478,14.0,26.0,0.538,9.0,27.0,36.0,12.0,7.0,4.0,10.0,17.0,104.8,97.3,71.3,0.323,0.277,0.56,52.6,44.8,8.7,6.5,0.508,14.8,22.9,0.277,0.478,11.2,22.0,0.209
8.0,8.0,2023-12-06,,Maryland Eastern Shore,REG (Non-Conf),W,93.0,61.0,,35.0,59.0,0.593,8.0,21.0,0.381,27.0,38.0,0.711,0.661,15.0,27.0,0.556,10.0,25.0,35.0,14.0,11.0,3.0,8.0,13.0,23.0,58.0,0.397,7.0,18.0,0.389,16.0,40.0,0.4,0.457,8.0,13.0,0.615,10.0,17.0,27.0,11.0,6.0,1.0,14.0,23.0,134.8,88.4,69.0,0.458,0.356,0.647,56.5,40.0,15.9,7.5,0.661,10.0,37.0,0.254,0.457,17.9,28.6,0.138
9.0,9.0,2023-12-12,,UT Martin,REG (Non-Conf),W,81.0,67.0,,31.0,70.0,0.443,13.0,34.0,0.382,18.0,36.0,0.5,0.536,6.0,10.0,0.6,13.0,26.0,39.0,17.0,6.0,5.0,9.0,12.0,25.0,63.0,0.397,9.0,24.0,0.375,16.0,39.0,0.41,0.468,8.0,14.0,0.571,9.0,25.0,34.0,12.0,3.0,3.0,12.0,11.0,113.0,93.4,71.7,0.143,0.486,0.542,53.4,54.8,8.4,12.8,0.536,10.7,34.2,0.086,0.468,14.7,25.7,0.127
10.0,10.0,2023-12-16,N,Tennessee,REG (Non-Conf),L,70.0,79.0,,22.0,51.0,0.431,8.0,18.0,0.444,14.0,33.0,0.424,0.51,18.0,25.0,0.72,6.0,21.0,27.0,13.0,7.0,4.0,11.0,18.0,27.0,62.0,0.435,12.0,27.0,0.444,15.0,35.0,0.429,0.532,13.0,16.0,0.813,14.0,23.0,37.0,22.0,6.0,2.0,11.0,18.0,104.1,117.5,67.2,0.49,0.353,0.557,42.2,59.1,10.4,11.4,0.51,14.9,20.7,0.353,0.532,13.6,40.0,0.21
