Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Campbell,REG (Non-Conf),L,48.0,59.0,,19.0,56.0,0.339,4.0,22.0,0.182,15.0,34.0,0.441,0.375,6.0,9.0,0.667,10.0,15.0,25.0,6.0,6.0,3.0,10.0,20.0,21.0,40.0,0.525,2.0,9.0,0.222,19.0,31.0,0.613,0.55,15.0,22.0,0.682,6.0,21.0,27.0,10.0,6.0,2.0,12.0,13.0,82.2,101.1,58.4,0.161,0.393,0.398,48.1,31.6,10.3,9.7,0.375,14.2,32.3,0.107,0.55,19.2,28.6,0.375
2.0,2.0,2023-11-10,,Temple,REG (Non-Conf),L,68.0,75.0,,24.0,55.0,0.436,7.0,19.0,0.368,17.0,36.0,0.472,0.5,13.0,16.0,0.813,7.0,26.0,33.0,12.0,6.0,2.0,14.0,21.0,25.0,61.0,0.41,10.0,32.0,0.313,15.0,29.0,0.517,0.492,15.0,22.0,0.682,12.0,24.0,36.0,13.0,8.0,3.0,8.0,15.0,99.2,109.4,68.5,0.291,0.345,0.543,47.8,50.0,8.8,6.9,0.5,18.3,22.6,0.236,0.492,10.1,31.6,0.246
3.0,3.0,2023-11-18,@,UC San Diego,REG (Non-Conf),L,55.0,73.0,,18.0,54.0,0.333,6.0,24.0,0.25,12.0,30.0,0.4,0.389,13.0,15.0,0.867,8.0,21.0,29.0,11.0,4.0,0.0,12.0,21.0,26.0,55.0,0.473,8.0,29.0,0.276,18.0,26.0,0.692,0.545,13.0,19.0,0.684,5.0,18.0,23.0,8.0,5.0,2.0,11.0,14.0,81.4,108.0,67.6,0.278,0.444,0.45,55.8,61.1,5.9,0.0,0.389,16.4,30.8,0.241,0.545,14.7,19.2,0.236
4.0,4.0,2023-11-20,@,San Diego,REG (Non-Conf),L,59.0,67.0,,21.0,65.0,0.323,4.0,21.0,0.19,17.0,44.0,0.386,0.354,13.0,19.0,0.684,12.0,18.0,30.0,10.0,7.0,1.0,12.0,19.0,23.0,51.0,0.451,2.0,21.0,0.095,21.0,30.0,0.7,0.471,19.0,23.0,0.826,9.0,25.0,34.0,11.0,6.0,11.0,14.0,19.0,83.7,95.1,70.5,0.292,0.323,0.399,46.9,47.6,9.9,3.3,0.354,13.9,32.4,0.2,0.471,18.4,33.3,0.373
5.0,5.0,2023-11-29,,VMI,REG (Non-Conf),W,67.0,47.0,,25.0,69.0,0.362,3.0,28.0,0.107,22.0,41.0,0.537,0.384,14.0,19.0,0.737,11.0,26.0,37.0,13.0,14.0,2.0,11.0,17.0,17.0,51.0,0.333,6.0,24.0,0.25,11.0,27.0,0.407,0.392,7.0,13.0,0.538,8.0,30.0,38.0,7.0,3.0,3.0,26.0,18.0,87.5,61.4,76.6,0.275,0.406,0.429,49.3,52.0,18.3,7.4,0.384,12.4,26.8,0.203,0.392,31.3,23.5,0.137
6.0,6.0,2023-12-03,,Coppin State,REG (Non-Conf),W,75.0,52.0,,24.0,51.0,0.471,7.0,18.0,0.389,17.0,33.0,0.515,0.539,20.0,31.0,0.645,7.0,28.0,35.0,15.0,14.0,1.0,11.0,20.0,15.0,49.0,0.306,6.0,23.0,0.261,9.0,26.0,0.346,0.367,16.0,23.0,0.696,7.0,19.0,26.0,5.0,5.0,2.0,19.0,23.0,105.9,73.4,70.8,0.608,0.353,0.571,57.4,62.5,19.8,3.8,0.539,14.3,26.9,0.392,0.367,24.1,20.0,0.327
7.0,7.0,2023-12-05,@,George Washington,REG (Non-Conf),L,77.0,79.0,OT,24.0,76.0,0.316,7.0,23.0,0.304,17.0,53.0,0.321,0.362,22.0,24.0,0.917,14.0,24.0,38.0,11.0,9.0,0.0,10.0,27.0,27.0,57.0,0.474,7.0,24.0,0.292,20.0,33.0,0.606,0.535,18.0,33.0,0.545,9.0,29.0,38.0,17.0,6.0,15.0,17.0,22.0,93.9,96.3,72.9,0.316,0.303,0.441,50.0,45.8,11.0,0.0,0.362,10.3,32.6,0.289,0.535,19.0,27.3,0.316
8.0,8.0,2023-12-08,@,Quinnipiac,REG (Non-Conf),L,68.0,71.0,,25.0,58.0,0.431,5.0,18.0,0.278,20.0,40.0,0.5,0.474,13.0,19.0,0.684,6.0,27.0,33.0,11.0,9.0,2.0,14.0,21.0,17.0,54.0,0.315,6.0,22.0,0.273,11.0,32.0,0.344,0.37,31.0,36.0,0.861,11.0,29.0,40.0,13.0,7.0,4.0,14.0,18.0,91.2,95.2,74.6,0.328,0.31,0.507,45.2,44.0,12.1,6.3,0.474,17.3,17.1,0.224,0.37,16.5,28.9,0.574
9.0,9.0,2023-12-17,,Washington Col.,REG (Non-Conf),W,91.0,33.0,,34.0,64.0,0.531,10.0,26.0,0.385,24.0,38.0,0.632,0.609,13.0,23.0,0.565,16.0,33.0,49.0,25.0,8.0,1.0,8.0,12.0,13.0,50.0,0.26,5.0,27.0,0.185,8.0,23.0,0.348,0.31,2.0,8.0,0.25,4.0,22.0,26.0,7.0,3.0,1.0,15.0,17.0,138.2,50.1,65.9,0.359,0.406,0.607,65.3,73.5,12.1,4.3,0.609,9.6,42.1,0.203,0.31,21.8,10.8,0.04
10.0,10.0,2023-12-21,@,Youngstown State,REG (Non-Conf),L,65.0,75.0,,26.0,61.0,0.426,6.0,18.0,0.333,20.0,43.0,0.465,0.475,7.0,9.0,0.778,8.0,22.0,30.0,17.0,8.0,1.0,11.0,16.0,28.0,59.0,0.475,8.0,27.0,0.296,20.0,32.0,0.625,0.542,11.0,14.0,0.786,10.0,23.0,33.0,18.0,6.0,10.0,8.0,11.0,98.5,113.7,66.0,0.148,0.295,0.498,47.6,65.4,12.1,3.1,0.475,14.4,25.8,0.115,0.542,10.9,31.3,0.186
