Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Lindenwood,REG (Non-Conf),W,84.0,52.0,,27.0,56.0,0.482,11.0,30.0,0.367,16.0,26.0,0.615,0.58,19.0,29.0,0.655,7.0,33.0,40.0,19.0,5.0,7.0,9.0,12.0,22.0,68.0,0.324,3.0,16.0,0.188,19.0,52.0,0.365,0.346,5.0,9.0,0.556,10.0,25.0,35.0,2.0,4.0,2.0,11.0,21.0,115.8,71.7,72.5,0.518,0.536,0.602,53.3,70.4,6.9,13.5,0.58,11.4,21.9,0.339,0.346,13.2,23.3,0.074
2.0,2.0,2023-11-09,,Florida A&M,REG (Non-Conf),W,81.0,54.0,,23.0,56.0,0.411,10.0,28.0,0.357,13.0,28.0,0.464,0.5,25.0,36.0,0.694,12.0,34.0,46.0,15.0,7.0,5.0,18.0,17.0,20.0,66.0,0.303,4.0,20.0,0.2,16.0,46.0,0.348,0.333,10.0,17.0,0.588,10.0,23.0,33.0,10.0,8.0,3.0,13.0,26.0,103.7,69.2,78.1,0.643,0.5,0.554,58.2,65.2,9.0,10.9,0.5,19.8,34.3,0.446,0.333,14.9,22.7,0.152
3.0,3.0,2023-11-13,,Rider,REG (Non-Conf),W,64.0,50.0,,19.0,57.0,0.333,9.0,32.0,0.281,10.0,25.0,0.4,0.412,17.0,22.0,0.773,12.0,31.0,43.0,13.0,3.0,0.0,10.0,9.0,17.0,56.0,0.304,6.0,25.0,0.24,11.0,31.0,0.355,0.357,10.0,12.0,0.833,6.0,27.0,33.0,8.0,10.0,5.0,11.0,18.0,96.9,75.7,66.1,0.386,0.561,0.474,56.6,68.4,4.5,0.0,0.412,12.9,30.8,0.298,0.357,15.1,16.2,0.179
4.0,4.0,2023-11-15,,Stony Brook,REG (Non-Conf),W,84.0,63.0,,33.0,60.0,0.55,8.0,26.0,0.308,25.0,34.0,0.735,0.617,10.0,17.0,0.588,10.0,32.0,42.0,19.0,3.0,1.0,14.0,13.0,25.0,66.0,0.379,7.0,30.0,0.233,18.0,36.0,0.5,0.432,6.0,10.0,0.6,8.0,19.0,27.0,6.0,10.0,2.0,7.0,17.0,118.5,88.8,70.9,0.283,0.433,0.617,60.9,57.6,4.2,2.8,0.617,17.1,34.5,0.167,0.432,9.0,20.0,0.091
5.0,5.0,2023-11-18,N,Oregon State,REG (Non-Conf),W,84.0,63.0,,30.0,65.0,0.462,8.0,24.0,0.333,22.0,41.0,0.537,0.523,16.0,26.0,0.615,15.0,26.0,41.0,16.0,8.0,3.0,6.0,19.0,19.0,54.0,0.352,6.0,22.0,0.273,13.0,32.0,0.406,0.407,19.0,21.0,0.905,9.0,20.0,29.0,11.0,4.0,3.0,9.0,23.0,127.0,95.2,66.2,0.4,0.369,0.543,58.6,53.3,12.1,9.4,0.523,7.2,42.9,0.246,0.407,12.3,25.7,0.352
6.0,6.0,2023-11-22,,Duquesne,REG (Non-Conf),W,89.0,79.0,,26.0,53.0,0.491,9.0,24.0,0.375,17.0,29.0,0.586,0.575,28.0,31.0,0.903,7.0,20.0,27.0,18.0,1.0,2.0,2.0,13.0,28.0,63.0,0.444,8.0,29.0,0.276,20.0,34.0,0.588,0.508,15.0,17.0,0.882,13.0,23.0,36.0,8.0,1.0,4.0,6.0,24.0,140.4,124.6,63.4,0.585,0.453,0.657,42.9,69.2,1.6,5.9,0.575,2.9,23.3,0.528,0.508,7.8,39.4,0.238
7.0,7.0,2023-11-26,,Cal State Fullerton,REG (Non-Conf),W,85.0,72.0,,27.0,58.0,0.466,12.0,30.0,0.4,15.0,28.0,0.536,0.569,19.0,20.0,0.95,10.0,24.0,34.0,18.0,3.0,3.0,9.0,9.0,28.0,67.0,0.418,9.0,22.0,0.409,19.0,45.0,0.422,0.485,7.0,9.0,0.778,12.0,19.0,31.0,9.0,8.0,5.0,12.0,17.0,123.4,104.5,68.9,0.345,0.517,0.63,52.3,66.7,4.4,6.7,0.569,11.8,34.5,0.328,0.485,14.4,33.3,0.104
8.0,8.0,2023-12-03,,Creighton,REG (Non-Conf),L,60.0,89.0,,24.0,71.0,0.338,2.0,22.0,0.091,22.0,49.0,0.449,0.352,10.0,14.0,0.714,13.0,22.0,35.0,6.0,7.0,1.0,8.0,10.0,32.0,69.0,0.464,14.0,40.0,0.35,18.0,29.0,0.621,0.565,11.0,13.0,0.846,12.0,34.0,46.0,17.0,5.0,4.0,10.0,14.0,82.3,122.1,72.9,0.197,0.31,0.386,43.2,25.0,9.6,3.4,0.352,9.3,27.7,0.141,0.565,11.7,35.3,0.159
9.0,9.0,2023-12-06,@,Minnesota,REG (Conf),L,65.0,76.0,,24.0,53.0,0.453,5.0,18.0,0.278,19.0,35.0,0.543,0.5,12.0,15.0,0.8,9.0,19.0,28.0,15.0,7.0,1.0,18.0,21.0,25.0,53.0,0.472,8.0,25.0,0.32,17.0,28.0,0.607,0.547,18.0,29.0,0.621,10.0,18.0,28.0,18.0,10.0,7.0,16.0,9.0,91.6,107.1,71.0,0.283,0.34,0.541,50.0,62.5,9.9,3.6,0.5,23.0,33.3,0.226,0.547,19.3,34.5,0.34
10.0,10.0,2023-12-10,,Michigan State,REG (Conf),W,77.0,70.0,,27.0,54.0,0.5,10.0,23.0,0.435,17.0,31.0,0.548,0.593,13.0,15.0,0.867,4.0,24.0,28.0,16.0,5.0,4.0,8.0,11.0,27.0,61.0,0.443,8.0,17.0,0.471,19.0,44.0,0.432,0.508,8.0,9.0,0.889,6.0,21.0,27.0,14.0,5.0,2.0,9.0,13.0,115.4,104.9,66.7,0.278,0.426,0.63,50.9,59.3,7.5,9.1,0.593,11.6,16.0,0.241,0.508,12.1,20.0,0.131
