Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Sacramento State,REG (Non-Conf),W,77.0,63.0,,26.0,59.0,0.441,4.0,15.0,0.267,22.0,44.0,0.5,0.475,21.0,27.0,0.778,10.0,23.0,33.0,17.0,8.0,2.0,7.0,16.0,23.0,62.0,0.371,11.0,33.0,0.333,12.0,29.0,0.414,0.46,6.0,8.0,0.75,6.0,24.0,30.0,16.0,2.0,4.0,13.0,24.0,108.7,89.0,70.8,0.458,0.254,0.536,52.4,65.4,11.3,6.9,0.475,8.9,29.4,0.356,0.46,16.5,20.7,0.097
2.0,2.0,2023-11-12,@,Washington,REG (Non-Conf),W,83.0,76.0,,30.0,65.0,0.462,2.0,14.0,0.143,28.0,51.0,0.549,0.477,21.0,26.0,0.808,8.0,26.0,34.0,8.0,5.0,0.0,6.0,21.0,30.0,62.0,0.484,7.0,24.0,0.292,23.0,38.0,0.605,0.54,9.0,21.0,0.429,8.0,25.0,33.0,11.0,4.0,6.0,11.0,24.0,110.4,101.1,75.2,0.4,0.215,0.537,50.7,26.7,6.7,0.0,0.477,7.2,24.2,0.323,0.54,13.3,23.5,0.145
3.0,3.0,2023-11-15,,Pacific,REG (Non-Conf),W,88.0,39.0,,34.0,67.0,0.507,6.0,20.0,0.3,28.0,47.0,0.596,0.552,14.0,18.0,0.778,12.0,39.0,51.0,17.0,5.0,10.0,10.0,18.0,14.0,57.0,0.246,4.0,25.0,0.16,10.0,32.0,0.313,0.281,7.0,18.0,0.389,6.0,20.0,26.0,7.0,6.0,3.0,13.0,18.0,120.5,53.4,73.1,0.269,0.299,0.582,66.2,50.0,6.8,31.3,0.552,11.7,37.5,0.209,0.281,16.5,13.3,0.123
4.0,4.0,2023-11-18,,Portland,REG (Non-Conf),W,108.0,83.0,,36.0,59.0,0.61,13.0,24.0,0.542,23.0,35.0,0.657,0.72,23.0,33.0,0.697,9.0,30.0,39.0,31.0,2.0,3.0,9.0,22.0,29.0,61.0,0.475,12.0,27.0,0.444,17.0,34.0,0.5,0.574,13.0,25.0,0.52,6.0,17.0,23.0,18.0,4.0,1.0,8.0,28.0,144.4,111.0,74.8,0.559,0.407,0.723,62.9,86.1,2.7,8.8,0.72,10.8,34.6,0.39,0.574,9.9,16.7,0.213
5.0,5.0,2023-11-29,,Montana,REG (Non-Conf),W,77.0,66.0,,21.0,51.0,0.412,5.0,15.0,0.333,16.0,36.0,0.444,0.461,30.0,38.0,0.789,6.0,31.0,37.0,10.0,4.0,3.0,10.0,19.0,24.0,69.0,0.348,5.0,27.0,0.185,19.0,42.0,0.452,0.384,13.0,18.0,0.722,14.0,27.0,41.0,16.0,4.0,4.0,10.0,24.0,105.0,90.0,73.3,0.745,0.294,0.558,47.4,47.6,5.5,7.1,0.461,12.7,18.2,0.588,0.384,11.4,31.1,0.188
6.0,6.0,2023-12-02,,Loyola Marymount,REG (Non-Conf),W,73.0,59.0,,25.0,56.0,0.446,2.0,8.0,0.25,23.0,48.0,0.479,0.464,21.0,27.0,0.778,7.0,23.0,30.0,17.0,6.0,7.0,4.0,15.0,20.0,59.0,0.339,9.0,30.0,0.3,11.0,29.0,0.379,0.415,10.0,14.0,0.714,8.0,25.0,33.0,11.0,2.0,5.0,12.0,27.0,107.8,87.1,67.7,0.482,0.143,0.53,47.6,68.0,8.9,24.1,0.464,5.5,21.9,0.375,0.415,15.5,25.8,0.169
7.0,7.0,2023-12-06,,UC Davis,REG (Non-Conf),W,80.0,68.0,,22.0,52.0,0.423,4.0,10.0,0.4,18.0,42.0,0.429,0.462,32.0,44.0,0.727,9.0,22.0,31.0,10.0,5.0,4.0,10.0,17.0,24.0,54.0,0.444,10.0,24.0,0.417,14.0,30.0,0.467,0.537,10.0,14.0,0.714,8.0,20.0,28.0,14.0,6.0,5.0,19.0,32.0,109.9,93.4,72.8,0.846,0.192,0.549,52.5,45.5,6.9,13.3,0.462,12.1,31.0,0.615,0.537,23.9,26.7,0.185
8.0,8.0,2023-12-09,N,Drake,REG (Non-Conf),L,53.0,72.0,,19.0,51.0,0.373,6.0,25.0,0.24,13.0,26.0,0.5,0.431,9.0,18.0,0.5,6.0,30.0,36.0,9.0,2.0,3.0,18.0,15.0,27.0,62.0,0.435,10.0,30.0,0.333,17.0,32.0,0.531,0.516,8.0,10.0,0.8,6.0,29.0,35.0,19.0,11.0,1.0,10.0,21.0,74.5,101.2,71.2,0.353,0.49,0.445,50.7,47.4,2.8,9.4,0.431,23.2,17.1,0.176,0.516,13.0,16.7,0.129
9.0,9.0,2023-12-13,,Weber State,REG (Non-Conf),W,72.0,55.0,,28.0,49.0,0.571,9.0,22.0,0.409,19.0,27.0,0.704,0.663,7.0,17.0,0.412,2.0,24.0,26.0,21.0,8.0,5.0,11.0,14.0,21.0,52.0,0.404,8.0,24.0,0.333,13.0,28.0,0.464,0.481,5.0,11.0,0.455,6.0,23.0,29.0,9.0,7.0,0.0,15.0,15.0,108.8,83.1,66.2,0.347,0.449,0.631,47.3,75.0,12.1,17.9,0.663,16.2,8.0,0.143,0.481,20.8,20.0,0.096
10.0,10.0,2023-12-17,@,Hawaii,REG (Non-Conf),W,72.0,66.0,,25.0,59.0,0.424,3.0,14.0,0.214,22.0,45.0,0.489,0.449,19.0,23.0,0.826,5.0,27.0,32.0,9.0,6.0,5.0,6.0,20.0,19.0,47.0,0.404,3.0,17.0,0.176,16.0,30.0,0.533,0.436,25.0,36.0,0.694,6.0,28.0,34.0,9.0,2.0,4.0,12.0,22.0,102.1,93.6,70.5,0.39,0.237,0.515,48.5,36.0,8.5,16.7,0.449,7.9,15.2,0.322,0.436,15.8,18.2,0.532
