Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Syracuse,REG (Non-Conf),L,72.0,83.0,,25.0,68.0,0.368,8.0,31.0,0.258,17.0,37.0,0.459,0.426,14.0,19.0,0.737,12.0,26.0,38.0,15.0,6.0,1.0,15.0,22.0,28.0,67.0,0.418,5.0,21.0,0.238,23.0,46.0,0.5,0.455,22.0,27.0,0.815,13.0,33.0,46.0,13.0,13.0,2.0,11.0,17.0,91.2,105.2,78.9,0.279,0.456,0.467,45.2,60.0,7.6,2.2,0.426,16.3,26.7,0.206,0.455,12.1,33.3,0.328
2.0,2.0,2023-11-08,,Curry,REG (Non-Conf),W,115.0,38.0,,43.0,83.0,0.518,18.0,39.0,0.462,25.0,44.0,0.568,0.627,11.0,13.0,0.846,11.0,49.0,60.0,26.0,14.0,2.0,6.0,16.0,10.0,65.0,0.154,4.0,31.0,0.129,6.0,34.0,0.176,0.185,14.0,19.0,0.737,8.0,26.0,34.0,5.0,3.0,4.0,19.0,11.0,135.9,44.9,84.6,0.157,0.47,0.645,63.8,60.5,16.5,5.9,0.627,6.3,29.7,0.133,0.185,20.4,14.0,0.215
3.0,3.0,2023-11-14,,Brown,REG (Non-Conf),W,82.0,64.0,,25.0,58.0,0.431,10.0,25.0,0.4,15.0,33.0,0.455,0.517,22.0,27.0,0.815,6.0,26.0,32.0,14.0,11.0,5.0,12.0,20.0,23.0,61.0,0.377,3.0,15.0,0.2,20.0,46.0,0.435,0.402,15.0,23.0,0.652,12.0,25.0,37.0,9.0,9.0,3.0,14.0,23.0,108.8,84.9,75.4,0.466,0.431,0.579,46.4,56.0,14.6,10.9,0.517,14.5,19.4,0.379,0.402,16.3,31.6,0.246
4.0,4.0,2023-11-18,@,George Washington,REG (Non-Conf),L,67.0,79.0,,26.0,72.0,0.361,4.0,31.0,0.129,22.0,41.0,0.537,0.389,11.0,17.0,0.647,9.0,24.0,33.0,8.0,9.0,0.0,7.0,15.0,25.0,56.0,0.446,9.0,23.0,0.391,16.0,33.0,0.485,0.527,20.0,25.0,0.8,7.0,35.0,42.0,15.0,5.0,10.0,16.0,15.0,86.5,102.0,77.5,0.236,0.431,0.418,44.0,30.8,11.6,0.0,0.389,8.0,20.5,0.153,0.527,19.1,22.6,0.357
5.0,5.0,2023-11-21,,Marist,REG (Non-Conf),W,74.0,71.0,,24.0,50.0,0.48,7.0,18.0,0.389,17.0,32.0,0.531,0.55,19.0,27.0,0.704,6.0,23.0,29.0,12.0,9.0,2.0,11.0,13.0,29.0,57.0,0.509,4.0,17.0,0.235,25.0,40.0,0.625,0.544,9.0,10.0,0.9,3.0,21.0,24.0,17.0,8.0,2.0,10.0,20.0,108.4,104.0,68.3,0.54,0.36,0.589,54.7,50.0,13.2,5.0,0.55,14.9,22.2,0.38,0.544,13.9,11.5,0.158
6.0,6.0,2023-11-24,@,Fairfield,REG (Non-Conf),W,83.0,80.0,,32.0,64.0,0.5,13.0,29.0,0.448,19.0,35.0,0.543,0.602,6.0,7.0,0.857,9.0,24.0,33.0,14.0,3.0,5.0,15.0,12.0,32.0,70.0,0.457,4.0,20.0,0.2,28.0,50.0,0.56,0.486,12.0,15.0,0.8,10.0,20.0,30.0,14.0,13.0,5.0,6.0,11.0,113.3,109.3,73.2,0.109,0.453,0.616,52.4,43.8,4.1,10.0,0.602,18.2,31.0,0.094,0.486,7.2,29.4,0.171
7.0,7.0,2023-11-27,@,Connecticut,REG (Non-Conf),L,64.0,84.0,,18.0,50.0,0.36,13.0,27.0,0.481,5.0,23.0,0.217,0.49,15.0,29.0,0.517,2.0,18.0,20.0,10.0,8.0,2.0,15.0,20.0,32.0,70.0,0.457,4.0,28.0,0.143,28.0,42.0,0.667,0.486,16.0,22.0,0.727,14.0,31.0,45.0,16.0,10.0,6.0,10.0,19.0,83.5,109.6,76.6,0.58,0.54,0.502,30.8,55.6,10.4,4.8,0.49,19.0,6.1,0.3,0.486,11.1,43.8,0.229
8.0,8.0,2023-11-30,@,Sacred Heart,REG (Non-Conf),W,90.0,84.0,,30.0,69.0,0.435,9.0,30.0,0.3,21.0,39.0,0.538,0.5,21.0,30.0,0.7,8.0,30.0,38.0,18.0,8.0,1.0,11.0,20.0,31.0,69.0,0.449,5.0,18.0,0.278,26.0,51.0,0.51,0.486,17.0,27.0,0.63,7.0,30.0,37.0,7.0,6.0,6.0,11.0,25.0,104.6,97.6,86.0,0.435,0.435,0.541,50.7,60.0,9.3,2.0,0.5,11.7,21.1,0.304,0.486,11.9,18.9,0.246
9.0,9.0,2023-12-03,,Columbia,REG (Non-Conf),W,80.0,71.0,,27.0,72.0,0.375,11.0,35.0,0.314,16.0,37.0,0.432,0.451,15.0,20.0,0.75,10.0,24.0,34.0,17.0,6.0,3.0,5.0,15.0,24.0,62.0,0.387,8.0,27.0,0.296,16.0,35.0,0.457,0.452,15.0,18.0,0.833,12.0,28.0,40.0,11.0,5.0,5.0,13.0,20.0,108.1,95.9,74.0,0.278,0.486,0.491,45.9,63.0,8.1,8.6,0.451,5.8,26.3,0.208,0.452,15.6,33.3,0.242
10.0,10.0,2023-12-06,@,Dartmouth,REG (Non-Conf),L,64.0,76.0,,23.0,66.0,0.348,5.0,20.0,0.25,18.0,46.0,0.391,0.386,13.0,15.0,0.867,9.0,32.0,41.0,7.0,4.0,0.0,7.0,13.0,27.0,60.0,0.45,14.0,33.0,0.424,13.0,27.0,0.481,0.567,8.0,11.0,0.727,3.0,29.0,32.0,19.0,3.0,5.0,5.0,15.0,92.5,109.9,69.2,0.227,0.303,0.438,56.2,30.4,5.8,0.0,0.386,8.7,23.7,0.197,0.567,7.1,8.6,0.133
