Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Texas Southern,REG (Non-Conf),W,92.0,55.0,,30.0,67.0,0.448,10.0,23.0,0.435,20.0,44.0,0.455,0.522,22.0,27.0,0.815,10.0,35.0,45.0,20.0,9.0,5.0,9.0,17.0,20.0,68.0,0.294,5.0,24.0,0.208,15.0,44.0,0.341,0.331,10.0,19.0,0.526,10.0,23.0,33.0,9.0,5.0,9.0,12.0,20.0,116.6,69.7,78.9,0.403,0.343,0.576,57.7,66.7,11.4,11.4,0.522,10.1,30.3,0.328,0.331,13.5,22.2,0.147
2.0,2.0,2023-11-09,@,St. Mary's (CA),REG (Non-Conf),L,58.0,72.0,,23.0,62.0,0.371,4.0,12.0,0.333,19.0,50.0,0.38,0.403,8.0,15.0,0.533,9.0,23.0,32.0,10.0,8.0,2.0,12.0,21.0,25.0,55.0,0.455,6.0,17.0,0.353,19.0,38.0,0.5,0.509,16.0,25.0,0.64,13.0,23.0,36.0,13.0,8.0,6.0,13.0,18.0,83.5,103.6,69.5,0.242,0.194,0.42,47.1,43.5,11.5,5.3,0.403,14.8,28.1,0.129,0.509,16.3,36.1,0.291
3.0,3.0,2023-11-16,,UT Arlington,REG (Non-Conf),W,82.0,80.0,,30.0,69.0,0.435,4.0,19.0,0.211,26.0,50.0,0.52,0.464,18.0,26.0,0.692,11.0,19.0,30.0,8.0,4.0,6.0,8.0,18.0,30.0,65.0,0.462,5.0,23.0,0.217,25.0,42.0,0.595,0.5,15.0,20.0,0.75,14.0,29.0,43.0,11.0,3.0,2.0,12.0,24.0,108.7,106.1,75.4,0.377,0.275,0.504,41.1,26.7,5.3,14.3,0.464,9.0,27.5,0.261,0.5,13.9,42.4,0.231
4.0,4.0,2023-11-21,N,Toledo,REG (Non-Conf),W,92.0,84.0,,34.0,68.0,0.5,3.0,13.0,0.231,31.0,55.0,0.564,0.522,21.0,27.0,0.778,9.0,26.0,35.0,20.0,8.0,2.0,15.0,19.0,29.0,57.0,0.509,8.0,18.0,0.444,21.0,39.0,0.538,0.579,18.0,24.0,0.75,1.0,19.0,20.0,18.0,6.0,3.0,17.0,25.0,107.5,98.1,85.6,0.397,0.191,0.569,63.6,58.8,9.3,5.1,0.522,15.7,32.1,0.309,0.579,19.9,3.7,0.316
5.0,5.0,2023-11-22,N,Rice,REG (Non-Conf),W,90.0,56.0,,36.0,71.0,0.507,5.0,18.0,0.278,31.0,53.0,0.585,0.542,13.0,15.0,0.867,10.0,30.0,40.0,18.0,7.0,5.0,7.0,16.0,18.0,53.0,0.34,7.0,28.0,0.25,11.0,25.0,0.44,0.406,13.0,18.0,0.722,4.0,24.0,28.0,11.0,5.0,3.0,16.0,13.0,121.1,75.3,74.3,0.211,0.254,0.576,58.8,50.0,9.4,20.0,0.542,8.2,29.4,0.183,0.406,20.6,11.8,0.245
6.0,6.0,2023-11-24,N,Pepperdine,REG (Non-Conf),W,90.0,71.0,,34.0,60.0,0.567,5.0,14.0,0.357,29.0,46.0,0.63,0.608,17.0,30.0,0.567,7.0,30.0,37.0,19.0,9.0,3.0,11.0,14.0,25.0,64.0,0.391,12.0,24.0,0.5,13.0,40.0,0.325,0.484,9.0,11.0,0.818,7.0,23.0,30.0,16.0,8.0,0.0,15.0,19.0,115.8,91.3,77.7,0.5,0.233,0.606,55.2,55.9,11.6,7.5,0.608,12.9,23.3,0.283,0.484,17.8,18.9,0.141
7.0,7.0,2023-11-29,,Louisiana Tech,REG (Non-Conf),W,74.0,65.0,,25.0,66.0,0.379,9.0,24.0,0.375,16.0,42.0,0.381,0.447,15.0,22.0,0.682,12.0,30.0,42.0,16.0,8.0,8.0,9.0,20.0,21.0,59.0,0.356,8.0,19.0,0.421,13.0,40.0,0.325,0.424,15.0,21.0,0.714,8.0,25.0,33.0,8.0,5.0,6.0,11.0,19.0,101.8,89.4,72.7,0.333,0.364,0.484,56.0,64.0,11.0,20.0,0.447,10.5,32.4,0.227,0.424,13.8,21.1,0.254
8.0,8.0,2023-12-02,,New Mexico State,REG (Non-Conf),W,106.0,62.0,,32.0,53.0,0.604,14.0,25.0,0.56,18.0,28.0,0.643,0.736,28.0,41.0,0.683,7.0,19.0,26.0,24.0,10.0,5.0,6.0,24.0,19.0,48.0,0.396,3.0,18.0,0.167,16.0,30.0,0.533,0.427,21.0,28.0,0.75,8.0,18.0,26.0,8.0,5.0,3.0,16.0,29.0,150.6,88.1,70.4,0.774,0.472,0.731,50.0,75.0,14.2,16.7,0.736,7.6,28.0,0.528,0.427,20.7,29.6,0.438
9.0,9.0,2023-12-06,,UC Santa Barbara,REG (Non-Conf),W,84.0,61.0,,35.0,68.0,0.515,7.0,22.0,0.318,28.0,46.0,0.609,0.566,7.0,10.0,0.7,8.0,27.0,35.0,19.0,13.0,6.0,13.0,17.0,21.0,58.0,0.362,3.0,17.0,0.176,18.0,41.0,0.439,0.388,16.0,19.0,0.842,7.0,23.0,30.0,11.0,4.0,3.0,18.0,12.0,107.8,78.3,77.9,0.147,0.324,0.577,53.8,54.3,16.7,14.6,0.566,15.2,25.8,0.103,0.388,21.2,20.6,0.276
10.0,10.0,2023-12-09,N,Santa Clara,REG (Non-Conf),W,93.0,76.0,,33.0,64.0,0.516,4.0,16.0,0.25,29.0,48.0,0.604,0.547,23.0,33.0,0.697,11.0,21.0,32.0,12.0,18.0,2.0,15.0,25.0,22.0,51.0,0.431,6.0,17.0,0.353,16.0,34.0,0.471,0.49,26.0,30.0,0.867,7.0,19.0,26.0,16.0,5.0,4.0,25.0,23.0,111.4,91.1,83.5,0.516,0.25,0.584,55.2,36.4,21.6,5.9,0.547,15.8,36.7,0.359,0.49,27.7,25.0,0.51
