Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Millsaps,REG (Non-Conf),W,100.0,70.0,,33.0,73.0,0.452,5.0,21.0,0.238,28.0,52.0,0.538,0.486,29.0,36.0,0.806,10.0,30.0,40.0,17.0,12.0,4.0,10.0,19.0,26.0,68.0,0.382,7.0,27.0,0.259,19.0,41.0,0.463,0.434,11.0,15.0,0.733,10.0,29.0,39.0,14.0,1.0,3.0,20.0,28.0,114.1,79.9,87.6,0.493,0.288,0.555,50.6,51.5,13.7,9.8,0.486,10.0,25.6,0.397,0.434,21.0,25.0,0.162
2.0,2.0,2023-11-11,,Southern–New Orleans,REG (Non-Conf),W,106.0,69.0,,41.0,77.0,0.532,5.0,17.0,0.294,36.0,60.0,0.6,0.565,19.0,23.0,0.826,14.0,28.0,42.0,25.0,12.0,2.0,15.0,17.0,26.0,69.0,0.377,1.0,7.0,0.143,25.0,62.0,0.403,0.384,16.0,24.0,0.667,17.0,24.0,41.0,11.0,10.0,6.0,23.0,21.0,120.9,78.7,87.7,0.299,0.221,0.603,50.6,61.0,13.7,3.2,0.565,14.6,36.8,0.247,0.384,22.2,37.8,0.232
3.0,3.0,2023-11-18,@,Loyola Chicago,REG (Non-Conf),L,70.0,73.0,,23.0,66.0,0.348,9.0,25.0,0.36,14.0,41.0,0.341,0.417,15.0,22.0,0.682,11.0,21.0,32.0,13.0,6.0,3.0,7.0,19.0,25.0,58.0,0.431,6.0,20.0,0.3,19.0,38.0,0.5,0.483,17.0,24.0,0.708,10.0,33.0,43.0,17.0,4.0,8.0,14.0,19.0,96.0,100.1,72.9,0.333,0.379,0.458,42.7,56.5,8.2,7.9,0.417,8.4,25.0,0.227,0.483,16.8,32.3,0.293
4.0,4.0,2023-11-20,@,Oklahoma State,REG (Non-Conf),L,68.0,96.0,,23.0,55.0,0.418,4.0,17.0,0.235,19.0,38.0,0.5,0.455,18.0,24.0,0.75,4.0,16.0,20.0,6.0,9.0,3.0,11.0,23.0,36.0,62.0,0.581,10.0,29.0,0.345,26.0,33.0,0.788,0.661,14.0,24.0,0.583,12.0,26.0,38.0,21.0,7.0,1.0,12.0,20.0,92.6,130.8,73.4,0.436,0.309,0.512,34.5,26.1,12.3,9.1,0.455,14.2,13.3,0.327,0.661,14.1,42.9,0.226
5.0,5.0,2023-11-25,N,North Dakota,REG (Non-Conf),L,69.0,71.0,OT,25.0,67.0,0.373,2.0,17.0,0.118,23.0,50.0,0.46,0.388,17.0,20.0,0.85,6.0,31.0,37.0,8.0,10.0,1.0,17.0,20.0,27.0,63.0,0.429,5.0,26.0,0.192,22.0,37.0,0.595,0.468,12.0,23.0,0.522,8.0,25.0,33.0,11.0,8.0,5.0,20.0,20.0,79.6,81.9,77.1,0.299,0.254,0.451,52.9,32.0,11.5,2.7,0.388,18.2,19.4,0.254,0.468,21.3,20.5,0.19
6.0,6.0,2023-11-26,@,Central Arkansas,REG (Non-Conf),W,79.0,74.0,,27.0,59.0,0.458,10.0,21.0,0.476,17.0,38.0,0.447,0.542,15.0,24.0,0.625,8.0,22.0,30.0,10.0,16.0,4.0,12.0,20.0,23.0,55.0,0.418,13.0,28.0,0.464,10.0,27.0,0.37,0.536,15.0,20.0,0.75,12.0,24.0,36.0,18.0,6.0,4.0,23.0,21.0,105.4,98.7,75.0,0.407,0.356,0.561,45.5,37.0,21.3,14.8,0.542,14.6,25.0,0.254,0.536,26.3,35.3,0.273
7.0,7.0,2023-11-30,@,Minnesota,REG (Non-Conf),L,64.0,97.0,,22.0,61.0,0.361,1.0,11.0,0.091,21.0,50.0,0.42,0.369,19.0,23.0,0.826,9.0,18.0,27.0,9.0,8.0,3.0,10.0,19.0,38.0,64.0,0.594,8.0,22.0,0.364,30.0,42.0,0.714,0.656,13.0,23.0,0.565,9.0,29.0,38.0,27.0,5.0,6.0,11.0,22.0,85.4,129.5,74.9,0.377,0.18,0.445,41.5,40.9,10.7,7.1,0.369,12.2,23.7,0.311,0.656,12.8,33.3,0.203
8.0,8.0,2023-12-05,,Belhaven (MS),REG (Non-Conf),W,79.0,65.0,,27.0,69.0,0.391,9.0,26.0,0.346,18.0,43.0,0.419,0.457,16.0,21.0,0.762,10.0,23.0,33.0,14.0,10.0,4.0,7.0,11.0,24.0,64.0,0.375,6.0,19.0,0.316,18.0,45.0,0.4,0.422,11.0,17.0,0.647,12.0,31.0,43.0,8.0,4.0,2.0,16.0,17.0,103.9,85.5,76.0,0.304,0.377,0.5,43.4,51.9,13.2,8.9,0.457,8.1,24.4,0.232,0.422,18.2,34.3,0.172
9.0,9.0,2023-12-09,@,San Jose State,REG (Non-Conf),L,82.0,87.0,,33.0,73.0,0.452,7.0,19.0,0.368,26.0,54.0,0.481,0.5,9.0,14.0,0.643,13.0,26.0,39.0,12.0,5.0,3.0,12.0,20.0,33.0,63.0,0.524,9.0,26.0,0.346,24.0,37.0,0.649,0.595,12.0,25.0,0.48,8.0,24.0,32.0,21.0,9.0,2.0,8.0,12.0,106.8,113.3,75.3,0.192,0.26,0.515,54.9,36.4,6.5,8.1,0.5,13.1,35.1,0.123,0.595,9.7,23.5,0.19
10.0,10.0,2023-12-11,@,San Francisco,REG (Non-Conf),L,72.0,85.0,,24.0,51.0,0.471,5.0,13.0,0.385,19.0,38.0,0.5,0.52,19.0,21.0,0.905,4.0,21.0,25.0,8.0,4.0,1.0,15.0,18.0,31.0,63.0,0.492,7.0,24.0,0.292,24.0,39.0,0.615,0.548,16.0,21.0,0.762,11.0,20.0,31.0,18.0,9.0,5.0,8.0,20.0,101.4,119.8,71.0,0.412,0.255,0.59,44.6,33.3,5.6,2.6,0.52,19.7,16.7,0.373,0.548,9.9,34.4,0.254
