Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Notre Dame,REG (Non-Conf),L,63.0,70.0,,25.0,59.0,0.424,7.0,17.0,0.412,18.0,42.0,0.429,0.483,6.0,9.0,0.667,4.0,23.0,27.0,11.0,3.0,2.0,7.0,15.0,27.0,53.0,0.509,3.0,17.0,0.176,24.0,36.0,0.667,0.538,13.0,16.0,0.813,4.0,29.0,33.0,9.0,3.0,1.0,7.0,13.0,97.0,107.8,64.9,0.153,0.288,0.498,45.0,44.0,4.6,5.6,0.483,10.0,12.1,0.102,0.538,10.4,14.8,0.245
2.0,2.0,2023-11-11,,Bucknell,REG (Non-Conf),L,64.0,73.0,,24.0,54.0,0.444,8.0,23.0,0.348,16.0,31.0,0.516,0.519,8.0,12.0,0.667,6.0,10.0,16.0,12.0,5.0,1.0,9.0,15.0,28.0,53.0,0.528,4.0,15.0,0.267,24.0,38.0,0.632,0.566,13.0,15.0,0.867,10.0,26.0,36.0,12.0,6.0,3.0,11.0,15.0,103.4,117.9,61.9,0.222,0.426,0.536,30.8,50.0,8.1,2.6,0.519,13.1,18.8,0.148,0.566,15.5,50.0,0.245
3.0,3.0,2023-11-17,@,Hawaii,REG (Non-Conf),L,73.0,92.0,,26.0,56.0,0.464,4.0,11.0,0.364,22.0,45.0,0.489,0.5,17.0,28.0,0.607,4.0,16.0,20.0,9.0,4.0,2.0,10.0,26.0,31.0,52.0,0.596,9.0,18.0,0.5,22.0,34.0,0.647,0.683,21.0,28.0,0.75,5.0,30.0,35.0,14.0,1.0,5.0,14.0,26.0,97.6,123.0,74.8,0.5,0.196,0.527,36.4,34.6,5.3,5.9,0.5,12.6,11.8,0.304,0.683,17.7,23.8,0.404
4.0,4.0,2023-11-25,@,Saint Francis (PA),REG (Non-Conf),W,69.0,61.0,,27.0,44.0,0.614,5.0,11.0,0.455,22.0,33.0,0.667,0.67,10.0,16.0,0.625,5.0,27.0,32.0,14.0,3.0,2.0,15.0,11.0,26.0,69.0,0.377,1.0,13.0,0.077,25.0,56.0,0.446,0.384,8.0,12.0,0.667,14.0,13.0,27.0,6.0,8.0,2.0,6.0,16.0,107.6,95.1,64.2,0.364,0.25,0.669,54.2,51.9,4.7,3.6,0.67,22.5,27.8,0.227,0.384,7.4,34.1,0.116
5.0,5.0,2023-12-01,,Saint Peter's,REG (Conf),L,67.0,72.0,,21.0,48.0,0.438,3.0,10.0,0.3,18.0,38.0,0.474,0.469,22.0,28.0,0.786,6.0,21.0,27.0,10.0,9.0,0.0,11.0,15.0,27.0,48.0,0.563,8.0,21.0,0.381,19.0,27.0,0.704,0.646,10.0,15.0,0.667,2.0,17.0,19.0,10.0,6.0,2.0,14.0,22.0,100.4,107.9,66.7,0.583,0.208,0.546,58.7,47.6,13.5,0.0,0.469,15.2,26.1,0.458,0.646,20.3,8.7,0.208
6.0,6.0,2023-12-03,,Quinnipiac,REG (Conf),L,68.0,75.0,OT,26.0,67.0,0.388,8.0,23.0,0.348,18.0,44.0,0.409,0.448,8.0,11.0,0.727,9.0,24.0,33.0,16.0,4.0,3.0,13.0,15.0,30.0,69.0,0.435,7.0,16.0,0.438,23.0,53.0,0.434,0.486,8.0,13.0,0.615,10.0,29.0,39.0,11.0,9.0,3.0,14.0,16.0,87.5,96.5,69.1,0.164,0.343,0.471,45.8,61.5,5.1,5.7,0.448,15.3,23.7,0.119,0.486,15.7,29.4,0.116
7.0,7.0,2023-12-06,,St. Bonaventure,REG (Non-Conf),L,60.0,94.0,,19.0,48.0,0.396,7.0,21.0,0.333,12.0,27.0,0.444,0.469,15.0,18.0,0.833,2.0,11.0,13.0,10.0,3.0,0.0,9.0,11.0,38.0,57.0,0.667,12.0,19.0,0.632,26.0,38.0,0.684,0.772,6.0,9.0,0.667,8.0,22.0,30.0,14.0,4.0,3.0,8.0,18.0,96.1,150.6,62.4,0.375,0.438,0.531,30.2,52.6,4.8,0.0,0.469,13.7,8.3,0.313,0.772,11.5,42.1,0.105
8.0,8.0,2023-12-10,,Buffalo St.,REG (Non-Conf),W,113.0,64.0,,42.0,65.0,0.646,7.0,15.0,0.467,35.0,50.0,0.7,0.7,22.0,26.0,0.846,8.0,29.0,37.0,23.0,7.0,3.0,8.0,16.0,20.0,57.0,0.351,7.0,17.0,0.412,13.0,40.0,0.325,0.412,17.0,23.0,0.739,5.0,12.0,17.0,9.0,5.0,3.0,11.0,19.0,149.4,84.6,75.6,0.4,0.231,0.73,68.5,54.8,9.3,7.5,0.7,9.4,40.0,0.338,0.412,13.9,14.7,0.298
9.0,9.0,2023-12-16,,NJIT,REG (Non-Conf),W,89.0,81.0,,31.0,61.0,0.508,7.0,18.0,0.389,24.0,43.0,0.558,0.566,20.0,22.0,0.909,15.0,22.0,37.0,13.0,2.0,5.0,10.0,15.0,29.0,67.0,0.433,9.0,22.0,0.409,20.0,45.0,0.444,0.5,14.0,21.0,0.667,11.0,13.0,24.0,13.0,3.0,1.0,3.0,19.0,131.4,119.6,67.7,0.361,0.295,0.623,60.7,41.9,3.0,11.1,0.566,12.3,53.6,0.328,0.5,3.8,33.3,0.209
10.0,10.0,2023-12-19,@,Binghamton,REG (Non-Conf),L,69.0,74.0,,25.0,67.0,0.373,10.0,25.0,0.4,15.0,42.0,0.357,0.448,9.0,13.0,0.692,8.0,25.0,33.0,12.0,3.0,6.0,7.0,21.0,27.0,63.0,0.429,2.0,8.0,0.25,25.0,55.0,0.455,0.444,18.0,27.0,0.667,12.0,31.0,43.0,10.0,3.0,7.0,9.0,17.0,95.2,102.1,72.5,0.194,0.373,0.471,43.4,48.0,4.1,10.9,0.448,8.7,20.5,0.134,0.444,10.6,32.4,0.286
11.0,11.0,2023-12-21,@,Syracuse,REG (Non-Conf),L,71.0,83.0,,25.0,61.0,0.41,7.0,19.0,0.368,18.0,42.0,0.429,0.467,14.0,15.0,0.933,6.0,28.0,34.0,11.0,6.0,2.0,13.0,7.0,33.0,68.0,0.485,8.0,22.0,0.364,25.0,46.0,0.543,0.544,9.0,13.0,0.692,7.0,28.0,35.0,22.0,8.0,7.0,8.0,16.0,94.5,110.4,75.2,0.246,0.311,0.521,49.3,44.0,8.0,4.3,0.467,16.0,17.6,0.23,0.544,9.7,20.0,0.132
12.0,12.0,2023-12-29,@,Buffalo,REG (Non-Conf),W,69.0,63.0,,24.0,56.0,0.429,4.0,13.0,0.308,20.0,43.0,0.465,0.464,17.0,19.0,0.895,11.0,24.0,35.0,13.0,6.0,2.0,13.0,13.0,24.0,53.0,0.453,6.0,20.0,0.3,18.0,33.0,0.545,0.509,9.0,17.0,0.529,8.0,21.0,29.0,15.0,10.0,7.0,16.0,19.0,101.4,92.6,68.1,0.339,0.232,0.531,54.7,54.2,8.8,6.1,0.464,16.7,34.4,0.304,0.509,20.8,25.0,0.17
13.0,13.0,2024-01-05,@,Manhattan,REG (Conf),W,81.0,67.0,,29.0,52.0,0.558,3.0,10.0,0.3,26.0,42.0,0.619,0.587,20.0,26.0,0.769,4.0,26.0,30.0,17.0,9.0,2.0,7.0,11.0,25.0,56.0,0.446,7.0,23.0,0.304,18.0,33.0,0.545,0.509,10.0,18.0,0.556,6.0,18.0,24.0,10.0,6.0,2.0,12.0,19.0,117.5,97.2,69.0,0.5,0.192,0.629,55.6,58.6,13.1,6.1,0.587,9.8,18.2,0.385,0.509,15.7,18.8,0.179
14.0,14.0,2024-01-07,@,Iona,REG (Conf),W,75.0,73.0,,24.0,49.0,0.49,8.0,17.0,0.471,16.0,32.0,0.5,0.571,19.0,24.0,0.792,10.0,27.0,37.0,9.0,3.0,0.0,18.0,13.0,31.0,62.0,0.5,5.0,19.0,0.263,26.0,43.0,0.605,0.54,6.0,14.0,0.429,5.0,17.0,22.0,13.0,17.0,2.0,5.0,16.0,109.4,106.5,68.5,0.49,0.347,0.621,62.7,37.5,4.4,0.0,0.571,23.0,37.0,0.388,0.54,6.8,15.6,0.097
15.0,15.0,2024-01-12,,Fairfield,REG (Conf),W,96.0,72.0,,34.0,55.0,0.618,10.0,15.0,0.667,24.0,40.0,0.6,0.709,18.0,23.0,0.783,6.0,27.0,33.0,15.0,2.0,0.0,5.0,19.0,24.0,58.0,0.414,8.0,22.0,0.364,16.0,36.0,0.444,0.483,16.0,20.0,0.8,6.0,17.0,23.0,14.0,3.0,1.0,8.0,19.0,142.8,107.1,67.2,0.418,0.273,0.728,58.9,44.1,3.0,0.0,0.709,7.0,26.1,0.327,0.483,10.6,18.2,0.276
16.0,16.0,2024-01-15,,Siena,REG (Conf),L,88.0,93.0,,32.0,72.0,0.444,8.0,26.0,0.308,24.0,46.0,0.522,0.5,16.0,21.0,0.762,8.0,15.0,23.0,18.0,6.0,2.0,4.0,24.0,30.0,48.0,0.625,2.0,4.0,0.5,28.0,44.0,0.636,0.646,31.0,37.0,0.838,5.0,30.0,35.0,13.0,3.0,2.0,17.0,20.0,113.1,119.6,77.8,0.292,0.361,0.537,39.7,56.3,7.7,4.5,0.5,4.7,21.1,0.222,0.646,20.6,25.0,0.646
17.0,17.0,2024-01-19,@,Rider,REG (Conf),W,78.0,74.0,,27.0,52.0,0.519,9.0,18.0,0.5,18.0,34.0,0.529,0.606,15.0,21.0,0.714,8.0,26.0,34.0,14.0,3.0,2.0,16.0,13.0,26.0,60.0,0.433,5.0,11.0,0.455,21.0,49.0,0.429,0.475,17.0,21.0,0.81,8.0,20.0,28.0,12.0,12.0,4.0,8.0,18.0,111.5,105.8,70.0,0.404,0.346,0.629,54.8,51.9,4.3,4.1,0.606,20.5,28.6,0.288,0.475,10.3,23.5,0.283
18.0,18.0,2024-01-21,@,Mount St. Mary's,REG (Conf),W,82.0,71.0,,29.0,53.0,0.547,12.0,18.0,0.667,17.0,35.0,0.486,0.66,12.0,14.0,0.857,4.0,19.0,23.0,14.0,9.0,0.0,8.0,12.0,30.0,51.0,0.588,1.0,4.0,0.25,29.0,47.0,0.617,0.598,10.0,12.0,0.833,4.0,20.0,24.0,8.0,7.0,1.0,12.0,16.0,127.8,110.6,64.2,0.264,0.34,0.687,48.9,48.3,14.0,0.0,0.66,11.8,16.7,0.226,0.598,17.5,17.4,0.196
19.0,19.0,2024-01-26,,Marist,REG (Conf),W,67.0,62.0,,23.0,48.0,0.479,1.0,9.0,0.111,22.0,39.0,0.564,0.49,20.0,30.0,0.667,3.0,19.0,22.0,8.0,8.0,2.0,5.0,10.0,25.0,53.0,0.472,6.0,18.0,0.333,19.0,35.0,0.543,0.528,6.0,8.0,0.75,4.0,25.0,29.0,8.0,4.0,0.0,14.0,21.0,102.3,94.6,65.5,0.625,0.188,0.538,43.1,34.8,12.2,5.7,0.49,7.4,10.7,0.417,0.528,19.8,17.4,0.113
20.0,20.0,2024-01-28,,Manhattan,REG (Conf),L,78.0,84.0,OT,26.0,58.0,0.448,3.0,16.0,0.188,23.0,42.0,0.548,0.474,23.0,30.0,0.767,4.0,26.0,30.0,11.0,12.0,2.0,15.0,16.0,32.0,71.0,0.451,8.0,19.0,0.421,24.0,52.0,0.462,0.507,12.0,16.0,0.75,11.0,28.0,39.0,9.0,10.0,5.0,15.0,20.0,94.1,101.3,73.7,0.517,0.276,0.54,43.5,42.3,14.5,3.8,0.474,17.2,12.5,0.397,0.507,16.0,29.7,0.169
