Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Tulane,REG (Non-Conf),L,81.0,91.0,,31.0,64.0,0.484,10.0,28.0,0.357,21.0,36.0,0.583,0.563,9.0,20.0,0.45,12.0,28.0,40.0,13.0,5.0,3.0,18.0,22.0,33.0,65.0,0.508,8.0,30.0,0.267,25.0,35.0,0.714,0.569,17.0,23.0,0.739,8.0,25.0,33.0,17.0,13.0,4.0,9.0,15.0,103.6,116.3,78.2,0.313,0.438,0.551,54.8,41.9,6.4,8.6,0.563,19.7,32.4,0.141,0.569,10.6,22.2,0.262
2.0,2.0,2023-11-10,@,Louisiana State,REG (Non-Conf),W,68.0,66.0,,21.0,49.0,0.429,12.0,30.0,0.4,9.0,19.0,0.474,0.551,14.0,15.0,0.933,6.0,15.0,21.0,11.0,9.0,2.0,19.0,22.0,22.0,56.0,0.393,3.0,19.0,0.158,19.0,37.0,0.514,0.42,19.0,26.0,0.731,11.0,19.0,30.0,5.0,11.0,2.0,13.0,12.0,97.5,94.6,69.7,0.306,0.612,0.606,41.2,52.4,12.9,5.4,0.551,25.3,24.0,0.286,0.42,16.0,42.3,0.339
3.0,3.0,2023-11-15,N,Denver,REG (Non-Conf),L,85.0,91.0,,29.0,70.0,0.414,11.0,27.0,0.407,18.0,43.0,0.419,0.493,16.0,20.0,0.8,10.0,24.0,34.0,13.0,9.0,9.0,9.0,23.0,28.0,61.0,0.459,11.0,29.0,0.379,17.0,32.0,0.531,0.549,24.0,30.0,0.8,7.0,30.0,37.0,14.0,5.0,7.0,11.0,13.0,107.8,115.4,78.9,0.286,0.386,0.535,47.9,44.8,11.4,28.1,0.493,10.2,25.0,0.229,0.549,12.8,22.6,0.393
4.0,4.0,2023-11-16,@,South Alabama,REG (Non-Conf),W,102.0,97.0,3OT,36.0,75.0,0.48,9.0,28.0,0.321,27.0,47.0,0.574,0.54,21.0,28.0,0.75,3.0,27.0,30.0,12.0,14.0,5.0,11.0,19.0,34.0,79.0,0.43,12.0,34.0,0.353,22.0,45.0,0.489,0.506,17.0,21.0,0.81,14.0,31.0,45.0,15.0,6.0,7.0,17.0,22.0,108.4,103.0,68.5,0.373,0.373,0.578,40.0,33.3,14.9,11.1,0.54,11.1,8.8,0.28,0.506,16.0,34.1,0.215
5.0,5.0,2023-11-17,N,SIU Edwardsville,REG (Non-Conf),L,51.0,60.0,,14.0,53.0,0.264,7.0,27.0,0.259,7.0,26.0,0.269,0.33,16.0,18.0,0.889,4.0,22.0,26.0,5.0,4.0,4.0,4.0,14.0,22.0,62.0,0.355,7.0,24.0,0.292,15.0,38.0,0.395,0.411,9.0,14.0,0.643,13.0,29.0,42.0,12.0,3.0,8.0,6.0,12.0,82.8,97.4,61.6,0.34,0.509,0.414,38.2,35.7,6.5,10.5,0.33,6.1,12.1,0.302,0.411,8.0,37.1,0.145
6.0,6.0,2023-11-21,,Blue Mountain,REG (Non-Conf),W,86.0,56.0,,31.0,64.0,0.484,13.0,30.0,0.433,18.0,34.0,0.529,0.586,11.0,16.0,0.688,14.0,36.0,50.0,14.0,5.0,6.0,11.0,12.0,22.0,66.0,0.333,7.0,27.0,0.259,15.0,39.0,0.385,0.386,5.0,10.0,0.5,10.0,17.0,27.0,9.0,9.0,0.0,9.0,15.0,124.3,81.0,69.2,0.25,0.469,0.601,64.9,45.2,7.2,15.4,0.586,13.3,45.2,0.172,0.386,11.3,21.7,0.076
7.0,7.0,2023-11-24,@,Mississippi State,REG (Non-Conf),L,61.0,74.0,,21.0,54.0,0.389,6.0,20.0,0.3,15.0,34.0,0.441,0.444,13.0,20.0,0.65,8.0,20.0,28.0,8.0,14.0,3.0,14.0,20.0,26.0,61.0,0.426,5.0,23.0,0.217,21.0,38.0,0.553,0.467,17.0,27.0,0.63,17.0,28.0,45.0,18.0,9.0,2.0,17.0,16.0,85.1,103.3,71.7,0.37,0.37,0.48,38.4,38.1,19.5,7.9,0.444,18.1,22.2,0.241,0.467,18.7,45.9,0.279
8.0,8.0,2023-11-28,@,Baylor,REG (Non-Conf),L,70.0,108.0,,24.0,64.0,0.375,8.0,25.0,0.32,16.0,39.0,0.41,0.438,14.0,15.0,0.933,5.0,19.0,24.0,7.0,4.0,3.0,9.0,17.0,38.0,67.0,0.567,14.0,23.0,0.609,24.0,44.0,0.545,0.672,18.0,23.0,0.783,10.0,31.0,41.0,25.0,5.0,3.0,9.0,11.0,92.1,142.1,76.0,0.234,0.391,0.492,36.9,29.2,5.3,6.8,0.438,11.2,13.9,0.219,0.672,10.4,34.5,0.269
9.0,9.0,2023-12-02,@,Louisiana Tech,REG (Non-Conf),L,55.0,68.0,,17.0,50.0,0.34,7.0,19.0,0.368,10.0,31.0,0.323,0.41,14.0,21.0,0.667,6.0,20.0,26.0,8.0,7.0,6.0,13.0,15.0,23.0,59.0,0.39,8.0,24.0,0.333,15.0,35.0,0.429,0.458,14.0,21.0,0.667,14.0,28.0,42.0,12.0,7.0,4.0,12.0,13.0,82.1,101.5,67.0,0.42,0.38,0.459,38.2,47.1,10.5,17.1,0.41,17.8,17.6,0.28,0.458,14.8,41.2,0.237
10.0,10.0,2023-12-09,,Elizabeth City St.,REG (Non-Conf),W,84.0,70.0,,25.0,51.0,0.49,6.0,23.0,0.261,19.0,28.0,0.679,0.549,28.0,39.0,0.718,5.0,25.0,30.0,8.0,7.0,4.0,14.0,22.0,24.0,61.0,0.393,2.0,18.0,0.111,22.0,43.0,0.512,0.41,20.0,30.0,0.667,6.0,23.0,29.0,8.0,7.0,2.0,11.0,27.0,105.8,88.2,79.4,0.765,0.451,0.604,50.8,32.0,8.8,9.3,0.549,16.8,17.9,0.549,0.41,12.8,19.4,0.328
