Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Penn St. Wilkes-Barre,REG (Non-Conf),W,102.0,55.0,,37.0,69.0,0.536,9.0,24.0,0.375,28.0,45.0,0.622,0.601,19.0,28.0,0.679,11.0,31.0,42.0,20.0,17.0,5.0,12.0,22.0,21.0,51.0,0.412,4.0,12.0,0.333,17.0,39.0,0.436,0.451,9.0,22.0,0.409,2.0,19.0,21.0,10.0,6.0,4.0,26.0,19.0,120.9,65.2,84.4,0.406,0.348,0.62,66.7,54.1,20.1,12.8,0.601,12.7,36.7,0.275,0.451,29.7,6.1,0.176
2.0,2.0,2023-11-09,,Newport News,REG (Non-Conf),W,90.0,56.0,,34.0,66.0,0.515,11.0,26.0,0.423,23.0,40.0,0.575,0.598,11.0,20.0,0.55,16.0,28.0,44.0,17.0,12.0,2.0,12.0,9.0,19.0,54.0,0.352,12.0,32.0,0.375,7.0,22.0,0.318,0.463,6.0,12.0,0.5,4.0,17.0,21.0,6.0,6.0,0.0,17.0,17.0,124.8,77.7,72.1,0.303,0.394,0.596,67.7,50.0,16.6,9.1,0.598,13.7,48.5,0.167,0.463,22.2,12.5,0.111
3.0,3.0,2023-11-13,,Hampton,REG (Non-Conf),W,75.0,68.0,,20.0,58.0,0.345,6.0,34.0,0.176,14.0,24.0,0.583,0.397,29.0,34.0,0.853,10.0,23.0,33.0,11.0,13.0,5.0,14.0,23.0,22.0,57.0,0.386,6.0,26.0,0.231,16.0,31.0,0.516,0.439,18.0,28.0,0.643,10.0,21.0,31.0,9.0,8.0,0.0,19.0,27.0,95.3,86.4,78.7,0.586,0.586,0.506,51.6,55.0,16.5,16.1,0.397,15.9,32.3,0.5,0.439,21.3,30.3,0.316
4.0,4.0,2023-11-17,N,Fordham,REG (Non-Conf),L,64.0,77.0,,17.0,54.0,0.315,4.0,19.0,0.211,13.0,35.0,0.371,0.352,26.0,37.0,0.703,12.0,20.0,32.0,10.0,11.0,1.0,16.0,25.0,20.0,48.0,0.417,7.0,23.0,0.304,13.0,25.0,0.52,0.49,30.0,42.0,0.714,8.0,30.0,38.0,14.0,7.0,5.0,17.0,30.0,83.9,101.0,76.3,0.685,0.352,0.447,45.7,58.8,14.4,4.0,0.352,18.3,28.6,0.481,0.49,20.0,28.6,0.625
5.0,5.0,2023-11-18,N,San Jose State,REG (Non-Conf),L,53.0,77.0,,20.0,56.0,0.357,2.0,15.0,0.133,18.0,41.0,0.439,0.375,11.0,21.0,0.524,7.0,20.0,27.0,8.0,5.0,4.0,11.0,19.0,25.0,49.0,0.51,16.0,32.0,0.5,9.0,17.0,0.529,0.673,11.0,15.0,0.733,4.0,31.0,35.0,17.0,3.0,5.0,14.0,18.0,77.9,113.2,68.1,0.375,0.268,0.402,43.5,40.0,7.3,23.5,0.375,14.3,18.4,0.196,0.673,20.0,16.7,0.224
6.0,6.0,2023-11-20,N,Florida Gulf Coast,REG (Non-Conf),W,69.0,66.0,,20.0,54.0,0.37,8.0,15.0,0.533,12.0,39.0,0.308,0.444,21.0,26.0,0.808,11.0,13.0,24.0,8.0,12.0,3.0,7.0,20.0,23.0,52.0,0.442,9.0,24.0,0.375,14.0,28.0,0.5,0.529,11.0,18.0,0.611,15.0,21.0,36.0,11.0,3.0,4.0,17.0,19.0,110.5,105.7,62.5,0.481,0.278,0.52,40.0,40.0,19.2,10.7,0.444,9.5,34.4,0.389,0.529,21.9,53.6,0.212
7.0,7.0,2023-11-25,@,Wichita State,REG (Non-Conf),L,67.0,80.0,,27.0,65.0,0.415,4.0,16.0,0.25,23.0,49.0,0.469,0.446,9.0,12.0,0.75,11.0,17.0,28.0,12.0,7.0,3.0,6.0,17.0,28.0,58.0,0.483,5.0,17.0,0.294,23.0,41.0,0.561,0.526,19.0,25.0,0.76,9.0,26.0,35.0,20.0,5.0,8.0,8.0,12.0,99.6,118.9,67.3,0.185,0.246,0.474,44.4,44.4,10.4,7.3,0.446,7.8,29.7,0.138,0.526,10.3,34.6,0.328
8.0,8.0,2023-11-28,,William & Mary,REG (Non-Conf),W,96.0,62.0,,30.0,56.0,0.536,12.0,21.0,0.571,18.0,35.0,0.514,0.643,24.0,27.0,0.889,12.0,19.0,31.0,17.0,9.0,2.0,9.0,21.0,17.0,42.0,0.405,7.0,26.0,0.269,10.0,16.0,0.625,0.488,21.0,28.0,0.75,4.0,13.0,17.0,7.0,5.0,2.0,17.0,22.0,143.2,92.5,67.1,0.482,0.375,0.697,64.6,56.7,13.4,12.5,0.643,11.6,48.0,0.429,0.488,23.5,17.4,0.5
9.0,9.0,2023-12-01,@,VCU,REG (Non-Conf),W,63.0,60.0,,23.0,54.0,0.426,2.0,16.0,0.125,21.0,38.0,0.553,0.444,15.0,17.0,0.882,5.0,19.0,24.0,9.0,9.0,2.0,6.0,19.0,17.0,47.0,0.362,8.0,28.0,0.286,9.0,19.0,0.474,0.447,18.0,22.0,0.818,10.0,23.0,33.0,12.0,0.0,6.0,15.0,14.0,100.4,95.6,62.8,0.315,0.296,0.507,42.1,39.1,14.3,10.5,0.444,8.8,17.9,0.278,0.447,20.7,34.5,0.383
10.0,10.0,2023-12-09,@,Illinois State,REG (Non-Conf),W,64.0,58.0,,18.0,50.0,0.36,7.0,19.0,0.368,11.0,31.0,0.355,0.43,21.0,26.0,0.808,8.0,23.0,31.0,6.0,8.0,7.0,12.0,24.0,16.0,51.0,0.314,5.0,27.0,0.185,11.0,24.0,0.458,0.363,21.0,29.0,0.724,12.0,24.0,36.0,10.0,8.0,3.0,13.0,20.0,96.9,87.8,66.1,0.52,0.38,0.513,46.3,33.3,12.1,29.2,0.43,16.1,25.0,0.42,0.363,16.7,34.3,0.412
