Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,@,Iowa,REG (Non-Conf),L,68.0,110.0,,27.0,67.0,0.403,4.0,25.0,0.16,23.0,42.0,0.548,0.433,10.0,17.0,0.588,11.0,26.0,37.0,9.0,5.0,3.0,18.0,19.0,40.0,75.0,0.533,12.0,24.0,0.5,28.0,51.0,0.549,0.613,18.0,20.0,0.9,9.0,33.0,42.0,23.0,12.0,2.0,7.0,18.0,82.6,133.7,82.3,0.254,0.373,0.453,46.8,33.3,6.1,5.9,0.433,19.3,25.0,0.149,0.613,7.7,25.7,0.24
2.0,2.0,2023-11-12,,Elon,REG (Non-Conf),W,85.0,68.0,,30.0,62.0,0.484,8.0,24.0,0.333,22.0,38.0,0.579,0.548,17.0,23.0,0.739,12.0,24.0,36.0,13.0,10.0,6.0,7.0,18.0,21.0,56.0,0.375,9.0,21.0,0.429,12.0,35.0,0.343,0.455,17.0,24.0,0.708,9.0,23.0,32.0,11.0,4.0,2.0,17.0,22.0,118.6,94.9,71.7,0.371,0.387,0.583,52.9,43.3,14.0,17.1,0.548,8.8,34.3,0.274,0.455,20.1,27.3,0.304
3.0,3.0,2023-11-16,,Valley City St.,REG (Non-Conf),W,93.0,63.0,,34.0,68.0,0.5,13.0,31.0,0.419,21.0,37.0,0.568,0.596,12.0,14.0,0.857,16.0,30.0,46.0,21.0,6.0,4.0,10.0,14.0,25.0,59.0,0.424,5.0,22.0,0.227,20.0,37.0,0.541,0.466,8.0,11.0,0.727,4.0,17.0,21.0,11.0,8.0,0.0,9.0,15.0,134.9,91.4,68.9,0.206,0.456,0.623,68.7,61.8,8.7,10.8,0.596,11.8,48.5,0.176,0.466,12.3,11.8,0.136
4.0,4.0,2023-11-20,@,Pacific,REG (Non-Conf),W,73.0,71.0,,27.0,57.0,0.474,5.0,23.0,0.217,22.0,34.0,0.647,0.518,14.0,22.0,0.636,7.0,21.0,28.0,18.0,7.0,3.0,9.0,18.0,29.0,55.0,0.527,5.0,12.0,0.417,24.0,43.0,0.558,0.573,8.0,13.0,0.615,4.0,23.0,27.0,25.0,5.0,2.0,12.0,20.0,105.3,102.4,69.3,0.386,0.404,0.541,50.9,66.7,10.1,7.0,0.518,11.8,23.3,0.246,0.573,16.4,16.0,0.145
5.0,5.0,2023-11-25,N,New Orleans,REG (Non-Conf),W,71.0,69.0,OT,27.0,63.0,0.429,5.0,26.0,0.192,22.0,37.0,0.595,0.468,12.0,23.0,0.522,8.0,25.0,33.0,11.0,8.0,5.0,20.0,20.0,25.0,67.0,0.373,2.0,17.0,0.118,23.0,50.0,0.46,0.388,17.0,20.0,0.85,6.0,31.0,37.0,8.0,10.0,1.0,17.0,20.0,81.9,79.6,77.1,0.365,0.413,0.48,47.1,40.7,9.2,10.0,0.468,21.3,20.5,0.19,0.388,18.2,19.4,0.254
6.0,6.0,2023-11-26,N,Eastern Michigan,REG (Non-Conf),W,72.0,70.0,,22.0,52.0,0.423,7.0,22.0,0.318,15.0,30.0,0.5,0.49,21.0,29.0,0.724,11.0,21.0,32.0,9.0,6.0,2.0,10.0,14.0,27.0,55.0,0.491,8.0,15.0,0.533,19.0,40.0,0.475,0.564,8.0,14.0,0.571,4.0,17.0,21.0,6.0,5.0,3.0,8.0,21.0,110.4,107.3,65.2,0.558,0.423,0.547,60.4,40.9,9.2,5.0,0.49,13.2,39.3,0.404,0.564,11.5,16.0,0.145
7.0,7.0,2023-11-28,,Concordia (MN),REG (Non-Conf),W,87.0,56.0,,34.0,66.0,0.515,6.0,27.0,0.222,28.0,39.0,0.718,0.561,13.0,16.0,0.813,11.0,29.0,40.0,9.0,6.0,7.0,5.0,7.0,25.0,63.0,0.397,4.0,18.0,0.222,21.0,45.0,0.467,0.429,2.0,4.0,0.5,7.0,21.0,28.0,9.0,1.0,2.0,14.0,18.0,124.7,80.3,69.8,0.242,0.409,0.591,58.8,26.5,8.6,15.6,0.561,6.4,34.4,0.197,0.429,17.7,19.4,0.032
8.0,8.0,2023-12-01,@,Cal State Fullerton,REG (Non-Conf),L,54.0,64.0,,22.0,61.0,0.361,6.0,23.0,0.261,16.0,38.0,0.421,0.41,4.0,9.0,0.444,11.0,17.0,28.0,9.0,7.0,3.0,8.0,16.0,22.0,53.0,0.415,2.0,13.0,0.154,20.0,40.0,0.5,0.434,18.0,22.0,0.818,14.0,29.0,43.0,3.0,3.0,5.0,13.0,14.0,86.6,102.6,62.4,0.148,0.377,0.414,39.4,40.9,11.2,7.5,0.41,10.9,27.5,0.066,0.434,17.0,45.2,0.34
9.0,9.0,2023-12-03,@,UC Riverside,REG (Non-Conf),L,62.0,68.0,,21.0,49.0,0.429,10.0,20.0,0.5,11.0,29.0,0.379,0.531,10.0,18.0,0.556,1.0,25.0,26.0,13.0,2.0,4.0,7.0,17.0,26.0,66.0,0.394,5.0,22.0,0.227,21.0,44.0,0.477,0.432,11.0,17.0,0.647,12.0,29.0,41.0,13.0,5.0,1.0,8.0,18.0,92.8,101.8,66.8,0.367,0.408,0.539,38.8,61.9,3.0,9.1,0.531,10.8,3.3,0.204,0.432,9.7,32.4,0.167
10.0,10.0,2023-12-09,,Portland,REG (Non-Conf),L,72.0,83.0,,23.0,60.0,0.383,8.0,29.0,0.276,15.0,31.0,0.484,0.45,18.0,21.0,0.857,10.0,25.0,35.0,12.0,3.0,1.0,14.0,15.0,28.0,58.0,0.483,10.0,30.0,0.333,18.0,28.0,0.643,0.569,17.0,22.0,0.773,3.0,24.0,27.0,13.0,8.0,0.0,6.0,20.0,99.0,114.1,72.7,0.35,0.483,0.514,56.5,52.2,4.1,3.6,0.45,16.7,29.4,0.3,0.569,8.1,10.7,0.293
