Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Coastal Georgia,REG (Non-Conf),W,92.0,55.0,,31.0,67.0,0.463,13.0,37.0,0.351,18.0,30.0,0.6,0.56,17.0,25.0,0.68,12.0,30.0,42.0,17.0,9.0,2.0,10.0,13.0,19.0,52.0,0.365,2.0,11.0,0.182,17.0,41.0,0.415,0.385,15.0,18.0,0.833,4.0,24.0,28.0,9.0,7.0,4.0,19.0,20.0,120.7,72.2,76.2,0.373,0.552,0.583,60.0,54.8,11.8,4.9,0.56,11.3,33.3,0.254,0.385,23.9,11.8,0.288
2.0,2.0,2023-11-09,@,Charleston Southern,REG (Non-Conf),W,81.0,70.0,,24.0,54.0,0.444,11.0,24.0,0.458,13.0,30.0,0.433,0.546,22.0,26.0,0.846,5.0,19.0,24.0,9.0,8.0,0.0,8.0,21.0,23.0,47.0,0.489,3.0,10.0,0.3,20.0,37.0,0.541,0.521,21.0,30.0,0.7,7.0,23.0,30.0,6.0,3.0,2.0,12.0,21.0,119.5,103.2,67.8,0.481,0.444,0.61,44.4,37.5,11.8,0.0,0.546,10.8,17.9,0.407,0.521,16.4,26.9,0.447
3.0,3.0,2023-11-13,@,South Carolina State,REG (Non-Conf),L,77.0,87.0,,22.0,55.0,0.4,9.0,29.0,0.31,13.0,26.0,0.5,0.482,24.0,27.0,0.889,8.0,20.0,28.0,17.0,6.0,2.0,19.0,18.0,32.0,63.0,0.508,5.0,12.0,0.417,27.0,51.0,0.529,0.548,18.0,27.0,0.667,10.0,26.0,36.0,17.0,15.0,1.0,10.0,16.0,99.6,112.5,77.3,0.491,0.527,0.568,43.8,77.3,7.8,3.9,0.482,21.9,23.5,0.436,0.548,11.7,33.3,0.286
4.0,4.0,2023-11-16,,Presbyterian,REG (Non-Conf),L,69.0,81.0,,22.0,70.0,0.314,11.0,39.0,0.282,11.0,31.0,0.355,0.393,14.0,17.0,0.824,8.0,23.0,31.0,11.0,5.0,5.0,8.0,22.0,26.0,53.0,0.491,5.0,11.0,0.455,21.0,42.0,0.5,0.538,24.0,30.0,0.8,7.0,37.0,44.0,11.0,6.0,7.0,12.0,14.0,91.8,107.8,75.2,0.243,0.557,0.442,41.3,50.0,6.7,11.9,0.393,9.3,17.8,0.2,0.538,15.1,23.3,0.453
5.0,5.0,2023-11-17,,Northwestern State,REG (Non-Conf),W,80.0,74.0,,29.0,62.0,0.468,12.0,30.0,0.4,17.0,32.0,0.531,0.565,10.0,12.0,0.833,9.0,28.0,37.0,16.0,4.0,4.0,11.0,17.0,24.0,67.0,0.358,3.0,18.0,0.167,21.0,49.0,0.429,0.381,23.0,27.0,0.852,14.0,22.0,36.0,6.0,4.0,7.0,7.0,13.0,112.3,103.8,71.3,0.194,0.484,0.591,50.7,55.2,5.6,8.2,0.565,14.0,29.0,0.161,0.381,8.1,33.3,0.343
6.0,6.0,2023-11-18,,Maine,REG (Non-Conf),W,67.0,58.0,,25.0,54.0,0.463,9.0,25.0,0.36,16.0,29.0,0.552,0.546,8.0,8.0,1.0,9.0,24.0,33.0,13.0,3.0,5.0,10.0,9.0,26.0,58.0,0.448,2.0,16.0,0.125,24.0,42.0,0.571,0.466,4.0,4.0,1.0,4.0,18.0,22.0,11.0,6.0,2.0,5.0,12.0,111.9,96.9,59.9,0.148,0.463,0.58,60.0,52.0,5.0,11.9,0.546,14.7,33.3,0.148,0.466,7.7,14.3,0.069
7.0,7.0,2023-11-24,@,Louisiana State,REG (Non-Conf),L,63.0,75.0,,23.0,65.0,0.354,11.0,35.0,0.314,12.0,30.0,0.4,0.438,6.0,10.0,0.6,13.0,21.0,34.0,8.0,11.0,2.0,13.0,21.0,23.0,50.0,0.46,4.0,14.0,0.286,19.0,36.0,0.528,0.5,25.0,32.0,0.781,10.0,32.0,42.0,11.0,10.0,9.0,15.0,15.0,90.0,107.2,70.0,0.154,0.538,0.452,44.7,34.8,15.7,5.6,0.438,15.7,28.9,0.092,0.5,18.7,32.3,0.5
8.0,8.0,2023-11-29,@,Iowa,REG (Non-Conf),L,78.0,103.0,,30.0,66.0,0.455,12.0,31.0,0.387,18.0,35.0,0.514,0.545,6.0,9.0,0.667,9.0,20.0,29.0,6.0,7.0,0.0,15.0,19.0,36.0,61.0,0.59,8.0,14.0,0.571,28.0,47.0,0.596,0.656,23.0,26.0,0.885,6.0,26.0,32.0,17.0,9.0,6.0,10.0,11.0,101.5,134.1,76.8,0.136,0.47,0.555,47.5,20.0,9.1,0.0,0.545,17.6,25.7,0.091,0.656,12.0,23.1,0.377
9.0,9.0,2023-12-02,,High Point,REG (Non-Conf),L,79.0,86.0,,27.0,53.0,0.509,12.0,26.0,0.462,15.0,27.0,0.556,0.623,13.0,19.0,0.684,5.0,15.0,20.0,11.0,5.0,2.0,14.0,23.0,32.0,58.0,0.552,4.0,14.0,0.286,28.0,44.0,0.636,0.586,18.0,25.0,0.72,12.0,22.0,34.0,11.0,7.0,3.0,12.0,17.0,112.1,122.1,70.5,0.358,0.491,0.637,37.0,40.7,7.1,4.5,0.623,18.4,18.5,0.245,0.586,14.7,44.4,0.31
10.0,10.0,2023-12-05,,Edward Waters,REG (Non-Conf),W,99.0,47.0,,36.0,76.0,0.474,20.0,50.0,0.4,16.0,26.0,0.615,0.605,7.0,12.0,0.583,17.0,38.0,55.0,27.0,7.0,5.0,10.0,13.0,19.0,70.0,0.271,5.0,28.0,0.179,14.0,42.0,0.333,0.307,4.0,8.0,0.5,11.0,20.0,31.0,8.0,7.0,3.0,9.0,14.0,135.2,64.2,73.3,0.158,0.658,0.606,64.0,75.0,9.6,11.9,0.605,10.9,45.9,0.092,0.307,10.9,22.4,0.057
