Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-07,,Northern Iowa,REG (Non-Conf),W,83.0,77.0,OT,27.0,57.0,0.474,11.0,22.0,0.5,16.0,35.0,0.457,0.57,18.0,22.0,0.818,9.0,23.0,32.0,11.0,9.0,3.0,13.0,14.0,31.0,68.0,0.456,8.0,23.0,0.348,23.0,45.0,0.511,0.515,7.0,12.0,0.583,13.0,21.0,34.0,11.0,8.0,1.0,13.0,22.0,114.4,106.1,64.5,0.386,0.386,0.615,48.5,40.7,12.4,6.7,0.57,16.2,30.0,0.316,0.515,15.0,36.1,0.103
2.0,2.0,2023-11-11,,Omaha,REG (Non-Conf),W,75.0,64.0,,27.0,48.0,0.563,8.0,20.0,0.4,19.0,28.0,0.679,0.646,13.0,16.0,0.813,7.0,23.0,30.0,12.0,2.0,1.0,8.0,17.0,20.0,49.0,0.408,4.0,13.0,0.308,16.0,36.0,0.444,0.449,20.0,25.0,0.8,4.0,14.0,18.0,6.0,3.0,1.0,6.0,16.0,125.5,107.1,59.7,0.333,0.417,0.674,62.5,44.4,3.3,2.8,0.646,12.6,33.3,0.271,0.449,9.0,14.8,0.408
3.0,3.0,2023-11-16,N,St. John's (NY),REG (Non-Conf),L,52.0,53.0,,18.0,55.0,0.327,6.0,19.0,0.316,12.0,36.0,0.333,0.382,10.0,13.0,0.769,12.0,26.0,38.0,8.0,8.0,2.0,13.0,19.0,18.0,53.0,0.34,6.0,23.0,0.261,12.0,30.0,0.4,0.396,11.0,19.0,0.579,12.0,23.0,35.0,12.0,7.0,8.0,15.0,16.0,81.8,83.3,63.6,0.236,0.345,0.425,52.1,44.4,12.6,6.7,0.382,17.5,34.3,0.182,0.396,19.5,31.6,0.208
4.0,4.0,2023-11-17,N,Louisiana State,REG (Non-Conf),L,62.0,66.0,,19.0,60.0,0.317,12.0,32.0,0.375,7.0,28.0,0.25,0.417,12.0,12.0,1.0,11.0,19.0,30.0,9.0,4.0,3.0,10.0,17.0,24.0,48.0,0.5,4.0,13.0,0.308,20.0,35.0,0.571,0.542,14.0,18.0,0.778,6.0,25.0,31.0,10.0,8.0,1.0,13.0,12.0,96.7,102.9,64.1,0.2,0.533,0.472,49.2,47.4,6.2,8.6,0.417,13.2,30.6,0.2,0.542,18.7,24.0,0.292
5.0,5.0,2023-11-19,N,Towson,REG (Non-Conf),W,65.0,39.0,,26.0,52.0,0.5,6.0,20.0,0.3,20.0,32.0,0.625,0.558,7.0,10.0,0.7,6.0,20.0,26.0,14.0,14.0,2.0,13.0,18.0,14.0,43.0,0.326,4.0,19.0,0.211,10.0,24.0,0.417,0.372,7.0,14.0,0.5,11.0,16.0,27.0,9.0,6.0,4.0,21.0,8.0,105.3,63.2,61.7,0.192,0.385,0.573,49.1,53.8,22.7,8.3,0.558,18.6,27.3,0.135,0.372,29.7,35.5,0.163
6.0,6.0,2023-11-26,,Angelo St.,REG (Non-Conf),W,79.0,50.0,,23.0,51.0,0.451,9.0,23.0,0.391,14.0,28.0,0.5,0.539,24.0,34.0,0.706,10.0,28.0,38.0,15.0,6.0,3.0,10.0,10.0,18.0,54.0,0.333,6.0,22.0,0.273,12.0,32.0,0.375,0.389,8.0,10.0,0.8,3.0,21.0,24.0,7.0,5.0,3.0,11.0,24.0,118.0,74.7,67.0,0.667,0.451,0.588,61.3,65.2,9.0,9.4,0.539,13.0,32.3,0.471,0.389,15.8,9.7,0.148
7.0,7.0,2023-12-02,,Mississippi Valley State,REG (Non-Conf),W,79.0,48.0,,29.0,54.0,0.537,10.0,23.0,0.435,19.0,31.0,0.613,0.63,11.0,14.0,0.786,11.0,22.0,33.0,13.0,7.0,2.0,8.0,17.0,18.0,52.0,0.346,3.0,8.0,0.375,15.0,44.0,0.341,0.375,9.0,13.0,0.692,9.0,17.0,26.0,5.0,5.0,0.0,13.0,13.0,131.9,80.1,59.9,0.259,0.426,0.651,55.9,44.8,11.7,4.5,0.63,11.7,39.3,0.204,0.375,18.3,29.0,0.173
8.0,8.0,2023-12-05,@,Boise State,REG (Non-Conf),L,64.0,69.0,,23.0,57.0,0.404,4.0,17.0,0.235,19.0,40.0,0.475,0.439,14.0,19.0,0.737,11.0,19.0,30.0,6.0,10.0,2.0,18.0,19.0,20.0,45.0,0.444,9.0,22.0,0.409,11.0,23.0,0.478,0.544,20.0,26.0,0.769,4.0,19.0,23.0,12.0,11.0,3.0,17.0,17.0,89.3,96.3,71.7,0.333,0.298,0.485,56.6,26.1,13.9,8.7,0.439,21.4,36.7,0.246,0.544,22.9,17.4,0.444
9.0,9.0,2023-12-10,N,Fordham,REG (Non-Conf),L,59.0,60.0,,23.0,60.0,0.383,5.0,13.0,0.385,18.0,47.0,0.383,0.425,8.0,11.0,0.727,11.0,26.0,37.0,9.0,8.0,11.0,13.0,16.0,23.0,60.0,0.383,8.0,21.0,0.381,15.0,39.0,0.385,0.45,6.0,12.0,0.5,11.0,25.0,36.0,14.0,6.0,5.0,12.0,12.0,88.1,89.6,67.0,0.183,0.217,0.452,50.7,39.1,11.9,28.2,0.425,16.6,30.6,0.133,0.45,15.4,29.7,0.1
10.0,10.0,2023-12-17,N,Mississippi State,REG (Non-Conf),L,54.0,72.0,,18.0,47.0,0.383,5.0,24.0,0.208,13.0,23.0,0.565,0.436,13.0,15.0,0.867,8.0,20.0,28.0,4.0,1.0,1.0,16.0,21.0,25.0,60.0,0.417,5.0,21.0,0.238,20.0,39.0,0.513,0.458,17.0,25.0,0.68,16.0,19.0,35.0,15.0,8.0,5.0,3.0,15.0,89.3,119.0,60.5,0.319,0.511,0.499,44.4,22.2,1.7,2.6,0.436,22.8,29.6,0.277,0.458,4.0,44.4,0.283
