Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Boston University,REG (Non-Conf),W,67.0,58.0,,23.0,53.0,0.434,6.0,19.0,0.316,17.0,34.0,0.5,0.491,15.0,18.0,0.833,6.0,27.0,33.0,13.0,8.0,2.0,12.0,8.0,23.0,57.0,0.404,9.0,24.0,0.375,14.0,33.0,0.424,0.482,3.0,6.0,0.5,6.0,22.0,28.0,10.0,9.0,3.0,13.0,18.0,99.7,86.3,67.2,0.34,0.358,0.544,54.1,56.5,11.9,6.1,0.491,16.3,21.4,0.283,0.482,17.8,18.2,0.053
2.0,2.0,2023-11-11,@,La Salle,REG (Non-Conf),L,74.0,79.0,,27.0,62.0,0.435,8.0,21.0,0.381,19.0,41.0,0.463,0.5,12.0,20.0,0.6,16.0,23.0,39.0,11.0,3.0,5.0,11.0,14.0,29.0,60.0,0.483,9.0,24.0,0.375,20.0,36.0,0.556,0.558,12.0,12.0,1.0,6.0,14.0,20.0,19.0,6.0,6.0,4.0,17.0,113.7,121.4,65.1,0.323,0.339,0.517,66.1,40.7,4.6,13.9,0.5,13.3,53.3,0.194,0.558,5.7,20.7,0.2
3.0,3.0,2023-11-14,@,Harvard,REG (Non-Conf),L,56.0,80.0,,20.0,54.0,0.37,6.0,21.0,0.286,14.0,33.0,0.424,0.426,10.0,17.0,0.588,7.0,20.0,27.0,10.0,6.0,5.0,12.0,11.0,31.0,64.0,0.484,10.0,22.0,0.455,21.0,42.0,0.5,0.563,8.0,12.0,0.667,12.0,28.0,40.0,14.0,7.0,8.0,10.0,13.0,83.1,118.7,67.4,0.315,0.389,0.451,40.3,50.0,8.9,11.9,0.426,16.2,20.0,0.185,0.563,12.5,37.5,0.125
4.0,4.0,2023-11-19,@,East Carolina,REG (Non-Conf),W,82.0,76.0,,31.0,56.0,0.554,8.0,23.0,0.348,23.0,33.0,0.697,0.625,12.0,18.0,0.667,10.0,22.0,32.0,20.0,3.0,6.0,12.0,19.0,28.0,58.0,0.483,6.0,23.0,0.261,22.0,35.0,0.629,0.534,14.0,20.0,0.7,8.0,15.0,23.0,14.0,4.0,1.0,8.0,17.0,122.3,113.4,67.0,0.321,0.411,0.635,58.2,64.5,4.5,17.1,0.625,15.7,40.0,0.214,0.534,10.6,26.7,0.241
5.0,5.0,2023-11-20,N,Kennesaw State,REG (Non-Conf),L,77.0,79.0,,24.0,48.0,0.5,2.0,11.0,0.182,22.0,37.0,0.595,0.521,27.0,34.0,0.794,8.0,24.0,32.0,11.0,10.0,3.0,21.0,17.0,30.0,67.0,0.448,5.0,23.0,0.217,25.0,44.0,0.568,0.485,14.0,17.0,0.824,11.0,19.0,30.0,13.0,9.0,6.0,15.0,24.0,98.6,101.1,78.1,0.708,0.229,0.6,51.6,45.8,12.8,6.8,0.521,24.7,29.6,0.563,0.485,16.7,31.4,0.209
6.0,6.0,2023-11-21,N,Georgia Southern,REG (Non-Conf),W,93.0,76.0,,31.0,53.0,0.585,11.0,25.0,0.44,20.0,28.0,0.714,0.689,20.0,27.0,0.741,9.0,21.0,30.0,22.0,11.0,4.0,13.0,13.0,28.0,61.0,0.459,12.0,31.0,0.387,16.0,30.0,0.533,0.557,8.0,12.0,0.667,9.0,15.0,24.0,10.0,4.0,1.0,13.0,20.0,132.4,108.2,70.3,0.509,0.472,0.706,55.6,71.0,15.7,13.3,0.689,16.5,37.5,0.377,0.557,16.3,30.0,0.131
7.0,7.0,2023-11-25,@,Princeton,REG (Non-Conf),L,66.0,80.0,,25.0,50.0,0.5,6.0,18.0,0.333,19.0,32.0,0.594,0.56,10.0,11.0,0.909,8.0,16.0,24.0,13.0,5.0,2.0,12.0,18.0,28.0,57.0,0.491,9.0,24.0,0.375,19.0,33.0,0.576,0.57,15.0,16.0,0.938,12.0,15.0,27.0,13.0,4.0,3.0,6.0,13.0,112.0,135.8,58.9,0.22,0.36,0.598,47.1,52.0,8.5,6.1,0.56,17.9,34.8,0.2,0.57,8.5,42.9,0.263
8.0,8.0,2023-11-29,@,Seton Hall,REG (Non-Conf),L,75.0,88.0,,27.0,60.0,0.45,7.0,22.0,0.318,20.0,38.0,0.526,0.508,14.0,19.0,0.737,10.0,15.0,25.0,13.0,6.0,1.0,9.0,16.0,32.0,54.0,0.593,8.0,18.0,0.444,24.0,36.0,0.667,0.667,16.0,19.0,0.842,9.0,23.0,32.0,16.0,7.0,6.0,11.0,14.0,112.7,132.3,66.5,0.317,0.367,0.543,43.9,48.1,9.0,2.8,0.508,11.5,30.3,0.233,0.667,14.9,37.5,0.296
9.0,9.0,2023-12-02,,Old Dominion,REG (Non-Conf),W,81.0,68.0,,18.0,43.0,0.419,5.0,15.0,0.333,13.0,28.0,0.464,0.477,40.0,51.0,0.784,6.0,26.0,32.0,8.0,6.0,5.0,12.0,17.0,29.0,60.0,0.483,6.0,21.0,0.286,23.0,39.0,0.59,0.533,4.0,9.0,0.444,2.0,21.0,23.0,10.0,6.0,2.0,12.0,31.0,109.8,92.2,73.8,1.186,0.349,0.602,58.2,44.4,8.1,12.8,0.477,15.1,22.2,0.93,0.533,15.7,7.1,0.067
10.0,10.0,2023-12-06,,Vermont,REG (Non-Conf),L,71.0,73.0,,30.0,64.0,0.469,5.0,17.0,0.294,25.0,47.0,0.532,0.508,6.0,7.0,0.857,10.0,20.0,30.0,10.0,8.0,1.0,6.0,13.0,26.0,53.0,0.491,15.0,29.0,0.517,11.0,24.0,0.458,0.632,6.0,7.0,0.857,6.0,19.0,25.0,18.0,2.0,3.0,12.0,9.0,113.0,116.2,62.8,0.109,0.266,0.527,54.5,33.3,12.7,4.2,0.508,8.2,34.5,0.094,0.632,17.6,23.1,0.113
