Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Dallas Christian,REG (Non-Conf),W,101.0,54.0,,41.0,72.0,0.569,6.0,25.0,0.24,35.0,47.0,0.745,0.611,13.0,21.0,0.619,10.0,32.0,42.0,16.0,17.0,7.0,11.0,16.0,18.0,66.0,0.273,8.0,31.0,0.258,10.0,35.0,0.286,0.333,10.0,18.0,0.556,14.0,20.0,34.0,8.0,4.0,2.0,24.0,18.0,120.6,64.5,83.8,0.292,0.347,0.616,55.3,39.0,20.3,20.0,0.611,11.8,33.3,0.181,0.333,24.4,30.4,0.152
2.0,2.0,2023-11-09,@,Tulane,REG (Non-Conf),L,71.0,88.0,,26.0,67.0,0.388,8.0,31.0,0.258,18.0,36.0,0.5,0.448,11.0,11.0,1.0,9.0,19.0,28.0,10.0,7.0,3.0,16.0,20.0,29.0,56.0,0.518,1.0,14.0,0.071,28.0,42.0,0.667,0.527,29.0,32.0,0.906,6.0,27.0,33.0,14.0,12.0,5.0,12.0,11.0,90.8,112.5,78.2,0.164,0.463,0.492,45.9,38.5,8.9,7.1,0.448,18.1,25.0,0.164,0.527,14.4,24.0,0.518
3.0,3.0,2023-11-13,,Stephen F. Austin,REG (Non-Conf),L,70.0,96.0,,19.0,58.0,0.328,6.0,24.0,0.25,13.0,34.0,0.382,0.379,26.0,36.0,0.722,18.0,13.0,31.0,7.0,8.0,2.0,19.0,20.0,36.0,57.0,0.632,9.0,20.0,0.45,27.0,37.0,0.73,0.711,15.0,20.0,0.75,9.0,25.0,34.0,19.0,12.0,3.0,21.0,28.0,90.6,124.2,77.3,0.621,0.414,0.466,47.7,36.8,10.3,5.4,0.379,20.2,41.9,0.448,0.711,24.0,40.9,0.263
4.0,4.0,2023-11-16,N,Maine,REG (Non-Conf),L,65.0,78.0,,24.0,58.0,0.414,7.0,19.0,0.368,17.0,39.0,0.436,0.474,10.0,17.0,0.588,14.0,18.0,32.0,12.0,7.0,1.0,16.0,16.0,27.0,52.0,0.519,8.0,20.0,0.4,19.0,32.0,0.594,0.596,16.0,20.0,0.8,7.0,24.0,31.0,13.0,10.0,4.0,12.0,17.0,96.6,115.9,67.3,0.293,0.328,0.492,50.8,50.0,10.4,3.1,0.474,19.5,36.8,0.172,0.596,16.3,28.0,0.308
5.0,5.0,2023-11-17,@,North Florida,REG (Non-Conf),L,74.0,80.0,,24.0,67.0,0.358,3.0,18.0,0.167,21.0,49.0,0.429,0.381,23.0,27.0,0.852,14.0,22.0,36.0,6.0,4.0,7.0,7.0,13.0,29.0,62.0,0.468,12.0,30.0,0.4,17.0,32.0,0.531,0.565,10.0,12.0,0.833,9.0,28.0,37.0,16.0,4.0,4.0,11.0,17.0,103.8,112.3,71.3,0.403,0.269,0.464,49.3,25.0,5.6,21.9,0.381,8.1,33.3,0.343,0.565,14.0,29.0,0.161
6.0,6.0,2023-11-18,N,Presbyterian,REG (Non-Conf),L,75.0,78.0,,27.0,58.0,0.466,5.0,20.0,0.25,22.0,38.0,0.579,0.509,16.0,26.0,0.615,8.0,23.0,31.0,10.0,5.0,1.0,7.0,25.0,27.0,54.0,0.5,7.0,20.0,0.35,20.0,34.0,0.588,0.565,17.0,29.0,0.586,8.0,25.0,33.0,15.0,4.0,5.0,10.0,23.0,107.8,112.1,69.6,0.448,0.345,0.533,48.4,37.0,7.2,2.9,0.509,9.0,24.2,0.276,0.565,12.9,25.8,0.315
7.0,7.0,2023-11-28,@,Louisiana–Monroe,REG (Non-Conf),L,70.0,74.0,,24.0,55.0,0.436,11.0,30.0,0.367,13.0,25.0,0.52,0.536,11.0,14.0,0.786,5.0,17.0,22.0,14.0,6.0,4.0,12.0,26.0,24.0,62.0,0.387,3.0,20.0,0.15,21.0,42.0,0.5,0.411,23.0,35.0,0.657,19.0,24.0,43.0,8.0,3.0,7.0,13.0,18.0,99.1,104.8,70.6,0.255,0.545,0.568,33.8,58.3,8.5,9.5,0.536,16.3,17.2,0.2,0.411,14.2,52.8,0.371
8.0,8.0,2023-12-02,@,Baylor,REG (Non-Conf),L,40.0,91.0,,14.0,56.0,0.25,5.0,24.0,0.208,9.0,32.0,0.281,0.295,7.0,12.0,0.583,3.0,15.0,18.0,8.0,5.0,3.0,10.0,22.0,32.0,60.0,0.533,10.0,28.0,0.357,22.0,32.0,0.688,0.617,17.0,26.0,0.654,13.0,32.0,45.0,14.0,4.0,9.0,8.0,13.0,58.8,133.8,68.0,0.214,0.429,0.324,28.6,57.1,7.4,9.4,0.295,13.9,8.6,0.125,0.617,10.0,46.4,0.283
9.0,9.0,2023-12-09,@,Southern Mississippi,REG (Non-Conf),L,74.0,83.0,,27.0,59.0,0.458,11.0,27.0,0.407,16.0,32.0,0.5,0.551,9.0,16.0,0.563,11.0,13.0,24.0,14.0,9.0,3.0,11.0,18.0,30.0,61.0,0.492,5.0,19.0,0.263,25.0,42.0,0.595,0.533,18.0,20.0,0.9,15.0,23.0,38.0,19.0,7.0,4.0,14.0,15.0,108.7,122.0,68.1,0.271,0.458,0.556,38.7,51.9,13.2,7.1,0.551,14.2,32.4,0.153,0.533,16.6,53.6,0.295
10.0,10.0,2023-12-12,@,Boise State,REG (Non-Conf),L,54.0,95.0,,21.0,56.0,0.375,10.0,25.0,0.4,11.0,31.0,0.355,0.464,2.0,10.0,0.2,7.0,13.0,20.0,11.0,4.0,1.0,10.0,12.0,37.0,62.0,0.597,13.0,32.0,0.406,24.0,30.0,0.8,0.702,8.0,14.0,0.571,13.0,29.0,42.0,19.0,2.0,2.0,8.0,11.0,84.8,149.1,63.7,0.179,0.446,0.444,32.3,52.4,6.3,3.3,0.464,14.1,19.4,0.036,0.702,10.4,50.0,0.129
