Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Binghamton,REG (Non-Conf),W,72.0,61.0,,25.0,59.0,0.424,5.0,18.0,0.278,20.0,41.0,0.488,0.466,17.0,21.0,0.81,10.0,22.0,32.0,13.0,12.0,9.0,12.0,16.0,22.0,53.0,0.415,7.0,23.0,0.304,15.0,30.0,0.5,0.481,10.0,12.0,0.833,8.0,19.0,27.0,16.0,4.0,9.0,19.0,19.0,102.4,86.7,70.3,0.356,0.305,0.522,54.2,52.0,17.1,30.0,0.466,14.8,34.5,0.288,0.481,24.5,26.7,0.189
2.0,2.0,2023-11-10,,Dayton,REG (Non-Conf),W,71.0,66.0,,25.0,53.0,0.472,5.0,14.0,0.357,20.0,39.0,0.513,0.519,16.0,20.0,0.8,10.0,15.0,25.0,14.0,9.0,1.0,6.0,14.0,21.0,39.0,0.538,12.0,23.0,0.522,9.0,16.0,0.563,0.692,12.0,15.0,0.8,3.0,18.0,21.0,16.0,3.0,1.0,15.0,17.0,121.8,113.2,58.3,0.377,0.264,0.568,54.3,56.0,15.4,6.3,0.519,8.8,35.7,0.302,0.692,24.5,16.7,0.308
3.0,3.0,2023-11-14,,Western Michigan,REG (Non-Conf),W,63.0,59.0,,23.0,51.0,0.451,6.0,26.0,0.231,17.0,25.0,0.68,0.51,11.0,14.0,0.786,3.0,15.0,18.0,12.0,9.0,5.0,7.0,13.0,22.0,53.0,0.415,8.0,25.0,0.32,14.0,28.0,0.5,0.491,7.0,12.0,0.583,13.0,24.0,37.0,15.0,4.0,3.0,14.0,16.0,103.8,97.2,60.7,0.275,0.51,0.546,32.7,52.2,14.8,17.9,0.51,10.8,11.1,0.216,0.491,19.3,46.4,0.132
4.0,4.0,2023-11-18,N,Rhode Island,REG (Non-Conf),W,72.0,61.0,,27.0,62.0,0.435,8.0,19.0,0.421,19.0,43.0,0.442,0.5,10.0,13.0,0.769,17.0,20.0,37.0,17.0,8.0,6.0,9.0,21.0,19.0,49.0,0.388,8.0,19.0,0.421,11.0,30.0,0.367,0.469,15.0,22.0,0.682,9.0,18.0,27.0,6.0,4.0,4.0,14.0,15.0,115.5,97.9,62.3,0.21,0.306,0.528,57.8,63.0,12.8,20.0,0.5,11.7,48.6,0.161,0.469,19.1,31.0,0.306
5.0,5.0,2023-11-19,N,Mississippi State,REG (Non-Conf),L,57.0,66.0,,23.0,61.0,0.377,6.0,26.0,0.231,17.0,35.0,0.486,0.426,5.0,7.0,0.714,6.0,19.0,25.0,9.0,9.0,3.0,8.0,19.0,23.0,49.0,0.469,8.0,23.0,0.348,15.0,26.0,0.577,0.551,12.0,17.0,0.706,8.0,28.0,36.0,15.0,3.0,5.0,15.0,12.0,87.4,101.2,65.2,0.115,0.426,0.443,41.0,39.1,13.8,11.5,0.426,11.1,17.6,0.082,0.551,20.8,29.6,0.245
6.0,6.0,2023-11-27,,Northern Illinois,REG (Non-Conf),W,89.0,67.0,,34.0,56.0,0.607,9.0,19.0,0.474,25.0,37.0,0.676,0.688,12.0,16.0,0.75,4.0,27.0,31.0,22.0,7.0,0.0,7.0,14.0,27.0,57.0,0.474,7.0,18.0,0.389,20.0,39.0,0.513,0.535,6.0,12.0,0.5,7.0,18.0,25.0,13.0,6.0,4.0,11.0,17.0,133.5,100.5,66.7,0.286,0.339,0.7,55.4,64.7,10.5,0.0,0.688,9.9,18.2,0.214,0.535,14.9,20.6,0.105
7.0,7.0,2023-12-01,,Purdue,REG (Conf),W,92.0,88.0,OT,31.0,66.0,0.47,10.0,20.0,0.5,21.0,46.0,0.457,0.545,20.0,32.0,0.625,5.0,21.0,26.0,22.0,8.0,1.0,3.0,29.0,26.0,60.0,0.433,5.0,19.0,0.263,21.0,41.0,0.512,0.475,31.0,41.0,0.756,13.0,34.0,47.0,15.0,1.0,4.0,17.0,27.0,113.1,108.2,72.3,0.485,0.303,0.567,35.6,71.0,9.8,2.4,0.545,3.6,12.8,0.303,0.475,17.6,38.2,0.517
8.0,8.0,2023-12-10,,Detroit Mercy,REG (Non-Conf),W,91.0,59.0,,34.0,61.0,0.557,10.0,24.0,0.417,24.0,37.0,0.649,0.639,13.0,20.0,0.65,8.0,26.0,34.0,29.0,9.0,6.0,6.0,18.0,20.0,57.0,0.351,5.0,22.0,0.227,15.0,35.0,0.429,0.395,14.0,20.0,0.7,10.0,20.0,30.0,9.0,4.0,0.0,13.0,19.0,131.9,85.5,69.0,0.328,0.393,0.645,53.1,85.3,13.0,17.1,0.639,7.8,28.6,0.213,0.395,16.4,27.8,0.246
9.0,9.0,2023-12-13,,Chicago State,REG (Non-Conf),L,73.0,75.0,,26.0,53.0,0.491,8.0,17.0,0.471,18.0,36.0,0.5,0.566,13.0,20.0,0.65,7.0,16.0,23.0,18.0,9.0,4.0,14.0,14.0,24.0,50.0,0.48,8.0,23.0,0.348,16.0,27.0,0.593,0.56,19.0,22.0,0.864,7.0,20.0,27.0,13.0,13.0,3.0,14.0,18.0,106.6,109.5,68.5,0.377,0.321,0.584,46.0,69.2,13.1,14.8,0.566,18.3,25.9,0.245,0.56,18.8,30.4,0.38
10.0,10.0,2023-12-16,@,DePaul,REG (Non-Conf),W,56.0,46.0,,21.0,59.0,0.356,8.0,32.0,0.25,13.0,27.0,0.481,0.424,6.0,7.0,0.857,8.0,24.0,32.0,14.0,7.0,3.0,7.0,16.0,13.0,45.0,0.289,4.0,22.0,0.182,9.0,23.0,0.391,0.333,16.0,19.0,0.842,6.0,25.0,31.0,8.0,5.0,2.0,12.0,9.0,92.3,75.8,60.7,0.119,0.542,0.449,50.8,66.7,11.5,13.0,0.424,10.1,24.2,0.102,0.333,18.2,20.0,0.356
