Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Niagara,REG (Non-Conf),W,70.0,63.0,,27.0,53.0,0.509,3.0,17.0,0.176,24.0,36.0,0.667,0.538,13.0,16.0,0.813,4.0,29.0,33.0,9.0,3.0,1.0,7.0,13.0,25.0,59.0,0.424,7.0,17.0,0.412,18.0,42.0,0.429,0.483,6.0,9.0,0.667,4.0,23.0,27.0,11.0,3.0,2.0,7.0,15.0,107.8,97.0,64.9,0.302,0.321,0.578,55.0,33.3,4.6,2.4,0.538,10.4,14.8,0.245,0.483,10.0,12.1,0.102
2.0,2.0,2023-11-11,,Western Carolina,REG (Non-Conf),L,61.0,71.0,,22.0,58.0,0.379,8.0,26.0,0.308,14.0,32.0,0.438,0.448,9.0,14.0,0.643,8.0,26.0,34.0,10.0,2.0,3.0,11.0,18.0,25.0,64.0,0.391,7.0,21.0,0.333,18.0,43.0,0.419,0.445,14.0,18.0,0.778,13.0,28.0,41.0,10.0,7.0,5.0,6.0,14.0,91.6,106.6,66.6,0.241,0.448,0.472,45.3,45.5,3.0,7.0,0.448,14.5,22.2,0.155,0.445,7.6,33.3,0.219
3.0,3.0,2023-11-16,N,Auburn,REG (Non-Conf),L,59.0,83.0,,21.0,62.0,0.339,2.0,26.0,0.077,19.0,36.0,0.528,0.355,15.0,19.0,0.789,12.0,21.0,33.0,9.0,9.0,2.0,9.0,16.0,31.0,58.0,0.534,9.0,20.0,0.45,22.0,38.0,0.579,0.612,12.0,16.0,0.75,9.0,25.0,34.0,22.0,6.0,5.0,13.0,18.0,85.7,120.6,68.8,0.306,0.419,0.415,49.3,42.9,13.1,5.3,0.355,11.2,32.4,0.242,0.612,16.5,30.0,0.207
4.0,4.0,2023-11-17,N,Oklahoma State,REG (Non-Conf),W,66.0,64.0,OT,24.0,57.0,0.421,8.0,25.0,0.32,16.0,32.0,0.5,0.491,10.0,16.0,0.625,8.0,27.0,35.0,13.0,5.0,3.0,11.0,17.0,21.0,58.0,0.362,5.0,25.0,0.2,16.0,33.0,0.485,0.405,17.0,23.0,0.739,10.0,25.0,35.0,10.0,6.0,4.0,12.0,18.0,95.3,92.4,61.6,0.281,0.439,0.511,50.0,54.2,7.2,9.1,0.491,14.6,24.2,0.175,0.405,14.8,27.0,0.293
5.0,5.0,2023-11-22,,Maryland Eastern Shore,REG (Non-Conf),W,75.0,55.0,,28.0,55.0,0.509,13.0,27.0,0.481,15.0,28.0,0.536,0.627,6.0,7.0,0.857,5.0,29.0,34.0,18.0,7.0,4.0,15.0,10.0,21.0,61.0,0.344,6.0,16.0,0.375,15.0,45.0,0.333,0.393,7.0,9.0,0.778,12.0,20.0,32.0,8.0,11.0,4.0,15.0,12.0,109.8,80.5,68.3,0.127,0.491,0.643,51.5,64.3,10.2,8.9,0.627,20.5,20.0,0.109,0.393,18.7,29.3,0.115
6.0,6.0,2023-11-28,@,South Carolina,REG (Non-Conf),L,53.0,65.0,,17.0,52.0,0.327,6.0,21.0,0.286,11.0,31.0,0.355,0.385,13.0,20.0,0.65,9.0,22.0,31.0,8.0,2.0,4.0,9.0,20.0,19.0,50.0,0.38,7.0,25.0,0.28,12.0,25.0,0.48,0.45,20.0,26.0,0.769,6.0,18.0,24.0,11.0,5.0,4.0,6.0,18.0,85.6,105.0,61.9,0.385,0.404,0.431,56.4,47.1,3.2,16.0,0.385,12.8,33.3,0.25,0.45,8.8,21.4,0.4
7.0,7.0,2023-12-02,@,Miami (FL),REG (Conf),L,49.0,62.0,,18.0,63.0,0.286,6.0,32.0,0.188,12.0,31.0,0.387,0.333,7.0,9.0,0.778,12.0,23.0,35.0,11.0,8.0,3.0,13.0,11.0,25.0,54.0,0.463,7.0,18.0,0.389,18.0,36.0,0.5,0.528,5.0,8.0,0.625,3.0,30.0,33.0,12.0,8.0,1.0,13.0,9.0,72.0,91.1,68.0,0.143,0.508,0.364,51.5,61.1,11.8,8.3,0.333,16.2,28.6,0.111,0.528,18.4,11.5,0.093
8.0,8.0,2023-12-05,,Western Michigan,REG (Non-Conf),W,86.0,65.0,,29.0,49.0,0.592,9.0,22.0,0.409,20.0,27.0,0.741,0.684,19.0,25.0,0.76,6.0,26.0,32.0,11.0,5.0,2.0,12.0,16.0,26.0,63.0,0.413,5.0,22.0,0.227,21.0,41.0,0.512,0.452,8.0,11.0,0.727,7.0,14.0,21.0,8.0,8.0,1.0,9.0,18.0,125.5,94.8,68.6,0.51,0.449,0.706,60.4,37.9,7.3,4.9,0.684,16.5,30.0,0.388,0.452,11.7,21.2,0.127
9.0,9.0,2023-12-09,@,Marquette,REG (Non-Conf),L,59.0,78.0,,19.0,52.0,0.365,9.0,35.0,0.257,10.0,17.0,0.588,0.452,12.0,15.0,0.8,10.0,18.0,28.0,10.0,12.0,1.0,14.0,13.0,29.0,56.0,0.518,8.0,24.0,0.333,21.0,32.0,0.656,0.589,12.0,13.0,0.923,7.0,24.0,31.0,20.0,7.0,0.0,14.0,16.0,89.2,117.9,66.2,0.288,0.673,0.499,47.5,52.6,18.1,3.1,0.452,19.1,29.4,0.231,0.589,18.4,28.0,0.214
10.0,10.0,2023-12-16,,Georgetown,REG (Non-Conf),L,68.0,72.0,OT,26.0,66.0,0.394,8.0,32.0,0.25,18.0,34.0,0.529,0.455,8.0,13.0,0.615,11.0,24.0,35.0,8.0,7.0,2.0,10.0,17.0,22.0,53.0,0.415,10.0,22.0,0.455,12.0,31.0,0.387,0.509,18.0,23.0,0.783,6.0,29.0,35.0,13.0,4.0,2.0,14.0,15.0,95.0,100.6,63.6,0.197,0.485,0.471,50.0,30.8,9.8,6.5,0.455,12.2,27.5,0.121,0.509,18.0,20.0,0.34
