Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Alabama State,REG (Non-Conf),W,69.0,59.0,,25.0,68.0,0.368,7.0,29.0,0.241,18.0,39.0,0.462,0.419,12.0,25.0,0.48,11.0,32.0,43.0,14.0,6.0,8.0,8.0,15.0,17.0,62.0,0.274,9.0,25.0,0.36,8.0,37.0,0.216,0.347,16.0,21.0,0.762,7.0,31.0,38.0,9.0,6.0,3.0,11.0,20.0,90.3,77.2,76.4,0.368,0.426,0.432,53.1,56.0,7.9,21.6,0.419,9.1,26.2,0.176,0.347,13.3,17.9,0.258
2.0,2.0,2023-11-10,,Eastern Washington,REG (Non-Conf),W,75.0,64.0,,29.0,61.0,0.475,3.0,12.0,0.25,26.0,49.0,0.531,0.5,14.0,19.0,0.737,4.0,19.0,23.0,15.0,14.0,3.0,8.0,12.0,25.0,58.0,0.431,4.0,22.0,0.182,21.0,36.0,0.583,0.466,10.0,13.0,0.769,8.0,27.0,35.0,15.0,5.0,1.0,17.0,19.0,101.9,87.0,73.6,0.311,0.197,0.536,39.7,51.7,19.0,8.3,0.5,10.3,12.9,0.23,0.466,20.9,29.6,0.172
3.0,3.0,2023-11-14,,Detroit Mercy,REG (Non-Conf),W,70.0,69.0,,28.0,62.0,0.452,9.0,18.0,0.5,19.0,44.0,0.432,0.524,5.0,6.0,0.833,10.0,17.0,27.0,22.0,9.0,4.0,8.0,16.0,25.0,52.0,0.481,6.0,15.0,0.4,19.0,37.0,0.514,0.538,13.0,18.0,0.722,8.0,23.0,31.0,15.0,5.0,1.0,11.0,14.0,110.8,109.2,63.2,0.097,0.29,0.54,46.6,78.6,14.2,10.8,0.524,11.0,30.3,0.081,0.538,15.4,32.0,0.25
4.0,4.0,2023-11-17,,Sam Houston State,REG (Non-Conf),W,70.0,67.0,,20.0,46.0,0.435,3.0,18.0,0.167,17.0,28.0,0.607,0.467,27.0,34.0,0.794,7.0,23.0,30.0,15.0,6.0,8.0,13.0,13.0,24.0,58.0,0.414,10.0,26.0,0.385,14.0,32.0,0.438,0.5,9.0,14.0,0.643,10.0,18.0,28.0,17.0,11.0,1.0,12.0,23.0,103.9,99.4,67.4,0.739,0.391,0.563,51.7,75.0,8.9,25.0,0.467,17.3,28.0,0.587,0.5,15.7,30.3,0.155
5.0,5.0,2023-11-22,@,Temple,REG (Non-Conf),W,77.0,76.0,,30.0,59.0,0.508,10.0,18.0,0.556,20.0,41.0,0.488,0.593,7.0,9.0,0.778,10.0,19.0,29.0,18.0,7.0,5.0,12.0,14.0,26.0,59.0,0.441,12.0,31.0,0.387,14.0,28.0,0.5,0.542,12.0,13.0,0.923,9.0,15.0,24.0,13.0,7.0,2.0,10.0,13.0,117.2,115.6,65.7,0.153,0.305,0.608,54.7,60.0,10.7,17.9,0.593,15.9,40.0,0.119,0.542,13.3,32.1,0.203
6.0,6.0,2023-11-28,,NC State,REG (Non-Conf),W,72.0,52.0,,24.0,59.0,0.407,7.0,20.0,0.35,17.0,39.0,0.436,0.466,17.0,20.0,0.85,8.0,28.0,36.0,11.0,7.0,9.0,7.0,14.0,21.0,66.0,0.318,3.0,25.0,0.12,18.0,41.0,0.439,0.341,7.0,12.0,0.583,16.0,22.0,38.0,10.0,2.0,2.0,13.0,15.0,105.7,76.4,68.1,0.339,0.339,0.526,48.6,45.8,10.3,22.0,0.466,9.3,26.7,0.288,0.341,15.3,36.4,0.106
7.0,7.0,2023-12-02,,Memphis,REG (Non-Conf),W,80.0,77.0,,29.0,64.0,0.453,11.0,22.0,0.5,18.0,42.0,0.429,0.539,11.0,15.0,0.733,8.0,28.0,36.0,19.0,6.0,10.0,13.0,14.0,31.0,73.0,0.425,3.0,18.0,0.167,28.0,55.0,0.509,0.445,12.0,15.0,0.8,11.0,23.0,34.0,12.0,9.0,5.0,9.0,17.0,103.7,99.8,77.1,0.234,0.344,0.562,51.4,65.5,7.8,18.2,0.539,15.5,25.8,0.172,0.445,10.1,28.2,0.164
8.0,8.0,2023-12-05,,Mount St. Mary's,REG (Non-Conf),W,77.0,68.0,,26.0,54.0,0.481,5.0,15.0,0.333,21.0,39.0,0.538,0.528,20.0,25.0,0.8,7.0,26.0,33.0,16.0,11.0,7.0,12.0,11.0,29.0,70.0,0.414,5.0,25.0,0.2,24.0,45.0,0.533,0.45,5.0,8.0,0.625,11.0,21.0,32.0,12.0,9.0,5.0,12.0,16.0,105.7,93.4,72.8,0.463,0.278,0.584,50.8,61.5,15.1,15.6,0.528,15.4,25.0,0.37,0.45,14.0,29.7,0.071
9.0,9.0,2023-12-10,@,UCF,REG (Non-Conf),W,70.0,68.0,,20.0,45.0,0.444,6.0,15.0,0.4,14.0,30.0,0.467,0.511,24.0,34.0,0.706,6.0,22.0,28.0,11.0,8.0,6.0,15.0,23.0,21.0,57.0,0.368,4.0,22.0,0.182,17.0,35.0,0.486,0.404,22.0,34.0,0.647,15.0,17.0,32.0,11.0,13.0,6.0,13.0,22.0,99.1,96.2,70.7,0.756,0.333,0.572,46.7,55.0,11.3,17.1,0.511,19.7,26.1,0.533,0.404,15.1,40.5,0.386
10.0,10.0,2023-12-16,N,California,REG (Non-Conf),W,88.0,78.0,,31.0,59.0,0.525,12.0,21.0,0.571,19.0,38.0,0.5,0.627,14.0,16.0,0.875,6.0,24.0,30.0,21.0,9.0,6.0,8.0,13.0,30.0,72.0,0.417,10.0,30.0,0.333,20.0,42.0,0.476,0.486,8.0,10.0,0.8,13.0,22.0,35.0,15.0,3.0,1.0,11.0,16.0,122.8,108.8,71.7,0.271,0.356,0.661,46.2,67.7,12.6,14.3,0.627,10.7,21.4,0.237,0.486,12.5,35.1,0.111
