Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,,Doane College,REG (Non-Conf),W,85.0,53.0,,34.0,70.0,0.486,6.0,23.0,0.261,28.0,47.0,0.596,0.529,11.0,16.0,0.688,8.0,26.0,34.0,11.0,7.0,2.0,6.0,19.0,16.0,46.0,0.348,7.0,19.0,0.368,9.0,27.0,0.333,0.424,14.0,19.0,0.737,2.0,26.0,28.0,6.0,4.0,1.0,16.0,16.0,117.5,73.3,72.3,0.229,0.329,0.548,54.8,32.4,9.7,7.4,0.529,7.2,23.5,0.157,0.424,22.5,7.1,0.304
2.0,2.0,2023-11-09,@,TCU,REG (Non-Conf),L,60.0,82.0,,22.0,56.0,0.393,6.0,18.0,0.333,16.0,38.0,0.421,0.446,10.0,22.0,0.455,3.0,16.0,19.0,14.0,7.0,2.0,16.0,10.0,35.0,71.0,0.493,3.0,15.0,0.2,32.0,56.0,0.571,0.514,9.0,10.0,0.9,15.0,33.0,48.0,19.0,9.0,3.0,16.0,22.0,76.8,105.0,78.1,0.393,0.321,0.451,28.4,63.6,9.0,3.6,0.446,19.4,8.3,0.179,0.514,17.4,48.4,0.127
3.0,3.0,2023-11-11,@,North Texas,REG (Non-Conf),L,64.0,75.0,,20.0,49.0,0.408,4.0,13.0,0.308,16.0,36.0,0.444,0.449,20.0,25.0,0.8,4.0,14.0,18.0,6.0,3.0,1.0,6.0,16.0,27.0,48.0,0.563,8.0,20.0,0.4,19.0,28.0,0.679,0.646,13.0,16.0,0.813,7.0,23.0,30.0,12.0,2.0,1.0,8.0,17.0,107.1,125.5,59.7,0.51,0.265,0.526,37.5,30.0,5.0,3.6,0.449,9.0,14.8,0.408,0.646,12.6,33.3,0.271
4.0,4.0,2023-11-16,N,William & Mary,REG (Non-Conf),W,89.0,83.0,,27.0,61.0,0.443,11.0,29.0,0.379,16.0,32.0,0.5,0.533,24.0,28.0,0.857,10.0,23.0,33.0,12.0,6.0,3.0,10.0,25.0,28.0,57.0,0.491,8.0,25.0,0.32,20.0,32.0,0.625,0.561,19.0,26.0,0.731,8.0,19.0,27.0,14.0,3.0,2.0,10.0,22.0,122.2,114.0,72.8,0.459,0.475,0.599,55.0,44.4,8.2,9.4,0.533,11.9,34.5,0.393,0.561,12.6,25.8,0.333
5.0,5.0,2023-11-17,N,Lindenwood,REG (Non-Conf),L,70.0,72.0,,24.0,56.0,0.429,5.0,23.0,0.217,19.0,33.0,0.576,0.473,17.0,23.0,0.739,8.0,23.0,31.0,8.0,8.0,2.0,11.0,15.0,26.0,55.0,0.473,4.0,14.0,0.286,22.0,41.0,0.537,0.509,16.0,21.0,0.762,7.0,23.0,30.0,9.0,9.0,5.0,12.0,19.0,100.1,102.9,70.0,0.411,0.411,0.523,50.8,33.3,11.4,4.9,0.473,14.1,25.8,0.304,0.509,15.6,23.3,0.291
6.0,6.0,2023-11-19,@,Air Force,REG (Non-Conf),L,56.0,58.0,,20.0,57.0,0.351,5.0,14.0,0.357,15.0,43.0,0.349,0.395,11.0,16.0,0.688,8.0,17.0,25.0,8.0,8.0,0.0,10.0,17.0,19.0,44.0,0.432,7.0,25.0,0.28,12.0,19.0,0.632,0.511,13.0,17.0,0.765,4.0,29.0,33.0,10.0,4.0,6.0,13.0,17.0,87.7,90.9,63.8,0.281,0.246,0.433,43.1,40.0,12.5,0.0,0.395,13.4,21.6,0.193,0.511,20.0,19.0,0.295
7.0,7.0,2023-11-22,,Mid-Am Christian,REG (Non-Conf),W,76.0,59.0,,25.0,52.0,0.481,10.0,21.0,0.476,15.0,31.0,0.484,0.577,16.0,24.0,0.667,10.0,26.0,36.0,14.0,6.0,1.0,16.0,16.0,19.0,51.0,0.373,10.0,27.0,0.37,9.0,24.0,0.375,0.471,11.0,14.0,0.786,2.0,22.0,24.0,7.0,11.0,1.0,13.0,21.0,110.1,85.5,69.0,0.462,0.404,0.599,60.0,56.0,8.7,4.2,0.577,20.2,31.3,0.308,0.471,18.4,7.1,0.216
8.0,8.0,2023-11-27,,York (NE),REG (Non-Conf),W,104.0,68.0,,40.0,72.0,0.556,14.0,33.0,0.424,26.0,39.0,0.667,0.653,10.0,14.0,0.714,9.0,30.0,39.0,13.0,11.0,0.0,7.0,13.0,25.0,63.0,0.397,8.0,26.0,0.308,17.0,37.0,0.459,0.46,10.0,16.0,0.625,7.0,22.0,29.0,11.0,5.0,2.0,13.0,14.0,135.7,88.7,76.6,0.194,0.458,0.661,57.4,32.5,14.4,0.0,0.653,8.2,29.0,0.139,0.46,15.6,18.9,0.159
9.0,9.0,2023-11-30,,Bellevue,REG (Non-Conf),W,78.0,59.0,,24.0,49.0,0.49,6.0,16.0,0.375,18.0,33.0,0.545,0.551,24.0,33.0,0.727,5.0,29.0,34.0,11.0,7.0,1.0,10.0,14.0,21.0,55.0,0.382,10.0,31.0,0.323,11.0,24.0,0.458,0.473,7.0,10.0,0.7,4.0,24.0,28.0,8.0,7.0,2.0,12.0,22.0,113.5,85.9,68.7,0.673,0.327,0.603,54.8,45.8,10.2,4.2,0.551,13.4,17.2,0.49,0.473,16.7,12.1,0.127
10.0,10.0,2023-12-06,@,Texas Tech,REG (Non-Conf),L,58.0,87.0,,22.0,53.0,0.415,6.0,22.0,0.273,16.0,31.0,0.516,0.472,8.0,14.0,0.571,9.0,17.0,26.0,9.0,4.0,1.0,14.0,18.0,29.0,58.0,0.5,11.0,28.0,0.393,18.0,30.0,0.6,0.595,18.0,20.0,0.9,9.0,26.0,35.0,16.0,8.0,1.0,10.0,16.0,87.1,130.7,66.6,0.264,0.415,0.486,42.6,40.9,6.0,3.3,0.472,19.0,25.7,0.151,0.595,12.9,34.6,0.31
11.0,11.0,2023-12-09,@,Texas A&M–Corpus Christi,REG (Non-Conf),L,58.0,62.0,,16.0,45.0,0.356,4.0,17.0,0.235,12.0,28.0,0.429,0.4,22.0,27.0,0.815,7.0,26.0,33.0,9.0,6.0,0.0,17.0,22.0,20.0,61.0,0.328,7.0,29.0,0.241,13.0,32.0,0.406,0.385,15.0,20.0,0.75,15.0,24.0,39.0,15.0,10.0,4.0,11.0,22.0,86.4,92.3,67.2,0.6,0.378,0.502,45.8,56.3,8.9,0.0,0.4,22.7,22.6,0.489,0.385,13.5,36.6,0.246
12.0,12.0,2023-12-17,,Stetson,REG (Non-Conf),W,88.0,80.0,,25.0,48.0,0.521,5.0,14.0,0.357,20.0,34.0,0.588,0.573,33.0,40.0,0.825,9.0,26.0,35.0,13.0,8.0,5.0,12.0,15.0,26.0,60.0,0.433,10.0,24.0,0.417,16.0,36.0,0.444,0.517,18.0,21.0,0.857,8.0,16.0,24.0,14.0,8.0,2.0,9.0,27.0,124.8,113.5,70.5,0.833,0.292,0.657,59.3,52.0,11.3,13.9,0.573,15.2,36.0,0.688,0.517,11.4,23.5,0.3
13.0,13.0,2023-12-21,@,Cal Poly,REG (Non-Conf),L,53.0,66.0,,21.0,62.0,0.339,3.0,16.0,0.188,18.0,46.0,0.391,0.363,8.0,14.0,0.571,14.0,26.0,40.0,2.0,3.0,3.0,12.0,17.0,24.0,58.0,0.414,7.0,24.0,0.292,17.0,34.0,0.5,0.474,11.0,14.0,0.786,8.0,29.0,37.0,12.0,5.0,9.0,10.0,16.0,79.5,99.0,66.7,0.226,0.258,0.386,51.9,9.5,4.5,8.8,0.363,14.9,32.6,0.129,0.474,13.4,23.5,0.19
14.0,14.0,2023-12-29,,Denver,REG (Conf),L,80.0,95.0,,27.0,57.0,0.474,4.0,16.0,0.25,23.0,41.0,0.561,0.509,22.0,35.0,0.629,9.0,19.0,28.0,9.0,5.0,3.0,6.0,20.0,32.0,59.0,0.542,8.0,21.0,0.381,24.0,38.0,0.632,0.61,23.0,31.0,0.742,10.0,26.0,36.0,14.0,4.0,3.0,8.0,23.0,112.4,133.5,71.2,0.614,0.281,0.543,43.8,33.3,7.0,7.9,0.509,7.5,25.7,0.386,0.61,9.8,34.5,0.39
15.0,15.0,2023-12-31,@,South Dakota,REG (Conf),W,67.0,51.0,,24.0,58.0,0.414,5.0,19.0,0.263,19.0,39.0,0.487,0.457,14.0,16.0,0.875,6.0,26.0,32.0,10.0,5.0,4.0,5.0,12.0,20.0,61.0,0.328,6.0,27.0,0.222,14.0,34.0,0.412,0.377,5.0,10.0,0.5,12.0,28.0,40.0,11.0,2.0,1.0,13.0,15.0,102.0,77.7,65.7,0.276,0.328,0.511,44.4,41.7,7.6,11.8,0.457,7.1,17.6,0.241,0.377,16.5,31.6,0.082
16.0,16.0,2024-01-03,,Northern Arizona,REG (Non-Conf),W,81.0,55.0,,25.0,46.0,0.543,5.0,15.0,0.333,20.0,31.0,0.645,0.598,26.0,36.0,0.722,8.0,29.0,37.0,13.0,8.0,4.0,8.0,19.0,18.0,50.0,0.36,5.0,19.0,0.263,13.0,31.0,0.419,0.41,14.0,23.0,0.609,9.0,15.0,24.0,11.0,5.0,1.0,12.0,23.0,127.5,86.6,63.5,0.783,0.326,0.642,60.7,52.0,12.6,12.9,0.598,11.3,34.8,0.565,0.41,16.5,23.7,0.28
17.0,17.0,2024-01-06,@,Idaho State,REG (Non-Conf),L,62.0,63.0,,22.0,46.0,0.478,5.0,10.0,0.5,17.0,36.0,0.472,0.533,13.0,15.0,0.867,4.0,21.0,25.0,11.0,6.0,3.0,10.0,11.0,24.0,53.0,0.453,9.0,24.0,0.375,15.0,29.0,0.517,0.538,6.0,9.0,0.667,4.0,20.0,24.0,16.0,6.0,2.0,9.0,10.0,102.1,103.8,60.7,0.326,0.217,0.584,51.0,50.0,9.9,10.3,0.533,15.8,16.7,0.283,0.538,13.6,16.0,0.113
18.0,18.0,2024-01-11,,North Dakota,REG (Conf),W,79.0,61.0,,25.0,51.0,0.49,5.0,16.0,0.313,20.0,35.0,0.571,0.539,24.0,28.0,0.857,6.0,23.0,29.0,11.0,9.0,3.0,9.0,20.0,19.0,54.0,0.352,8.0,26.0,0.308,11.0,28.0,0.393,0.426,15.0,23.0,0.652,11.0,22.0,33.0,8.0,3.0,0.0,12.0,19.0,118.6,91.6,66.6,0.549,0.314,0.614,46.8,44.0,13.5,10.7,0.539,12.3,21.4,0.471,0.426,15.6,32.4,0.278
19.0,19.0,2024-01-13,,North Dakota State,REG (Conf),W,96.0,92.0,OT,35.0,66.0,0.53,8.0,17.0,0.471,27.0,49.0,0.551,0.591,18.0,23.0,0.783,9.0,26.0,35.0,12.0,5.0,3.0,7.0,18.0,33.0,58.0,0.569,11.0,24.0,0.458,22.0,34.0,0.647,0.664,15.0,20.0,0.75,3.0,24.0,27.0,15.0,2.0,1.0,7.0,21.0,131.1,125.7,65.1,0.348,0.258,0.624,56.5,34.3,6.8,8.8,0.591,8.3,27.3,0.273,0.664,9.4,10.3,0.259
20.0,20.0,2024-01-18,@,South Dakota State,REG (Conf),L,87.0,90.0,,27.0,61.0,0.443,10.0,27.0,0.37,17.0,34.0,0.5,0.525,23.0,26.0,0.885,9.0,21.0,30.0,11.0,8.0,2.0,10.0,17.0,31.0,58.0,0.534,10.0,25.0,0.4,21.0,33.0,0.636,0.621,18.0,23.0,0.783,8.0,23.0,31.0,17.0,4.0,3.0,8.0,16.0,121.4,125.6,71.6,0.426,0.443,0.593,49.2,40.7,11.2,6.1,0.525,12.0,28.1,0.377,0.621,10.4,27.6,0.31
21.0,21.0,2024-01-20,,Kansas City,REG (Conf),L,72.0,74.0,,26.0,51.0,0.51,5.0,12.0,0.417,21.0,39.0,0.538,0.559,15.0,20.0,0.75,4.0,22.0,26.0,11.0,5.0,2.0,9.0,15.0,25.0,56.0,0.446,11.0,25.0,0.44,14.0,31.0,0.452,0.545,13.0,15.0,0.867,8.0,24.0,32.0,15.0,2.0,1.0,10.0,19.0,110.2,113.3,65.3,0.392,0.235,0.595,44.8,42.3,7.7,6.5,0.559,12.9,14.3,0.294,0.545,13.7,26.7,0.232
