Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1,1,2023-11-07,@,Massachusetts,REG (Non-Conf),L,71,92,,20,56,0.357,9,26,0.346,11,30,0.367,0.438,22,31,0.71,7,27,34,10,2,5,17,23,33,76,0.434,10,22,0.455,23,54,0.426,0.5,16,26,0.615,15,23,38,20,12,4,4,21,89.8,116.4,79.0,0.554,0.464,0.502,47.2,50.0,2.5,9.3,0.438,19.4,23.3,0.393,0.5,4.3,35.7,0.211
2,2,2023-11-11,@,Columbia,REG (Non-Conf),W,78,75,,27,59,0.458,6,17,0.353,21,42,0.5,0.508,18,27,0.667,12,27,39,14,4,3,14,18,23,57,0.404,7,22,0.318,16,35,0.457,0.465,22,24,0.917,2,21,23,11,7,3,10,19,103.8,99.9,75.1,0.458,0.288,0.543,62.9,51.9,5.3,8.6,0.508,16.3,36.4,0.305,0.465,12.8,6.9,0.386
3,3,2023-11-15,@,Seton Hall,REG (Non-Conf),L,71,96,,25,61,0.41,8,28,0.286,17,33,0.515,0.475,13,19,0.684,10,18,28,12,7,3,12,20,36,58,0.621,5,14,0.357,31,44,0.705,0.664,19,25,0.76,7,22,29,17,11,3,9,13,98.7,133.4,72.0,0.311,0.459,0.507,49.1,48.0,9.7,6.8,0.475,14.6,31.3,0.213,0.664,11.4,28.0,0.328
4,4,2023-11-19,@,Quinnipiac,REG (Non-Conf),L,82,85,,29,73,0.397,7,20,0.35,22,53,0.415,0.445,17,23,0.739,14,24,38,11,7,6,10,21,30,68,0.441,1,7,0.143,29,61,0.475,0.449,24,30,0.8,14,25,39,13,3,7,11,16,103.0,106.8,79.6,0.315,0.274,0.489,49.4,37.9,8.8,9.8,0.445,10.6,35.9,0.233,0.449,11.8,36.8,0.353
5,5,2023-11-21,,Army,REG (Non-Conf),W,62,59,,22,53,0.415,7,21,0.333,15,32,0.469,0.481,11,14,0.786,6,25,31,8,5,4,11,17,22,62,0.355,4,18,0.222,18,44,0.409,0.387,11,17,0.647,12,19,31,7,7,3,7,10,95.6,91.0,64.9,0.264,0.396,0.52,50.0,36.4,7.7,9.1,0.481,15.6,24.0,0.208,0.387,9.1,32.4,0.177
6,6,2023-11-26,@,Siena,REG (Non-Conf),W,86,51,,36,70,0.514,6,19,0.316,30,51,0.588,0.557,8,9,0.889,14,29,43,14,12,1,11,18,20,61,0.328,3,14,0.214,17,47,0.362,0.352,8,13,0.615,12,17,29,9,6,3,18,9,119.1,70.6,72.2,0.129,0.271,0.579,59.7,38.9,16.6,2.1,0.557,12.9,45.2,0.114,0.352,21.1,29.3,0.131
7,7,2023-11-29,,Boston University,REG (Non-Conf),W,86,72,,25,55,0.455,14,32,0.438,11,23,0.478,0.582,22,37,0.595,6,26,32,15,9,4,10,22,25,65,0.385,4,14,0.286,21,51,0.412,0.415,18,26,0.692,10,28,38,9,6,4,13,25,109.6,91.8,78.5,0.673,0.582,0.592,45.7,60.0,11.5,7.8,0.582,12.1,17.6,0.4,0.415,14.4,27.8,0.277
8,8,2023-12-02,,Dartmouth,REG (Non-Conf),W,73,68,,27,63,0.429,5,20,0.25,22,43,0.512,0.468,14,24,0.583,9,29,38,14,11,1,14,20,25,56,0.446,6,26,0.231,19,30,0.633,0.5,12,16,0.75,3,31,34,10,5,9,17,23,93.0,86.6,78.5,0.381,0.317,0.491,52.8,51.9,14.0,3.3,0.468,15.8,22.5,0.222,0.5,21.1,9.4,0.214
9,9,2023-12-05,,SUNY Potsdam,REG (Non-Conf),W,98,59,,39,73,0.534,9,23,0.391,30,50,0.6,0.596,11,15,0.733,9,29,38,20,17,3,13,14,22,65,0.338,4,19,0.211,18,46,0.391,0.369,11,13,0.846,7,25,32,7,5,5,21,10,115.8,69.7,84.7,0.205,0.315,0.612,54.3,51.3,20.1,6.5,0.596,14.0,26.5,0.151,0.369,22.8,19.4,0.169
10,10,2023-12-10,N,Temple,REG (Non-Conf),L,73,78,,27,62,0.435,5,24,0.208,22,38,0.579,0.476,14,18,0.778,10,23,33,16,8,6,16,22,26,57,0.456,4,16,0.25,22,41,0.537,0.491,22,32,0.688,11,22,33,12,10,3,13,16,96.8,103.5,75.4,0.29,0.387,0.517,50.0,59.3,10.6,14.6,0.476,18.5,31.3,0.226,0.491,15.3,32.4,0.386
