Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Cincinnati,REG (Non-Conf),L,58.0,69.0,,26.0,60.0,0.433,2.0,16.0,0.125,24.0,44.0,0.545,0.45,4.0,7.0,0.571,6.0,25.0,31.0,7.0,4.0,7.0,15.0,14.0,28.0,67.0,0.418,5.0,25.0,0.2,23.0,42.0,0.548,0.455,8.0,13.0,0.615,9.0,29.0,38.0,12.0,11.0,2.0,8.0,9.0,80.3,95.5,72.3,0.117,0.267,0.458,44.9,26.9,5.5,16.7,0.45,19.2,17.1,0.067,0.455,9.9,26.5,0.119
2.0,2.0,2023-11-10,,Little Rock,REG (Non-Conf),W,86.0,71.0,,28.0,58.0,0.483,10.0,21.0,0.476,18.0,37.0,0.486,0.569,20.0,28.0,0.714,13.0,25.0,38.0,13.0,6.0,4.0,14.0,19.0,25.0,64.0,0.391,4.0,17.0,0.235,21.0,47.0,0.447,0.422,17.0,23.0,0.739,14.0,19.0,33.0,8.0,6.0,4.0,13.0,22.0,117.6,97.1,73.1,0.483,0.362,0.603,53.5,46.4,8.2,8.5,0.569,16.4,40.6,0.345,0.422,14.8,35.9,0.266
3.0,3.0,2023-11-14,@,Loyola Chicago,REG (Non-Conf),W,72.0,67.0,,24.0,55.0,0.436,10.0,24.0,0.417,14.0,31.0,0.452,0.527,14.0,15.0,0.933,5.0,26.0,31.0,15.0,7.0,8.0,16.0,17.0,19.0,58.0,0.328,6.0,25.0,0.24,13.0,33.0,0.394,0.379,23.0,25.0,0.92,6.0,25.0,31.0,12.0,9.0,3.0,12.0,19.0,96.6,89.9,74.5,0.273,0.436,0.579,50.0,62.5,9.4,24.2,0.527,20.5,16.7,0.255,0.379,14.7,18.8,0.397
4.0,4.0,2023-11-19,,Aurora,REG (Non-Conf),W,99.0,48.0,,38.0,66.0,0.576,14.0,31.0,0.452,24.0,35.0,0.686,0.682,9.0,16.0,0.563,10.0,34.0,44.0,28.0,7.0,7.0,12.0,16.0,16.0,64.0,0.25,3.0,18.0,0.167,13.0,46.0,0.283,0.273,13.0,17.0,0.765,8.0,15.0,23.0,7.0,7.0,3.0,13.0,12.0,129.7,62.9,76.3,0.242,0.47,0.673,65.7,73.7,9.2,15.2,0.682,14.0,40.0,0.136,0.273,15.3,19.0,0.203
5.0,5.0,2023-11-24,N,Middle Tennessee,REG (Non-Conf),W,70.0,40.0,,30.0,57.0,0.526,7.0,19.0,0.368,23.0,38.0,0.605,0.588,3.0,6.0,0.5,9.0,22.0,31.0,13.0,10.0,8.0,12.0,16.0,15.0,52.0,0.288,4.0,20.0,0.2,11.0,32.0,0.344,0.327,6.0,9.0,0.667,9.0,15.0,24.0,5.0,6.0,1.0,20.0,9.0,107.6,61.5,65.1,0.105,0.333,0.585,56.4,43.3,15.4,25.0,0.588,16.7,37.5,0.053,0.327,26.2,29.0,0.115
6.0,6.0,2023-11-25,N,George Washington,REG (Non-Conf),W,89.0,79.0,,32.0,63.0,0.508,13.0,32.0,0.406,19.0,31.0,0.613,0.611,12.0,21.0,0.571,8.0,26.0,34.0,14.0,5.0,7.0,11.0,19.0,27.0,66.0,0.409,8.0,26.0,0.308,19.0,40.0,0.475,0.47,17.0,23.0,0.739,7.0,25.0,32.0,11.0,5.0,1.0,11.0,18.0,113.4,100.7,78.5,0.333,0.508,0.61,51.5,43.8,6.4,17.5,0.611,13.1,24.2,0.19,0.47,12.5,21.2,0.258
7.0,7.0,2023-11-26,N,UNC Greensboro,REG (Non-Conf),L,57.0,58.0,,20.0,51.0,0.392,8.0,30.0,0.267,12.0,21.0,0.571,0.471,9.0,13.0,0.692,5.0,30.0,35.0,11.0,0.0,5.0,14.0,16.0,21.0,56.0,0.375,3.0,19.0,0.158,18.0,37.0,0.486,0.402,13.0,21.0,0.619,4.0,25.0,29.0,7.0,9.0,3.0,2.0,14.0,87.6,89.1,65.1,0.255,0.588,0.498,54.7,55.0,0.0,13.5,0.471,19.7,16.7,0.176,0.402,2.9,11.8,0.232
8.0,8.0,2023-11-30,,Illinois State,REG (Conf),L,64.0,69.0,,24.0,60.0,0.4,9.0,28.0,0.321,15.0,32.0,0.469,0.475,7.0,15.0,0.467,9.0,13.0,22.0,17.0,10.0,4.0,13.0,21.0,25.0,43.0,0.581,3.0,10.0,0.3,22.0,33.0,0.667,0.616,16.0,24.0,0.667,2.0,25.0,27.0,12.0,8.0,4.0,18.0,14.0,90.4,97.5,70.8,0.25,0.467,0.477,44.9,70.8,14.1,12.1,0.475,16.2,26.5,0.117,0.616,24.9,13.3,0.372
9.0,9.0,2023-12-08,@,Jacksonville State,REG (Non-Conf),W,55.0,49.0,,20.0,49.0,0.408,2.0,17.0,0.118,18.0,32.0,0.563,0.429,13.0,19.0,0.684,5.0,24.0,29.0,9.0,5.0,8.0,14.0,10.0,20.0,56.0,0.357,1.0,12.0,0.083,19.0,44.0,0.432,0.366,8.0,12.0,0.667,8.0,20.0,28.0,9.0,9.0,4.0,12.0,16.0,82.9,73.8,66.4,0.388,0.347,0.474,50.9,45.0,7.5,18.2,0.429,19.4,20.0,0.265,0.366,16.3,25.0,0.143
10.0,10.0,2023-12-12,,Green Bay,REG (Non-Conf),L,68.0,70.0,,22.0,59.0,0.373,12.0,19.0,0.632,10.0,40.0,0.25,0.475,12.0,17.0,0.706,13.0,17.0,30.0,15.0,6.0,9.0,13.0,16.0,24.0,50.0,0.48,5.0,11.0,0.455,19.0,39.0,0.487,0.53,17.0,19.0,0.895,3.0,20.0,23.0,9.0,10.0,6.0,12.0,14.0,100.7,103.6,67.6,0.288,0.322,0.507,56.6,68.2,8.9,23.1,0.475,16.2,39.4,0.203,0.53,16.9,15.0,0.34
