Rk,Gtm,Date,Location,OppName,Type,Rslt,TmScore,OppScore,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,Opp-FG,Opp-FGA,Opp-FG%,Opp-3P,Opp-3PA,Opp-3P%,Opp-2P,Opp-2PA,Opp-2P%,Opp-eFG%,Opp-FT,Opp-FTA,Opp-FT%,Opp-ORB,Opp-DRB,Opp-TRB,Opp-AST,Opp-STL,Opp-BLK,Opp-TOV,Opp-PF,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O4-eFG%,O4-TOV%,O4-ORB%,O4-FT/FGA,D4-eFG%,D4-TOV%,D4-ORB%,D4-FT/FGA
1.0,1.0,2023-11-06,@,Houston,REG (Non-Conf),L,31.0,84.0,,11.0,39.0,0.282,3.0,16.0,0.188,8.0,23.0,0.348,0.321,6.0,17.0,0.353,10.0,17.0,27.0,7.0,4.0,2.0,24.0,22.0,26.0,61.0,0.426,11.0,35.0,0.314,15.0,26.0,0.577,0.516,21.0,29.0,0.724,20.0,20.0,40.0,19.0,15.0,5.0,10.0,19.0,49.3,133.5,62.9,0.436,0.41,0.329,40.3,63.6,6.4,7.7,0.321,33.8,33.3,0.154,0.516,11.8,54.1,0.344
2.0,2.0,2023-11-11,@,Central Michigan,REG (Non-Conf),W,74.0,64.0,,29.0,60.0,0.483,10.0,24.0,0.417,19.0,36.0,0.528,0.567,6.0,9.0,0.667,12.0,19.0,31.0,17.0,12.0,4.0,13.0,17.0,22.0,54.0,0.407,10.0,28.0,0.357,12.0,26.0,0.462,0.5,10.0,14.0,0.714,12.0,18.0,30.0,11.0,5.0,3.0,18.0,14.0,112.2,97.0,66.0,0.15,0.4,0.576,50.8,58.6,18.2,15.4,0.567,16.8,40.0,0.1,0.5,22.9,38.7,0.185
3.0,3.0,2023-11-16,,Louisiana Tech,REG (Non-Conf),L,63.0,73.0,,23.0,63.0,0.365,4.0,18.0,0.222,19.0,45.0,0.422,0.397,13.0,21.0,0.619,13.0,25.0,38.0,15.0,11.0,1.0,8.0,21.0,22.0,51.0,0.431,9.0,26.0,0.346,13.0,25.0,0.52,0.52,20.0,28.0,0.714,7.0,27.0,34.0,17.0,6.0,3.0,13.0,19.0,91.1,105.6,69.1,0.333,0.286,0.432,52.8,65.2,15.9,4.0,0.397,9.9,32.5,0.206,0.52,16.8,21.9,0.392
4.0,4.0,2023-11-20,,Ecclesia,REG (Non-Conf),W,103.0,74.0,,41.0,78.0,0.526,10.0,27.0,0.37,31.0,51.0,0.608,0.59,11.0,19.0,0.579,19.0,33.0,52.0,27.0,12.0,2.0,11.0,15.0,24.0,69.0,0.348,9.0,33.0,0.273,15.0,36.0,0.417,0.413,17.0,19.0,0.895,11.0,20.0,31.0,19.0,8.0,1.0,14.0,11.0,128.7,92.5,80.0,0.244,0.346,0.592,62.7,65.9,15.0,5.6,0.59,11.2,48.7,0.141,0.413,15.2,25.0,0.246
5.0,5.0,2023-11-26,@,SMU,REG (Non-Conf),L,57.0,70.0,,22.0,65.0,0.338,5.0,25.0,0.2,17.0,40.0,0.425,0.377,8.0,12.0,0.667,16.0,20.0,36.0,14.0,6.0,2.0,8.0,18.0,22.0,51.0,0.431,8.0,21.0,0.381,14.0,30.0,0.467,0.51,18.0,25.0,0.72,9.0,27.0,36.0,12.0,6.0,2.0,9.0,12.0,90.8,111.5,62.8,0.185,0.385,0.403,50.0,63.6,9.6,6.7,0.377,10.2,37.2,0.123,0.51,12.5,31.0,0.353
6.0,6.0,2023-11-28,,Northwestern State,REG (Non-Conf),W,74.0,70.0,,24.0,62.0,0.387,3.0,20.0,0.15,21.0,42.0,0.5,0.411,23.0,35.0,0.657,19.0,24.0,43.0,8.0,3.0,7.0,13.0,18.0,24.0,55.0,0.436,11.0,30.0,0.367,13.0,25.0,0.52,0.536,11.0,14.0,0.786,5.0,17.0,22.0,14.0,6.0,4.0,12.0,26.0,104.8,99.1,70.6,0.565,0.323,0.471,66.2,33.3,4.2,28.0,0.411,14.2,52.8,0.371,0.536,16.3,17.2,0.2
7.0,7.0,2023-12-05,,Champion Christian,REG (Non-Conf),W,110.0,63.0,,44.0,74.0,0.595,8.0,16.0,0.5,36.0,58.0,0.621,0.649,14.0,17.0,0.824,10.0,30.0,40.0,29.0,16.0,8.0,13.0,17.0,19.0,68.0,0.279,10.0,33.0,0.303,9.0,35.0,0.257,0.353,15.0,18.0,0.833,15.0,18.0,33.0,12.0,9.0,5.0,25.0,13.0,128.2,73.4,85.8,0.23,0.216,0.67,54.8,65.9,18.6,22.9,0.649,13.7,35.7,0.189,0.353,24.6,33.3,0.221
8.0,8.0,2023-12-12,@,Sam Houston State,REG (Non-Conf),L,62.0,63.0,,23.0,55.0,0.418,6.0,18.0,0.333,17.0,37.0,0.459,0.473,10.0,12.0,0.833,6.0,30.0,36.0,12.0,5.0,1.0,12.0,27.0,19.0,51.0,0.373,5.0,21.0,0.238,14.0,30.0,0.467,0.422,20.0,33.0,0.606,6.0,22.0,28.0,9.0,7.0,2.0,9.0,14.0,90.9,92.4,68.2,0.218,0.327,0.511,56.3,52.2,7.3,3.3,0.473,16.5,21.4,0.182,0.422,11.9,16.7,0.392
9.0,9.0,2023-12-14,@,Lamar,REG (Non-Conf),L,73.0,97.0,,25.0,57.0,0.439,8.0,24.0,0.333,17.0,33.0,0.515,0.509,15.0,23.0,0.652,7.0,16.0,23.0,16.0,6.0,3.0,10.0,23.0,31.0,59.0,0.525,11.0,25.0,0.44,20.0,34.0,0.588,0.619,24.0,29.0,0.828,8.0,28.0,36.0,20.0,4.0,5.0,10.0,21.0,100.2,133.2,72.9,0.404,0.421,0.537,39.0,64.0,8.2,8.8,0.509,12.8,20.0,0.263,0.619,12.1,33.3,0.407
10.0,10.0,2023-12-18,@,Jacksonville,REG (Non-Conf),L,65.0,75.0,,22.0,60.0,0.367,4.0,18.0,0.222,18.0,42.0,0.429,0.4,17.0,27.0,0.63,12.0,20.0,32.0,13.0,5.0,3.0,18.0,23.0,22.0,49.0,0.449,8.0,14.0,0.571,14.0,35.0,0.4,0.531,23.0,33.0,0.697,8.0,23.0,31.0,14.0,11.0,4.0,15.0,22.0,86.4,99.7,75.3,0.45,0.3,0.446,50.8,59.1,6.6,8.6,0.4,19.8,34.3,0.283,0.531,18.8,28.6,0.469
11.0,11.0,2023-12-30,@,Appalachian State,REG (Conf),L,55.0,67.0,,23.0,62.0,0.371,4.0,11.0,0.364,19.0,51.0,0.373,0.403,5.0,13.0,0.385,10.0,24.0,34.0,13.0,6.0,1.0,11.0,16.0,25.0,60.0,0.417,4.0,27.0,0.148,21.0,33.0,0.636,0.45,13.0,16.0,0.813,10.0,27.0,37.0,15.0,5.0,7.0,8.0,11.0,81.6,99.4,67.4,0.21,0.177,0.403,47.9,56.5,8.9,3.0,0.403,13.9,27.0,0.081,0.45,10.6,29.4,0.217
12.0,12.0,2024-01-03,,Marshall,REG (Conf),L,57.0,68.0,,19.0,59.0,0.322,1.0,15.0,0.067,18.0,44.0,0.409,0.331,18.0,26.0,0.692,11.0,24.0,35.0,12.0,6.0,3.0,15.0,16.0,24.0,58.0,0.414,9.0,27.0,0.333,15.0,31.0,0.484,0.491,11.0,19.0,0.579,9.0,29.0,38.0,20.0,9.0,6.0,15.0,17.0,76.8,91.7,74.2,0.441,0.254,0.399,47.9,63.2,8.1,9.7,0.331,17.4,27.5,0.305,0.491,18.3,27.3,0.19
13.0,13.0,2024-01-06,,Georgia Southern,REG (Conf),L,68.0,76.0,,21.0,57.0,0.368,4.0,22.0,0.182,17.0,35.0,0.486,0.404,22.0,31.0,0.71,14.0,22.0,36.0,10.0,4.0,2.0,11.0,14.0,28.0,56.0,0.5,11.0,28.0,0.393,17.0,28.0,0.607,0.598,9.0,14.0,0.643,7.0,23.0,30.0,17.0,8.0,6.0,8.0,21.0,102.7,114.8,66.2,0.544,0.386,0.474,54.5,47.6,6.0,7.1,0.404,13.3,37.8,0.386,0.598,11.3,24.1,0.161
14.0,14.0,2024-01-11,,Southern Mississippi,REG (Conf),L,58.0,71.0,,22.0,60.0,0.367,3.0,16.0,0.188,19.0,44.0,0.432,0.392,11.0,19.0,0.579,10.0,26.0,36.0,10.0,8.0,2.0,14.0,21.0,22.0,56.0,0.393,6.0,20.0,0.3,16.0,36.0,0.444,0.446,21.0,27.0,0.778,9.0,30.0,39.0,10.0,9.0,10.0,10.0,15.0,81.2,99.4,71.4,0.317,0.267,0.42,48.0,45.5,11.2,5.6,0.392,16.9,25.0,0.183,0.446,12.7,25.7,0.375
15.0,15.0,2024-01-13,,Texas State,REG (Conf),L,54.0,67.0,,20.0,59.0,0.339,1.0,14.0,0.071,19.0,45.0,0.422,0.347,13.0,19.0,0.684,11.0,23.0,34.0,9.0,5.0,2.0,7.0,18.0,23.0,47.0,0.489,6.0,11.0,0.545,17.0,36.0,0.472,0.553,15.0,23.0,0.652,5.0,25.0,30.0,10.0,4.0,5.0,7.0,20.0,87.1,108.1,62.0,0.322,0.237,0.397,53.1,45.0,8.1,5.6,0.347,9.3,30.6,0.22,0.553,10.8,17.9,0.319
16.0,16.0,2024-01-18,@,James Madison,REG (Conf),L,70.0,89.0,,24.0,55.0,0.436,4.0,13.0,0.308,20.0,42.0,0.476,0.473,18.0,25.0,0.72,9.0,21.0,30.0,10.0,5.0,1.0,9.0,16.0,31.0,61.0,0.508,16.0,39.0,0.41,15.0,22.0,0.682,0.639,11.0,15.0,0.733,7.0,26.0,33.0,23.0,4.0,3.0,5.0,19.0,105.3,133.8,66.5,0.455,0.236,0.523,47.6,41.7,7.5,4.5,0.473,11.9,25.7,0.327,0.639,6.8,25.0,0.18
17.0,17.0,2024-01-20,@,Old Dominion,REG (Conf),W,80.0,73.0,,24.0,49.0,0.49,6.0,16.0,0.375,18.0,33.0,0.545,0.551,26.0,36.0,0.722,11.0,31.0,42.0,10.0,4.0,3.0,12.0,14.0,26.0,61.0,0.426,8.0,25.0,0.32,18.0,36.0,0.5,0.492,13.0,15.0,0.867,5.0,15.0,20.0,12.0,6.0,2.0,6.0,21.0,117.5,107.2,68.1,0.735,0.327,0.605,67.7,41.7,5.9,8.3,0.551,15.4,42.3,0.531,0.492,8.1,13.9,0.213
18.0,18.0,2024-01-25,,South Alabama,REG (Conf),W,80.0,66.0,,31.0,67.0,0.463,5.0,11.0,0.455,26.0,56.0,0.464,0.5,13.0,21.0,0.619,12.0,32.0,44.0,16.0,8.0,3.0,13.0,13.0,24.0,73.0,0.329,12.0,36.0,0.333,12.0,37.0,0.324,0.411,6.0,9.0,0.667,14.0,24.0,38.0,13.0,9.0,1.0,12.0,19.0,104.4,86.1,76.6,0.313,0.164,0.52,53.7,51.6,10.4,8.1,0.5,14.4,33.3,0.194,0.411,13.4,30.4,0.082
19.0,19.0,2024-01-28,,Arkansas State,REG (Conf),W,85.0,82.0,OT,30.0,76.0,0.395,4.0,13.0,0.308,26.0,63.0,0.413,0.421,21.0,29.0,0.724,17.0,27.0,44.0,10.0,7.0,4.0,10.0,22.0,24.0,73.0,0.329,11.0,39.0,0.282,13.0,34.0,0.382,0.404,23.0,28.0,0.821,18.0,26.0,44.0,16.0,5.0,4.0,11.0,25.0,104.9,101.2,72.0,0.382,0.171,0.473,50.0,33.3,8.6,11.8,0.421,10.0,39.5,0.276,0.404,11.3,40.0,0.315
20.0,20.0,2024-01-31,@,Louisiana,REG (Conf),L,72.0,80.0,,27.0,49.0,0.551,3.0,12.0,0.25,24.0,37.0,0.649,0.582,15.0,22.0,0.682,5.0,21.0,26.0,9.0,4.0,0.0,14.0,20.0,24.0,55.0,0.436,10.0,28.0,0.357,14.0,27.0,0.519,0.527,22.0,27.0,0.815,11.0,17.0,28.0,12.0,9.0,0.0,9.0,21.0,107.2,119.2,67.1,0.449,0.245,0.606,48.1,33.3,6.0,0.0,0.582,19.1,22.7,0.306,0.527,11.7,34.4,0.4
