kenpom,sports_reference_url_value,cbs,conference,vsin,teamrank,sports_reference,home_location
Abilene Christian,abilene-christian,Abilene Chr.,WAC,Abilene CHR,Abl Christian,Abilene Christian,Moody Coliseum
Air Force,air-force,Air Force,MWC,Air Force,Air Force,Air Force,Clune Arena
Akron,akron,Akron,MAC,Akron,Akron,Akron,James A. Rhodes Arena
Alabama,alabama,Alabama,SEC,Alabama,Alabama,Alabama,Coleman Coliseum
Alabama A&M,alabama-am,Alabama A&M,SWAC,Alabama A&M,Alab A&M,Alabama A&M,Alabama A&M Events Center
Alabama St.,alabama-state,Alabama St.,SWAC,Alabama ST,Alabama St,Alabama State,Dunn–Oliver Acadome
Albany,albany-ny,UAlbany,AE,Albany,Albany,Albany (NY),Broadview Center
Alcorn St.,alcorn-state,Alcorn St.,SWAC,Alcorn ST,Alcorn St,Alcorn State,Davey Whitney Complex
American,american,American,PL,American,American,American,Bender Arena
Appalachian St.,appalachian-state,App. St.,SB,Appalachian ST,App State,Appalachian State,George M. Holmes Convocation Center
Arizona,arizona,Arizona,B12,Arizona,Arizona,Arizona,McKale Center
Arizona St.,arizona-state,Arizona St.,B12,Arizona ST,Arizona St,Arizona State,Desert Financial Arena
Arkansas,arkansas,Arkansas,SEC,Arkansas,Arkansas,Arkansas,Bud Walton Arena
Arkansas Pine Bluff,arkansas-pine-bluff,Ark.-Pine Bluff,SWAC,Ark-Pine Bluff,Ark Pine Bl,Arkansas State,First National Bank Arena
Arkansas St.,arkansas-state,Arkansas St.,SB,Arkansas ST,Arkansas St,Arkansas-Pine Bluff,K. L. Johnson Complex
Army,army,Army,PL,Army,Army,Army,Christl Arena
Auburn,auburn,Auburn,SEC,Auburn,Auburn,Auburn,Neville Arena
Austin Peay,austin-peay,Austin Peay,ASun,Austin Peay,Austin Peay,Austin Peay,F&M Bank Arena
Ball St.,ball-state,Ball St.,MAC,Ball ST,Ball St,Ball State,Worthen Arena
Baylor,baylor,Baylor,B12,Baylor,Baylor,Baylor,Foster Pavilion
Bellarmine,bellarmine,Bellarmine,ASun,Bellarmine,Bellarmine,Bellarmine,Knights Hall
Belmont,belmont,Belmont,MVC,Belmont,Belmont,Belmont,Curb Event Center
Bethune Cookman,bethune-cookman,Bethune-Cook.,SWAC,Bethune-Cookman,Beth-Cook,Bethune-Cookman,Moore Gymnasium
Binghamton,binghamton,Binghamton,AE,Binghamton,Binghamton,Binghamton,Binghamton University Events Center
Boise St.,boise-state,Boise St.,MWC,Boise ST,Boise St,Boise State,ExtraMile Arena
Boston College,boston-college,Boston College,ACC,Boston College,Boston College,Boston College,Conte Forum
Boston University,boston-university,Boston U.,PL,Boston U,Boston U,Boston University,Case Gym
Bowling Green,bowling-green-state,Bowling Green,MAC,Bowling Green,Bowling Green,Bowling Green State,Stroh Center
Bradley,bradley,Bradley,MVC,Bradley,Bradley,Bradley,Carver Arena
Brown,brown,Brown,Ivy,Brown,Brown,Brigham Young,Pizzitola Sports Center
Bryant,bryant,Bryant,AE,Bryant,Bryant,Brown,Chace Athletic Center
Bucknell,bucknell,Bucknell,PL,Bucknell,Bucknell,Bryant,Sojka Pavilion
Buffalo,buffalo,Buffalo,MAC,Buffalo,Buffalo,Bucknell,Alumni Arena
Butler,butler,Butler,BE,Butler,Butler,Buffalo,Hinkle Fieldhouse
BYU,brigham-young,BYU,B12,Brigham Young,BYU,Butler,Marriott Center
Cal Baptist,california-baptist,Cal Baptist,WAC,California Baptist,Cal Baptist,California Baptist,Fowler Events Center
Cal Poly,cal-poly,Cal Poly,BW,Cal Poly SLO,Cal Poly,Cal Poly,Robert A. Mott Athletics Center
Cal St. Bakersfield,cal-state-bakersfield,Cal-Baker.,BW,CSU-Bakersfield,CS Bakersfld,Cal State Bakersfield,Icardo Center
Cal St. Fullerton,cal-state-fullerton,CS Fullerton,BW,CSU-Fullerton,CS Fullerton,Cal State Fullerton,Titan Gym
California,california,California,ACC,California,California,California,Haas Pavilion
Campbell,campbell,Campbell,CAA,Campbell,Campbell,Campbell,"John W. Pope, Jr. Convocation Center"
Canisius,canisius,Canisius,MAAC,Canisius,Canisius,Canisius,Koessler Athletic Center
Central Arkansas,central-arkansas,Cent. Arkansas,ASun,C Arkansas,C Arkansas,Central Arkansas,Farris Center
Central Connecticut,central-connecticut-state,CCSU,NEC,C Conn ST,C Connecticut,Central Connecticut State,William H. Detrick Gymnasium
Central Michigan,central-michigan,C. Michigan,MAC,C Michigan,C Michigan,Central Michigan,McGuirk Arena
Charleston,college-of-charleston,Charleston,CAA,Charleston,Col Charlestn,College of Charleston,TD Arena
Charleston Southern,charleston-southern,Charleston So.,BSth,Charleston Southern,Charl South,Charleston Southern,Buccaneer Field House
Charlotte,charlotte,Charlotte,Amer,Charlotte,Charlotte,Charlotte,Dale F. Halton Arena
Chattanooga,chattanooga,Chattanooga,SC,Chattanooga,Chattanooga,Chattanooga,McKenzie Arena
Chicago St.,chicago-state,Chicago St.,NEC,Chicago ST,Chicago St,Chicago State,Emil and Patricia Jones Convocation Center
Cincinnati,cincinnati,Cincinnati,B12,Cincinnati,Cincinnati,Cincinnati,Fifth Third Arena
Clemson,clemson,Clemson,ACC,Clemson,Clemson,Clemson,Littlejohn Coliseum
Cleveland St.,cleveland-state,Clev. St.,Horz,Cleveland ST,Cleveland St,Cleveland State,Wolstein Center
Coastal Carolina,coastal-carolina,C. Carolina,SB,Coastal Carolina,Coastal Car,Coastal Carolina,HTC Center
Colgate,colgate,Colgate,PL,Colgate,Colgate,Colgate,Cotterell Court
Colorado,colorado,Colorado,B12,Colorado,Colorado,Colorado,CU Events Center
Colorado St.,colorado-state,Colo. St.,MWC,Colorado ST,Colorado St,Colorado State,Moby Arena
Columbia,columbia,Columbia,Ivy,Columbia,Columbia,Columbia,Levien Gymnasium
Connecticut,connecticut,UConn,BE,Connecticut,UConn,Connecticut,XL Center
Coppin St.,coppin-state,Coppin St.,MEAC,Coppin ST,Coppin St,Coppin State,Physical Education Complex
Cornell,cornell,Cornell,Ivy,Cornell,Cornell,Cornell,Newman Arena
Creighton,creighton,Creighton,BE,Creighton,Creighton,Creighton,CHI Health Center Omaha
CSUN,cal-state-northridge,CSNorthridge,BW,CSU-Northridge,CS Northridge,Cal State Northridge,Premier America Credit Union Arena
Dartmouth,dartmouth,Dartmouth,Ivy,Dartmouth,Dartmouth,Dartmouth,Leede Arena
Davidson,davidson,Davidson,A10,Davidson,Davidson,Davidson,Belk Arena
Dayton,dayton,Dayton,A10,Dayton,Dayton,Dayton,University of Dayton Arena
Delaware,delaware,Delaware,CUSA,Delaware,Delaware,Delaware,Bob Carpenter Center
Delaware St.,delaware-state,Delaware St.,MEAC,Delaware ST,Delaware St,Delaware State,Memorial Hall
Denver,denver,Denver,Sum,Denver,Denver,Denver,Hamilton Gymnasium
DePaul,depaul,DePaul,BE,Depaul,DePaul,DePaul,Wintrust Arena
Detroit Mercy,detroit-mercy,Detroit,Horz,Detroit,Detroit,Detroit Mercy,Calihan Hall
Drake,drake,Drake,MVC,Drake,Drake,Drake,Knapp Center
Drexel,drexel,Drexel,CAA,Drexel,Drexel,Drexel,Daskalakis Athletic Center
Duke,duke,Duke,ACC,Duke,Duke,Duke,Cameron Indoor Stadium
Duquesne,duquesne,Duquesne,A10,Duquesne,Duquesne,Duquesne,UPMC Cooper Fieldhouse
East Carolina,east-carolina,East Carolina,Amer,East Carolina,E Carolina,East Carolina,Williams Arena at Minges Coliseum
East Tennessee St.,east-tennessee-state,ETSU,SC,E Tennessee ST,E Tenn St,East Tennessee State,Freedom Hall Civic Center
Eastern Illinois,eastern-illinois,E. Illinois,OVC,E Illinois,E Illinois,Eastern Illinois,Lantz Arena
Eastern Kentucky,eastern-kentucky,E. Kentucky,ASun,E Kentucky,E Kentucky,Eastern Kentucky,Baptist Health Arena
Eastern Michigan,eastern-michigan,E. Michigan,MAC,E Michigan,E Michigan,Eastern Michigan,George Gervin GameAbove Center
Eastern Washington,eastern-washington,E. Washington,BSky,E Washington,E Washingtn,Eastern Washington,Reese Court
Elon,elon,Elon,CAA,Elon,Elon,Elon,Schar Center
Evansville,evansville,Evansville,MVC,Evansville,Evansville,Evansville,Ford Center
Fairfield,fairfield,Fairfield,MAAC,Fairfield,Fairfield,Fairfield,Leo D. Mahoney Arena
Fairleigh Dickinson,fairleigh-dickinson,FDU,NEC,Fairleigh Dickinson,F Dickinson,FDU,Bogota Savings Bank Center
FIU,florida-international,FIU,CUSA,Florida INTL,Florida Intl,Florida International,Ocean Bank Convocation Center
Florida,florida,Florida,SEC,Florida,Florida,Florida,Exactech Arena at the Stephen C. O'Connell Center
Florida A&M,florida-am,Florida A&M,SWAC,Florida A&M,Florida A&M,Florida A&M,Al Lawson Center
Florida Atlantic,florida-atlantic,FAU,Amer,FL Atlantic,Florida Atlantic,Florida Atlantic,FAU Arena
Florida Gulf Coast,florida-gulf-coast,FGCU,ASun,FL Gulf Coast,FGCU,Florida Gulf Coast,Alico Arena
Florida St.,florida-state,Florida St.,ACC,Florida ST,Florida St,Florida State,Donald L. Tucker Civic Center
Fordham,fordham,Fordham,A10,Fordham,Fordham,Fordham,Rose Hill Gymnasium
Fresno St.,fresno-state,Fresno St.,MWC,Fresno ST,Fresno St,Fresno State,Save Mart Center at Fresno State
Furman,furman,Furman,SC,Furman,Furman,Furman,Timmons Arena
Gardner Webb,gardner-webb,Gardner-Webb,BSth,Gardner-Webb,Gardner-Webb,Gardner-Webb,Paul Porter Arena
George Mason,george-mason,George Mason,A10,George Mason,George Mason,George Mason,EagleBank Arena
George Washington,george-washington,George Wash.,A10,George Washington,G Washington,George Washington,Charles E. Smith Center
Georgetown,georgetown,Georgetown,BE,Georgetown,Georgetown,Georgetown,Capital One Arena
Georgia,georgia,Georgia,SEC,Georgia,Georgia,Georgia,Stegeman Coliseum
Georgia Southern,georgia-southern,Ga. Southern,SB,Georgia Southern,Georgia So,Georgia Southern,Jack and Ruth Ann Hill Convocation Center
Georgia St.,georgia-state,Georgia St.,SB,Georgia ST,Georgia St,Georgia State,Georgia State Convocation Center
